title,datetime,link
Enstar Acquires Dana Companies For $91.5M,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vYmVybmV3cy5jb20vMjAxNy8wMS9lbnN0YXItYWNxdWlyZXMtZGFuYS1jb21wYW5pZXMtZm9yLTkxLTVtL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Newest Big Thing in Drones Is Technology to Block Them,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvbmF0aW9uYWwvMjAxNy8wMS8wMy80MzY5ODYuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
Arch completes acquisition of mortgage insurer United Guaranty,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYXJjaC1jb21wbGV0ZXMtYWNxdWlzaXRpb24tbW9ydGdhZ2UtaW5zdXJlci11bml0ZWQtZ3VhcmFudHkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
$510m run-off startup Premia launches with Arch & Kelso backing,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvNTEwbS1ydW4tb2ZmLXN0YXJ0dXAtcHJlbWlhLWxhdW5jaGVzLWFyY2gta2Vsc28tYmFja2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Tornado That Touched Down in California Not So Rare,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3Mvd2VzdC8yMDE3LzAxLzEzLzQzODg0MS5odG3SAQA?hl=en-US&gl=US&ceid=US%3Aen
AIG gets adverse development reinsurance from Berkshire Hathaway,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYWlnLWdldHMtYWR2ZXJzZS1kZXZlbG9wbWVudC1yZWluc3VyYW5jZS1iZXJrc2hpcmUtaGF0aGF3YXkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Investigation Concludes Tesla Not at Fault in Self-Driving Car Crash,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvbmF0aW9uYWwvMjAxNy8wMS8yMC80MzkzODcuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ascot welcomes team from Hiscox Re,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnJveWFsZ2F6ZXR0ZS5jb20vcmUtaW5zdXJhbmNlL2J1c2luZXNzL2FydGljbGUvMjAxNzAxMjYvYXNjb3Qtd2VsY29tZXMtdGVhbS1mcm9tLWhpc2NveC1yZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
BMA registered 42 insurers in 2016,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnJveWFsZ2F6ZXR0ZS5jb20vcmUtaW5zdXJhbmNlL2J1c2luZXNzL2FydGljbGUvMjAxNzAxMjcvYm1hLXJlZ2lzdGVyZWQtNDItaW5zdXJlcnMtaW4tMjAxNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
AXIS Capital Opens Miami Office; Expands Presence in Latin America,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3Mvc291dGhlYXN0LzIwMTcvMDEvMzAvNDQwMzAxLmh0bdIBRWh0dHBzOi8vYW1wLmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3Mvc291dGhlYXN0LzIwMTcvMDEvMzAvNDQwMzAxLmh0bQ?hl=en-US&gl=US&ceid=US%3Aen
Bermuda Corporate Practice Group 2016 Year In Review ...,2017-02-03 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lm1vbmRhcS5jb20vc2VjdXJpdGllcy81NjUwOTgvYmVybXVkYS1jb3Jwb3JhdGUtcHJhY3RpY2UtZ3JvdXAtMjAxNi15ZWFyLWluLXJldmlld9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Ace's founding chairman Cox dies at 84,2017-02-03 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnJveWFsZ2F6ZXR0ZS5jb20vcmUtaW5zdXJhbmNlL2J1c2luZXNzL2FydGljbGUvMjAxNzAyMDMvYWNlcy1mb3VuZGluZy1jaGFpcm1hbi1jb3gtZGllcy1hdC04NC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
M&A Activity Continues at Industrious Pace: MarshBerry,2017-02-06 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL21hZ2F6aW5lcy9tYWctZmVhdHVyZXMvMjAxNy8wMi8wNi80NDA3ODUuaHRt0gFNaHR0cHM6Ly9hbXAuaW5zdXJhbmNlam91cm5hbC5jb20vbWFnYXppbmVzL21hZy1mZWF0dXJlcy8yMDE3LzAyLzA2LzQ0MDc4NS5odG0?hl=en-US&gl=US&ceid=US%3Aen
RSA offloads old UK liabilities in huge deal,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lmluc3VyYW5jZXRpbWVzLmNvLnVrL3JzYS1vZmZsb2Fkcy1vbGQtdWstbGlhYmlsaXRpZXMtaW4taHVnZS1kZWFsLzE0MjA5MzMuYXJ0aWNsZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
RSA sells off £1bn of old liabilities and seals recovery plan,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2UwMzdlNDRjLWVlMTItMTFlNi1iYTAxLTExOWE0NDkzOWJiNtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Enstar Group To Reinsure RSA Insurance Group,2017-02-09 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vYmVybmV3cy5jb20vMjAxNy8wMi9lbnN0YXItZ3JvdXAtYW5ub3VuY2VzLXJlaW5zdXJhbmNlLW9mLTk1N20v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Neon Bermuda names Pritchard Head of Property Reinsurance,2017-02-13 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvbmVvbi1iZXJtdWRhLW5hbWVzLXByaXRjaGFyZC1oZWFkLXByb3BlcnR5LXJlaW5zdXJhbmNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Watford Re's total return from investments, not underwriting in Q4 2016",2017-02-14 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmFydGVtaXMuYm0vbmV3cy93YXRmb3JkLXJlcy10b3RhbC1yZXR1cm4tZnJvbS1pbnZlc3RtZW50cy1ub3QtdW5kZXJ3cml0aW5nLWluLXE0LTIwMTYv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Argo Pro, BlueChip Underwriting Services Launch Transactional Risk Program",2017-02-17 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvbmF0aW9uYWwvMjAxNy8wMi8xNy80NDIyMjcuaHRt0gFEaHR0cHM6Ly9hbXAuaW5zdXJhbmNlam91cm5hbC5jb20vbmV3cy9uYXRpb25hbC8yMDE3LzAyLzE3LzQ0MjIyNy5odG0?hl=en-US&gl=US&ceid=US%3Aen
Enstar To Sell Pavonia To Global Bankers,2017-02-19 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vYmVybmV3cy5jb20vMjAxNy8wMi9lbnN0YXItdG8tc2VsbC1wYXZvbmlhLXRvLWdsb2JhbC1iYW5rZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Study Warns on Cumulative Effect of 'Drip, Drip, Drip' of Nuisance ...",2017-02-23 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvbmF0aW9uYWwvMjAxNy8wMi8yMy80NDI1NTUuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
