title,datetime,link
"Mike Shmerling sells part of XMi, reveals Clearbrook Holdings Corp ...",2017-02-21 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9uYXNodmlsbGUvbmV3cy8yMDE3LzAyLzIxL3Byb21pbmVudC1uYXNodmlsbGUtZW50cmVwcmVuZXVyLWFuZC1pbnZlc3Rvci5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Miami native Shandell Harris moves to Albany to change her life,2017-03-24 00:00:00,https://news.google.com/./articles/CBMimQFodHRwczovL3d3dy5hbGJhbnloZXJhbGQuY29tL25ld3MvbG9jYWwvbWlhbWktbmF0aXZlLXNoYW5kZWxsLWhhcnJpcy1tb3Zlcy10by1hbGJhbnktdG8tY2hhbmdlLWhlci1saWZlL2FydGljbGVfYmE4ZjIxMWEtNTBhOS01NDRlLWI5MDYtZWI4NTM3YjhkY2FiLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Renasant Corporation Completes Merger with Metropolitan ...,2017-07-03 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVuYXNhbnQtY29ycG9yYXRpb24tY29tcGxldGVzLW1lcmdlci13aXRoLW1ldHJvcG9saXRhbi1iYW5jZ3JvdXAtaW5jLTMwMDQ4Mjk2Mi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
CB&S Bank Names New President and CEO,2017-07-14 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE3LzA3L3Byd2ViMTQ1MDkwMzQuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Renasant Corporation and Brand Group Holdings, Inc. Announce ...",2018-03-28 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmFzYW50LWNvcnBvcmF0aW9uLWFuZC1icmFuZC1ncm91cC1ob2xkaW5ncy1pbmMtYW5ub3VuY2UtZGVmaW5pdGl2ZS1tZXJnZXItYWdyZWVtZW50LTMwMDYyMTM5NC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Renasant Corporation to merge with Brand Group Holdings ...,2018-03-30 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9iaXJtaW5naGFtL25ld3MvMjAxOC8wMy8zMC9yZW5hc2FudC1iYW5rLXRvLW1lcmdlLXdpdGgtZ2VvcmdpYS1iYXNlZC1iYW5raW5nLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Historic BrandBank name giving way to Renasant after merger,2018-04-14 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5nd2lubmV0dGRhaWx5cG9zdC5jb20vbG9jYWwvaGlzdG9yaWMtYnJhbmRiYW5rLW5hbWUtZ2l2aW5nLXdheS10by1yZW5hc2FudC1hZnRlci1tZXJnZXIvYXJ0aWNsZV82ZGUyNTc0MS0zZDdjLTVmYTMtYmNlOS1jNGZjMDdkMGJiNGUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Trustmark Bank: Not Ready After 129 Years (NASDAQ:TRMK),2018-04-18 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxNjM2ODEtdHJ1c3RtYXJrLWJhbmstbm90LXJlYWR5LWFmdGVyLTEyOS15ZWFyc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
State Bank Financial to merge with Cadence Bancorporation in $1.4 ...,2018-05-14 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9hdGxhbnRhL25ld3MvMjAxOC8wNS8xNC9hdGxhbnRhcy1zdGF0ZS1iYW5rLXRvLW1lcmdlLXdpdGgtaG91c3RvbnMtY2FkZW5jZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
brg3s architects,2018-06-26 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9maXJtcy9icmczcy1hcmNoaXRlY3Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Los Arcos staves off foreclosure,2018-08-04 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LmRhaWx5LXRyaWJ1bmUuY29tL3N0b3JpZXMvbG9zLWFyY29zLXN0YXZlcy1vZmYtZm9yZWNsb3N1cmUsMTk1NTnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Renasant Corporation Completes Merger with Brand Group ...,2018-09-04 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVuYXNhbnQtY29ycG9yYXRpb24tY29tcGxldGVzLW1lcmdlci13aXRoLWJyYW5kLWdyb3VwLWhvbGRpbmdzLWluYy0zMDA3MDU1NzcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
M&A soared in 2018; companies confident about dealmaking in 2019,2019-01-30 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9tLWEtc29hcmVkLWluLTIwMTgtYXV0b2Rlc2staGVyc2hleS1zdHJ5a2VyLWNsb3NlZC1ub3RhYmxlLWRlYWxz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Millennium Management Llc Buys,2019-02-16 00:00:00,https://news.google.com/./articles/CBMilgFodHRwczovL3d3dy5ndXJ1Zm9jdXMuY29tL25ld3MvODE3NjY2L21pbGxlbm5pdW0tbWFuYWdlbWVudC1sbGMtYnV5cy1zdGFyYnVja3MtY29ycC1jZWxnZW5lLWNvcnAtdGVzbGEtaW5jLXNlbGxzLWZvcnRpdmUtY29ycC1hZXRuYS1pbmMtbWljcm9zb2Z0LWNvcnDSAQA?hl=en-US&gl=US&ceid=US%3Aen
California's Women Requirement for Company Boards Could Pave ...,2019-03-21 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vZ3JhcGhpY3MvMjAxOS13b21lbi1vbi1ib2FyZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
People and Honors: April 2019,2019-05-02 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lmtub3huZXdzLmNvbS9waWN0dXJlLWdhbGxlcnkvbW9uZXkvYnVzaW5lc3MvMjAxOS8wNS8wMi9wZW9wbGUtYW5kLWhvbm9ycy1hcHJpbC0yMDE5LzM2MjI2OTIwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
United Way of Central Alabama launches largest summer ...,2019-06-10 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vYmhhbW5vdy5jb20vMjAxOS8wNi8xMS91bml0ZWQtd2F5LW9mLWNlbnRyYWwtYWxhYmFtYS1sYXVuY2hlcy1sYXJnZXN0LXN1bW1lci1mdW5kcmFpc2luZy1jYW1wYWlnbi1pbi1pdHMtaGlzdG9yeS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
FB Financial Corporation Update on Exit of Wholesale Mortgage ...,2019-06-24 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTkwNjI0MDA1NzI0L2VuL0ZCLUZpbmFuY2lhbC1Db3Jwb3JhdGlvbi1VcGRhdGUtb24tRXhpdC1vZi1XaG9sZXNhbGUtTW9ydGdhZ2UtQ2hhbm5lbHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Flaggs among Mississippi's Most Influential African Americans of ...,2019-07-23 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnZpY2tzYnVyZ3Bvc3QuY29tLzIwMTkvMDcvMjMvZmxhZ2dzLWFtb25nLW1pc3Npc3NpcHBpcy1tb3N0LWluZmx1ZW50aWFsLWFmcmljYW4tYW1lcmljYW5zLW9mLTIwMTkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX BRIDGEWAY FUNDS INC For: Jun 30,2019-08-16 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtCUklER0VXQVkrRlVORFMrSU5DK0ZvciUzQStKdW4rMzAvMTU4Mjg0OTQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX ROYCE FUND For: Jun 30,2019-08-20 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtST1lDRStGVU5EK0ZvciUzQStKdW4rMzAvMTU4Mzc1MDUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Alabama State University Announces $3.6 Million Dollar ...,2019-09-13 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmFsYXN1LmVkdS9hbGFiYW1hLXN0YXRlLXVuaXZlcnNpdHktYW5ub3VuY2VzLTM2LW1pbGxpb24tZG9sbGFyLWZ1bmRyYWlzaW5nLXllYXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Buy 3 Of 4 Mississippi Banks,2019-09-16 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyOTE5NDAtYnV5LTMtb2YtNC1taXNzaXNzaXBwaS1iYW5rc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
