title,datetime,link,Negative,Neutral,Positive,Compound
New drug approvals took a nosedive in 2016. Here are the 22 that ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmZpZXJjZWJpb3RlY2guY29tL3NwZWNpYWwtcmVwb3J0L25ldy1kcnVnLWFwcHJvdmFscy10b29rLWEtbm9zZWRpdmUtMjAxNi1oZXJlLWFyZS0yMi1tYWRlLWdyYWRl0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.435,0.565,0.7351
Supplement Maker Tried to Sue Pieter Cohen of Harvard for His ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc3VwcGxlbWVudC1tYWtlci10cmllZC10by1zdWUtcGlldGVyLWNvaGVuLW9mLWhhcnZhcmQtZm9yLWhpcy1yZXNlYXJjaC0yMDE3LTHSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.455,0.545,0.0,-0.7184
"We’re in the year of the biotech buyout, and here are five prime targets",2017-01-23 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS93ZXJlLWluLXRoZS15ZWFyLW9mLXRoZS1iaW90ZWNoLWJ1eW91dC1hbmQtaGVyZS1hcmUtZml2ZS1wcmltZS10YXJnZXRzLTIwMTctMDEtMjPSAXdodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L3dlcmUtaW4tdGhlLXllYXItb2YtdGhlLWJpb3RlY2gtYnV5b3V0LWFuZC1oZXJlLWFyZS1maXZlLXByaW1lLXRhcmdldHMtMjAxNy0wMS0yMw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
year-new-drugs,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vY2VuLmFjcy5vcmcvYXJ0aWNsZXMvOTUvaTUveWVhci1uZXctZHJ1Z3MuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
22 Novel Drugs Approved by FDA in 2016 | Knobbe Martens ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lmpkc3VwcmEuY29tL2xlZ2FsbmV3cy8yMi1ub3ZlbC1kcnVncy1hcHByb3ZlZC1ieS1mZGEtaW4tMjAxNi0yNzQ4Ni_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.581,0.419,0.5574
2017 Annual Report: Top 10 Pipelines – PharmaLive,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnBoYXJtYWxpdmUuY29tL2FubnVhbC1yZXBvcnQtdG9wLTEwLXBpcGVsaW5lcy0yMDE3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.606,0.394,0.3818
How Hedge Fund Billionaires Are Playing the Trump Presidency,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnZhbml0eWZhaXIuY29tL25ld3MvMjAxNy8wMi9ob3ctaGVkZ2UtZnVuZC1iaWxsaW9uYWlyZXMtYXJlLXBsYXlpbmctdGhlLXRydW1wLXByZXNpZGVuY3nSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.568,0.432,0.5859
Target Is a Seesaw for Anxious Investors,2017-02-27 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvMjAxNy0wMi0yNy90YXJnZXQtY29ycG9yYXRpb24tdGd0LWlzLWEtc2Vlc2F3LWZvci1hbnhpb3VzLWludmVzdG9yc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.4588
IHI and NPSF will merge to drive nationwide patient safety efforts,2017-03-13 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL2hlYWx0aGNhcmUvaWhpLWFuZC1ucHNmLXdpbGwtbWVyZ2UtZm9yY2VzLXRvLWRyaXZlLW5hdGlvbndpZGUtcGF0aWVudC1zYWZldHktZWZmb3J0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.603,0.397,0.6808
"Domino's stock has outperformed Google, Facebook, Apple, and ...",2017-03-22 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vcXouY29tLzkzODYyMC9kb21pbm9zLWRwei1zdG9jay1oYXMtb3V0cGVyZm9ybWVkLWdvb2dsZS1nb29nLWZhY2Vib29rLWZiLWFwcGxlLWFhcGwtYW5kLWFtYXpvbi1hbXpuLXRoaXMtZGVjYWRl0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.5,0.5,0.7184
More than 20% of patients misdiagnosed by primary care providers ...,2017-04-04 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3ByYWN0aWNlcy9tb3JlLXRoYW4tMjAtcGF0aWVudHMtbWlzZGlhZ25vc2VkLWJ5LXByaW1hcnktY2FyZS1wcm92aWRlcnMtc3R1ZHktZmluZHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.426,0.574,0.7506
Alarm fatigue: 5 reasons nurses may have a delayed response to ...,2017-04-11 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL2hlYWx0aGNhcmUvYWxhcm0tZmF0aWd1ZS01LXJlYXNvbnMtbnVyc2VzLW1heS1oYXZlLWEtZGVsYXllZC1yZXNwb25zZS10by1hbGFybXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.706,0.294,0.0,-0.8625
"When patients text: 4 ways physicians can protect privacy, maintain ...",2017-04-19 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3ByYWN0aWNlcy80LXRpcHMtdG8tZm9sbG93LXdoZW4tcGF0aWVudHMtdGV4dC15b3XSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.588,0.412,0.6369
21 California doctors charged in $40M fraud scheme,2017-04-20 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3ByYWN0aWNlcy8yMS1jYWxpZm9ybmlhLWRvY3RvcnMtY2hhcmdlZC00MC1taWxsaW9uLWtpY2tiYWNrLXNjaGVtZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.623,0.377,0.0,-0.8225
MDLive faces class-action lawsuit over privacy concerns,2017-04-21 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3ByaXZhY3ktc2VjdXJpdHkvbWRsaXZlLWZhY2VzLWNsYXNzLWFjdGlvbi1sYXdzdWl0LW92ZXItcHJpdmFjeS1jb25jZXJuc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.609,0.391,0.0,-0.8316
Deadly 'superbug' fungus hits U.S. hospitals,2017-04-27 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3BvcHVsYXRpb24taGVhbHRoL3B1YmxpYy1oZWFsdGgtb2ZmaWNpYWxzLXdhcm4tc3VwZXJidWctZnVuZ3Vz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
The Lady Bird Johnson Environmental Award Presented to Ken Burns,2017-04-28 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvdGhlLWxhZHktYmlyZC1qb2huc29uLWVudmlyb25tZW50YWwtYXdhcmQtcHJlc2VudGVkLXRvLWtlbi1idXJucy0zMDA0NDc4MjQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.538,0.462,0.7906
What to do when your biotechnology stock gets hit by takeover rumors,2017-05-04 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS93aGF0LXRvLWRvLXdoZW4teW91ci1iaW90ZWNobm9sb2d5LXN0b2NrLWdldHMtaGl0LWJ5LXRha2VvdmVyLXJ1bW9ycy0yMDE3LTA1LTA00gF1aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS93aGF0LXRvLWRvLXdoZW4teW91ci1iaW90ZWNobm9sb2d5LXN0b2NrLWdldHMtaGl0LWJ5LXRha2VvdmVyLXJ1bW9ycy0yMDE3LTA1LTA0?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
AHA President Rick Pollack: Republican healthcare bill 'not ...,2017-05-08 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5maWVyY2VoZWFsdGhjYXJlLmNvbS9yZWd1bGF0b3J5L2FoYS1wcmVzaWRlbnQtcmljay1wb2xsYWNrLXJlcHVibGljYW4taGVhbHRoY2FyZS1iaWxsLW5vdC1jb25zaXN0ZW50LW91ci1kZWVwbHktaGVsZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Physician moms say they face workplace discrimination,2017-05-08 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3ByYWN0aWNlcy93b21lbi1kb2NzLXdoby1hcmUtbW9tcy1vZnRlbi1mYWNlLWRpc2NyaW1pbmF0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Memorial Hermann Health System will pay $2.4M to settle HIPAA ...,2017-05-10 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL2hlYWx0aGNhcmUvbWVtb3JpYWwtaGVybWFubi1oZWFsdGgtc3lzdGVtLXdpbGwtcGF5LTItNG0tdG8tc2V0dGxlLWhpcGFhLXZpb2xhdGlvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.231,0.769,0.0,-0.2023
Hospital Impact: 4 takeaways for navigating telehealth following ATA ...,2017-05-10 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL2hvc3BpdGFscy9ob3NwaXRhbC1pbXBhY3QtNC1rZXlzLXRvLW5hdmlnYXRpbmctdGVsZWhlYWx0aC1mcm9tLWF0YS0yMDE30gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Insurance-primary care hybrid Harken Health will shut down,2017-05-16 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZpZXJjZWhlYWx0aGNhcmUuY29tL3BheWVyL2hhcmtlbi1oZWFsdGgtdG8tc2h1dHRlci1pdHMtaWxsaW5vaXMtZ2VvcmdpYS1jbGluaWNz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.325,0.325,0.351,0.1027
Meet the 2017 manufacturing award winners - Buffalo Business First,2017-05-17 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9idWZmYWxvL25ld3MvMjAxNy8wNS8xNy9tZWV0LXRoZS0yMDE3LW1hbnVmYWN0dXJpbmctYXdhcmQtd2lubmVycy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.284,0.716,0.9393
Bain Capital raises $720 million for life sciences fund,2017-05-23 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtYmFpbmNhcGl0YWwtbGlmZXNjaWVuY2VzZnVuZC1pZFVTS0JOMThKMUdW0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
