title,datetime,link,Negative,Neutral,Positive,Compound
Rave Restaurant Group names Scott Crane CEO,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3Lm5ybi5jb20vcGVvcGxlL3JhdmUtcmVzdGF1cmFudC1ncm91cC1uYW1lcy1zY290dC1jcmFuZS1jZW_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
O'Charley's parent names new president,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lm5ybi5jb20vcGVvcGxlL28tY2hhcmxleS1zLXBhcmVudC1uYW1lcy1uZXctcHJlc2lkZW500gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
The Strategy Portfolio Approach To Investing,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzY0NzYtc3RyYXRlZ3ktcG9ydGZvbGlvLWFwcHJvYWNoLXRvLWludmVzdGluZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
2017 Renewable Yieldco Investing,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzcwOTktMjAxNy1yZW5ld2FibGUteWllbGRjby1pbnZlc3RpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Ruby Tuesday debuts revamped Garden Bar systemwide,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3Lm5ybi5jb20vY2FzdWFsLWRpbmluZy9ydWJ5LXR1ZXNkYXktZGVidXRzLXJldmFtcGVkLWdhcmRlbi1iYXItc3lzdGVtd2lkZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Papa Murphy's targets busy moms in new ads,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3Lm5ybi5jb20vbWFya2V0aW5nL3BhcGEtbXVycGh5LXMtdGFyZ2V0cy1idXN5LW1vbXMtbmV3LWFkc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
How to create a guideline for EpiPen use,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3Lm5ybi5jb20vb3BlcmF0aW9ucy9ob3ctY3JlYXRlLWd1aWRlbGluZS1lcGlwZW4tdXNl0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.484,0.516,0.4939
Houlihan's remodels emphasize individuality,2017-01-21 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm5ybi5jb20vb3BlcmF0aW9ucy9ob3VsaWhhbi1zLXJlbW9kZWxzLWVtcGhhc2l6ZS1pbmRpdmlkdWFsaXR50gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
McDonald's same-store sales fall,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3Lm5ybi5jb20vZmluYW5jZS9tY2RvbmFsZC1zLXNhbWUtc3RvcmUtc2FsZXMtZmFsbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
The Power List 2017: Wyman T. Roberts,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3Lm5ybi5jb20vbnJuLTUwL3Bvd2VyLWxpc3QtMjAxNy13eW1hbi10LXJvYmVydHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
