title,datetime,link,Negative,Neutral,Positive,Compound
First Financial changes charter - Cincinnati Business Courier,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaW5jaW5uYXRpL25ld3MvMjAxNy8wMS8wNC9maXJzdC1maW5hbmNpYWwtY2hhbmdlcy1jaGFydGVyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
How Many Bank Stocks Are on the S&P 500?,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzAxLzA0L2hvdy1tYW55LWJhbmstc3RvY2tzLWFyZS1vbi10aGUtc3AtNTAwLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Full List: Ranking America's 100 Largest Banks,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva3VydGJhZGVuaGF1c2VuLzIwMTcvMDEvMTAvZnVsbC1saXN0LXJhbmtpbmctYW1lcmljYXMtMTAwLWxhcmdlc3QtYmFua3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Fifth Third Bank Offers Five Mobile Wallet Options,2017-01-11 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTExMDA1MTY4L2VuL0ZpZnRoLVRoaXJkLUJhbmstT2ZmZXJzLUZpdmUtTW9iaWxlLVdhbGxldC1PcHRpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Fifth Third Bank Announces Acquisition of The Retirement ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDExOTAwNTc0OC9lbi9GaWZ0aC1UaGlyZC1CYW5rLUFubm91bmNlcy1BY3F1aXNpdGlvbi1vZi1UaGUtUmV0aXJlbWVudC1Db3Jwb3JhdGlvbi1vZi1BbWVyaWNh0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Fifth Third acquires retirement advisory firm in Cincinnati,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS9uZXdzL2ZpZnRoLXRoaXJkLWFjcXVpcmVzLXJldGlyZW1lbnQtYWR2aXNvcnktZmlybS1pbi1jaW5jaW5uYXRp0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Fifth Third partners with venture capital firm to boost fintech ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaW5jaW5uYXRpL25ld3MvMjAxNy8wMS8yMy9maWZ0aC10aGlyZC1wYXJ0bmVycy13aXRoLXZlbnR1cmUtY2FwaXRhbC1maXJtLXRvLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.614,0.386,0.6597
Have the big banks finally cracked the code on P-to-P payments?,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS9uZXdzL2hhdmUtdGhlLWJpZy1iYW5rcy1maW5hbGx5LWNyYWNrZWQtdGhlLWNvZGUtb24tcC10by1wLXBheW1lbnRz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"PetroChoice Acquires Miller Industrial Fluids, LLC",2017-01-30 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcGV0cm9jaG9pY2UtYWNxdWlyZXMtbWlsbGVyLWluZHVzdHJpYWwtZmx1aWRzLWxsYy0zMDAzOTg4NDIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
2017 Intellectual Property Law Year In Review | McDermott Will ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lmpkc3VwcmEuY29tL2xlZ2FsbmV3cy8yMDE3LWludGVsbGVjdHVhbC1wcm9wZXJ0eS1sYXcteWVhci1pbi0xNzQzNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.472,0.528,0.765
