title,datetime,link,Negative,Neutral,Positive,Compound
The Eagles scored a touchdown and gave the ball to Mike Trout,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvdGhlLWVhZ2xlcy1zY29yZWQtYS10b3VjaGRvd24tYW5kLWdhdmUtdGhlLWJhbGwtdG8tbWlrZS10cm91dNIBY2h0dHBzOi8vYW1wLmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvdGhlLWVhZ2xlcy1zY29yZWQtYS10b3VjaGRvd24tYW5kLWdhdmUtdGhlLWJhbGwtdG8tbWlrZS10cm91dA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Vikings Fans Hang From Rafters, Banner in Stadium (Video)",2017-01-01 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvdmlraW5ncy1mYW5zLWhhbmctZnJvbS1yYWZ0ZXJzLWJhbm5lci1pbi1zdGFkaXVtLXZpZGVv0gFcaHR0cHM6Ly9hbXAuZm94c3BvcnRzLmNvbS9zdG9yaWVzL25mbC92aWtpbmdzLWZhbnMtaGFuZy1mcm9tLXJhZnRlcnMtYmFubmVyLWluLXN0YWRpdW0tdmlkZW8?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.625,0.375,0.5574
"49ers Officially Fire GM Trent Baalke, Head Coach Chip Kelly",2017-01-01 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvNDllcnMtb2ZmaWNpYWxseS1maXJlLWdtLXRyZW50LWJhYWxrZS1oZWFkLWNvYWNoLWNoaXAta2VsbHnSAWFodHRwczovL2FtcC5mb3hzcG9ydHMuY29tL3N0b3JpZXMvbmZsLzQ5ZXJzLW9mZmljaWFsbHktZmlyZS1nbS10cmVudC1iYWFsa2UtaGVhZC1jb2FjaC1jaGlwLWtlbGx5?hl=en-US&gl=US&ceid=US%3Aen,0.297,0.703,0.0,-0.5859
Vikings’ Cordarrelle Patterson pays homage to Randy Moss with amazing socks,2017-01-01 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvdmlraW5ncy1jb3JkYXJyZWxsZS1wYXR0ZXJzb24tcGF5cy1ob21hZ2UtdG8tcmFuZHktbW9zcy13aXRoLWFtYXppbmctc29ja3PSAXBodHRwczovL2FtcC5mb3hzcG9ydHMuY29tL3N0b3JpZXMvbmZsL3Zpa2luZ3MtY29yZGFycmVsbGUtcGF0dGVyc29uLXBheXMtaG9tYWdlLXRvLXJhbmR5LW1vc3Mtd2l0aC1hbWF6aW5nLXNvY2tz?hl=en-US&gl=US&ceid=US%3Aen,0.122,0.473,0.405,0.7351
Alshon Jeffery guarantees Bears will win Super Bowl next year,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvYWxzaG9uLWplZmZlcnktZ3VhcmFudGVlcy1iZWFycy13aWxsLXdpbi1zdXBlci1ib3dsLW5leHQteWVhctIBY2h0dHBzOi8vYW1wLmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvYWxzaG9uLWplZmZlcnktZ3VhcmFudGVlcy1iZWFycy13aWxsLXdpbi1zdXBlci1ib3dsLW5leHQteWVhcg?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.268,0.732,0.9607
3 Games in 2016 The Baltimore Ravens Wish They Could Have Back,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvMy1nYW1lcy1pbi0yMDE2LXRoZS1iYWx0aW1vcmUtcmF2ZW5zLXdpc2gtdGhleS1jb3VsZC1oYXZlLWJhY2vSAWRodHRwczovL2FtcC5mb3hzcG9ydHMuY29tL3N0b3JpZXMvbmZsLzMtZ2FtZXMtaW4tMjAxNi10aGUtYmFsdGltb3JlLXJhdmVucy13aXNoLXRoZXktY291bGQtaGF2ZS1iYWNr?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.532,0.468,0.6597
Lane Kiffin just can't stop sabotaging himself,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9jb2xsZWdlLWZvb3RiYWxsL2xhbmUta2lmZmluLWp1c3QtY2FudC1zdG9wLXNhYm90YWdpbmctaGltc2VsZtIBYGh0dHBzOi8vYW1wLmZveHNwb3J0cy5jb20vc3Rvcmllcy9jb2xsZWdlLWZvb3RiYWxsL2xhbmUta2lmZmluLWp1c3QtY2FudC1zdG9wLXNhYm90YWdpbmctaGltc2VsZg?hl=en-US&gl=US&ceid=US%3Aen,0.821,0.179,0.0,-0.8807
"Evan Mathis announces retirement, probably",2017-01-02 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvZXZhbi1tYXRoaXMtYW5ub3VuY2VzLXJldGlyZW1lbnQtcHJvYmFibHnSAU9odHRwczovL2FtcC5mb3hzcG9ydHMuY29tL3N0b3JpZXMvbmZsL2V2YW4tbWF0aGlzLWFubm91bmNlcy1yZXRpcmVtZW50LXByb2JhYmx5?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Broncos' Aqib Talib explains why he ripped off Michael Crabtree's necklace,2017-01-02 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uZmwvYnJvbmNvcy1hcWliLXRhbGliLWV4cGxhaW5zLXdoeS1oZS1yaXBwZWQtb2ZmLW1pY2hhZWwtY3JhYnRyZWVzLW5lY2tsYWNl0gFuaHR0cHM6Ly9hbXAuZm94c3BvcnRzLmNvbS9zdG9yaWVzL25mbC9icm9uY29zLWFxaWItdGFsaWItZXhwbGFpbnMtd2h5LWhlLXJpcHBlZC1vZmYtbWljaGFlbC1jcmFidHJlZXMtbmVja2xhY2U?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Reliving the Legend of Joe Jesus,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9uYmEvcmVsaXZpbmctdGhlLWxlZ2VuZC1vZi1qb2UtamVzdXPSAUZodHRwczovL2FtcC5mb3hzcG9ydHMuY29tL3N0b3JpZXMvbmJhL3JlbGl2aW5nLXRoZS1sZWdlbmQtb2Ytam9lLWplc3Vz?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
