title,datetime,link,Negative,Neutral,Positive,Compound
New Year = New Life: WATCH: Eagle Cam: First Bald Eagle Chick ...,2017-01-01 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEwMTE3LW5ldy15ZWFyLW5ldy1saWZlLXdhdGNoLWVhZ2xlLWNhbS1maXJzdC1iYWxkLWVhZ2xlLWNoaWNrLWhhdGNoZXMtZmxvcmlkYS1uZXN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Biggest Bust Ever: Chinese Officials Seize Three Tons of Poached ...,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9iaWdnZXN0LXBvYWNoZWQtcGFuZ29saW4tcGFydHMtYnVzdC1oaXN0b3J5LWdvZXMtc2hhbmdoYWktY2hpbmEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.385,0.615,0.0,-0.7184
"Without Kelly, Fox News Counts on White Men in Prime Time",2017-01-06 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTA2L3dpdGhvdXQtbWVneW4ta2VsbHktZm94LW5ld3MtY291bnRzLW9uLXdoaXRlLW1lbi1pbi1wcmltZS10aW1l0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Skechers Performance Returns As Chevron Houston Marathon ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vc2dib25saW5lLmNvbS9za2VjaGVycy1wZXJmb3JtYW5jZS1yZXR1cm5zLWFzLWNoZXZyb24taG91c3Rvbi1tYXJhdGhvbi1zcG9uc29yL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Gentex: A Company With A Market Cap Of Nearly $6 Billion Seems ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MDM1NzMzLWdlbnRleC1jb21wYW55LW1hcmtldC1jYXAtb2YtbmVhcmx5LTYtYmlsbGlvbi1zZWVtcy10by1iZS1vdmVyc3RhdGluZy1wcm9maXRzLXNpZ25pZmljYW50bHnSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Inside the Fed's Head: The 2011 Transcripts,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTAxLTEyL2luc2lkZS10aGUtZmVkLXMtaGVhZC10aGUtMjAxMS10cmFuc2NyaXB0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
We're Going to Run Out of Company Names,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDE3LTAxLTEzL3dlLXJlLWdvaW5nLXRvLXJ1bi1vdXQtb2YtY29tcGFueS1uYW1lc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
From Scaife to Trump: The Foundation of the Transition | Pittsburgh ...,2017-01-15 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vbmV3c2ludGVyYWN0aXZlLnBvc3QtZ2F6ZXR0ZS5jb20vc2NhaWZlLXRvLXRydW1wL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Killing Us Won't Shut Us Up! - Another Environmental Journalist ...,2017-01-15 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9raWxsaW5nLXVzLXdvbnQtc2h1dC11cy1hbm90aGVyLWVudmlyb25tZW50YWwtam91cm5hbGlzdC1ndW5uZWQtcGhpbGlwcGluZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.817,0.183,0.0,-0.9468
What Are the 'FANG' Stocks? A Short Explainer,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiMWh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3doYXQtYXJlLXRoZS1mYW5nLXN0b2Nrcy_SATVodHRwczovL3d3dy50aGV3cmFwLmNvbS93aGF0LWFyZS10aGUtZmFuZy1zdG9ja3MvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
New Species Named After The New President: 'Donald Trump's Hair ...,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyMDE3LW5ldy1zcGVjaWVzLW5hbWVkLW5ldy1wcmVzaWRlbnQtZG9uYWxkLXRydW1wcy1oYWlyLW1vdGgv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Chippewa Tribe Kicking Enbridge, and Great Lakes Underwater Tar ...",2017-01-21 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyMTE3LWNoaXBwZXdhLXRyaWJlLWtpY2tpbmctZW5icmlkZ2UtZ3JlYXQtbGFrZXMtdW5kZXJ3YXRlci10YXItc2FuZHMtcGlwZWxpbmUtb2ZmLXJlc2VydmF0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.493,0.507,0.8481
Hacktivists Group Anonymous Warns It Will Expose Trump For ...,2017-01-22 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyMjE3LWhhY2t0aXZpc3RzLWdyb3VwLWFub255bW91cy13YXJucy13aWxsLWV4cG9zZS10cnVtcC1yZWFsbHktaGVhdnktc2hpdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.4588
Wyoming GOP Introduces Bill That Penalizes and Outlaws Wind and ...,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyNDE3LXd5b21pbmctZ29wLWludHJvZHVjZXMtYmlsbC1wZW5hbGl6ZXMtb3V0bGF3cy13aW5kLXNvbGFyLWVuZXJneS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.455,0.545,0.0,-0.7184
WildEarth Guardians Sues Colorado over Plan to Kill Black Bears ...,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyNTE3LXdpbGRlYXJ0aC1ndWFyZGlhbnMtc3Vlcy1jb2xvcmFkby1wbGFuLWtpbGwtYmxhY2stYmVhci1tb3VudGFpbi1saW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.691,0.309,0.0,-0.9468
"The long, storied history behind the footballs of the NFL",2017-01-27 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNoaWNhZ290cmlidW5lLmNvbS9zcG9ydHMvY3QtaGlzdG9yeS1mb290YmFsbHMtbmZsLTIwMTcwMTI3LXN0b3J5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Video: Schwarzenegger Gives POTUS Huge Black Eye on Twitter ...,2017-02-02 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDIwMjE3LXZpZGVvLXNjaHdhcnplbmVnZ2VyLWdpdmVzLXBvdHVzLWh1Z2UtYmxhY2stZXllLXR3aXR0ZXItdHJ1bXBzLWNoZWFwLWphYi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.66,0.34,0.5574
New Radiation Readings in Fukushima Reactor 2 Are ...,2017-02-06 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9hbGVydC1uZXctcmFkaWF0aW9uLXJlYWRpbmdzLWZ1a3VzaGltYS1yZWFjdG9yLTItdW5pbWFnaW5hYmxlLWxldGhhbC0xLW1pbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Trump's Labor Pick Loves Burgers, Bikinis, and Free Markets",2017-02-09 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTAyLTA5L3RydW1wLXMtbGFib3ItcGljay1sb3Zlcy1idXJnZXJzLWJpa2luaXMtYW5kLWZyZWUtbWFya2V0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.316,0.684,0.9432
UK biscuit makers seek ways to get their bite back,2017-02-16 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzFiNGY4N2NjLWViYjMtMTFlNi1iYTAxLTExOWE0NDkzOWJiNtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Unilever rejects $143bn Kraft Heinz takeover bid,2017-02-17 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2U0YWZjNTA0LWY0N2UtMTFlNi04NzU4LTY4NzYxNTE4MjFhNtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.423,0.577,0.0,-0.6597
"IAVA Engaged In Fundraising Fraud, 'Doctored' Books, Say Former ...",2017-02-23 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmRpc2FibGVkdmV0ZXJhbnMub3JnLzIwMTcvMDIvMjMvaWF2YS1mdW5kcmFpc2luZy1mcmF1ZC1kb2N0b3JlZC1ib29rcy1mb3JtZXItZW1wbG95ZWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.402,0.366,0.232,-0.5859
Republicans Lick Chops While Revving Up To Dismantle The ...,2017-02-26 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDIyNjE3LXJlcHVibGljYW5zLWxpY2stY2hvcHMtcmV2dmluZy1kaXNtYW50bGUtZW5kYW5nZXJlZC1zcGVjaWVzLWFjdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
300 NGO and Environmental Orgs Demand via Joint Letter Ntl. Guvs ...,2017-02-27 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDIyNzE3LTMwMC1uZ28tZW52aXJvbm1lbnRhbC1vcmdzLWRlbWFuZC1udGwtZ3V2cy1hc3NvYy1wcm90ZWN0LWVuZGFuZ2VyZWQtc3BlY2llcy1hY3Qv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.2,0.8,0.0,-0.25
Iceland Ices Teen Substance Abuse - Will America and the World ...,2017-02-27 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9pY2VsYW5kLWljZXMtdGVlbi1zdWJzdGFuY2UtYWJ1c2Utd2lsbC11LXMtd29ybGQtZm9sbG93LWNvdW50cnlzLWxlYWQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.552,0.448,0.0,-0.8555
These Surgery Raids Show The Risks Of Abortion Remaining In The ...,2017-03-05 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmJ1enpmZWVkLmNvbS9naW5hcnVzaHRvbi90aGVzZS1zdXJnZXJ5LXJhaWRzLXNob3ctdGhlLXJpc2tzLW9mLWFib3J0aW9uLXJlbWFpbmluZy1pbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.39,0.61,0.0,-0.4939
'Romeo Killer' Case Is Bad News for Projects Based on a True Story,2017-03-07 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL2NocmlzLXBvcmNvLWxpZmV0aW1lLXJvbWVvLWtpbGxlci_SAT5odHRwczovL3d3dy50aGV3cmFwLmNvbS9jaHJpcy1wb3Jjby1saWZldGltZS1yb21lby1raWxsZXIvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.562,0.248,0.19,-0.9001
F35B finally fires its guns in the air,2017-03-08 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zY2llbmNldGVjaC9hcnRpY2xlLTQyOTQ0MDYvRjM1Qi1maW5hbGx5LWZpcmVzLWd1bnMtYWlyLmh0bWzSAVxodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvc2NpZW5jZXRlY2gvYXJ0aWNsZS00Mjk0NDA2L2FtcC9GMzVCLWZpbmFsbHktZmlyZXMtZ3Vucy1haXIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.792,0.208,0.0,-0.8225
Amazing Video: French Military Training Golden Eagles to Take Out ...,2017-03-12 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9hbWF6aW5nLXZpZGVvLWZyZW5jaC1taWxpdGFyeS10cmFpbmluZy1nb2xkZW4tZWFnbGVzLXRha2UtZHJvbmVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.538,0.462,0.7906
Colorado: Chevron Oil Pipeline Spill Contaminates Stinking Water ...,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5lbnZpcm9uZXdzLnR2LzAzMTYxNy1jb2xvcmFkby1jaGV2cm9uLW9pbC1waXBlbGluZS1zcGlsbC1jb250YW1pbmF0ZXMtc3Rpbmtpbmctd2F0ZXItY3JlZWstdHJpYnV0YXJ5LWtpbGxpbmctd2lsZGxpZmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.386,0.614,0.0,-0.6597
Interior Leases 1st of 14 U.S. Coal Strips Not Under Moratorium ...,2017-03-17 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDMxNzE3LWludGVyaW9yLWxlYXNlcy0xc3QtMTQtdS1zLWNvYWwtc3RyaXBzLW5vdC1tb3JhdG9yaXVtLTU1bS10b25zLXV0YWgtbnRsLWZvcmVzdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.7184
"Paramount's China Partner Huahua Has Ties to Distressed Lender, Unclear Chairman Picture (Exclusive)",2017-03-17 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3BhcmFtb3VudC1jaGluYS1wYXJ0bmVyLWh1YWh1YS1uZXctY2hhaXJtYW4tY2hlY2tlcmVkLXBhc3QtdGllcy1kaXN0cmVzc2VkLWxlbmRlci1leGNsdXNpdmUv0gF4aHR0cHM6Ly93d3cudGhld3JhcC5jb20vcGFyYW1vdW50LWNoaW5hLXBhcnRuZXItaHVhaHVhLW5ldy1jaGFpcm1hbi1jaGVja2VyZWQtcGFzdC10aWVzLWRpc3RyZXNzZWQtbGVuZGVyLWV4Y2x1c2l2ZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.432,0.455,0.114,-0.765
Predator Bloodbath: ‘Secretive’ Federal Agency Wildlife Services ...,2017-03-18 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3d3dy5lbnZpcm9uZXdzLnR2LzAzMTgxNy1wcmVkYXRvci1ibG9vZGJhdGgtc2VjcmV0aXZlLWZlZGVyYWwtYWdlbmN5LXdpbGRsaWZlLXNlcnZpY2VzLWtpbGxzLTEtNi1taWxsaW9uLW5hdGl2ZS1hbmltYWxzLTIwMTYv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Huntington Bank signs Little Caesars Arena sponsorship deal,2017-03-20 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmNyYWluc2RldHJvaXQuY29tL2FydGljbGUvMjAxNzAzMjAvTkVXUy8xNzAzMjk5OTEvaHVudGluZ3Rvbi1iYW5rLXNpZ25zLWxpdHRsZS1jYWVzYXJzLWFyZW5hLXNwb25zb3JzaGlwLWRlYWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Sears Canada Launching Off-price Division Inside All 94 Stores,2017-03-21 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3dkLmNvbS9idXNpbmVzcy1uZXdzL3JldGFpbC9zZWFycy1jYW5hZGEtbGF1bmNoaW5nLW9mZi1wcmljZS1kaXZpc2lvbi1pbnNpZGUtYWxsLTk0LXN0b3Jlcy0xMDg0NzcwNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Would You Like to See Jaguars Back in the Lower 48? Defenders of ...,2017-03-21 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDMyMTE3LWRlZmVuZGVycy13aWxkbGlmZS1wdWJsaXNoZXMtdS1zLWphZ3Vhci1yZWNvdmVyeS1wbGFuLWNvdW50ZXItbGFja2luZy11c2Z3cy1zdHJhdGVneS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.246,0.308,0.446,0.3818
"USDA's 'Cruel,' 'Illegal' Cyanide Bombs for Wolves and Coyotes ...",2017-03-23 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDMyMzE3LXVzZGFzLWNydWVsLWN5YW5pZGUtYm9tYnMtd29sdmVzLWNveW90ZXMtbm93LWtpbGxpbmctZG9ncy1ob3NwaXRhbGl6aW5nLWtpZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.82,0.18,0.0,-0.969
"Bill Allowing Slaughter of Alaskan Bear Cubs, Wolf Pups, Sails ...",2017-03-25 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDMyNTE3LWJpbGwtYWxsb3dpbmctc2xhdWdodGVyLWFsYXNrYW4tYmVhci1jdWJzLXdvbGYtcHVwcy1zYWlscy1zZW5hdGUtdHJ1bXBzLWRlc2sv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.741,0.259,0.4215
Up Yours! Revenge: Mexican Matador Gored up the Butt With 11 ...,2017-03-25 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9yZXZlbmdlLW1leGljYW4tbWF0YWRvci1nb3JlZC1idXR0LTExLWluY2hlcy1idWxsLWhvcm4v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.592,0.408,0.0,-0.7783
"Drone Video: Giant, Critically Endangered Leatherback Sea Turtle ...",2017-03-26 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9hd2Vzb21lLWRyb25lLXZpZGVvLWdpYW50LWxlYXRoZXJiYWNrLXNlYS10dXJ0bGUtc3dpbXMtc2FuZC1iYWNrLXNlYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.625,0.375,0.0,-0.9001
Union files charges with labor board over outsourcing at GE ...,2017-03-29 00:00:00,https://news.google.com/./articles/CBMinwFodHRwczovL3d3dy53ZHJiLmNvbS9uZXdzL2J1c2luZXNzL3VuaW9uLWZpbGVzLWNoYXJnZXMtd2l0aC1sYWJvci1ib2FyZC1vdmVyLW91dHNvdXJjaW5nLWF0LWdlLWFwcGxpYW5jZS1wYXJrL2FydGljbGVfNDRiOWU3NTYtOGRkMC01MjE3LTlkMjctZTI0YzJjNTRhMzIzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Mind-Blowing Video: Python Sliced Open After Swallowing Man ...,2017-03-30 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvd29ybGQtbmV3cy9taW5kLWJsb3dpbmctdmlkZW8tcHl0aG9uLXNsaWNlZC1vcGVuLXN3YWxsb3dpbmctbWFuLXdob2xlLWluZG9uZXNpYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Street Scene,2017-04-01 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3Lm10YWlyeW5ld3MuY29tL29waW5pb24vNDk3NzIvc3RyZWV0LXNjZW5lLTE20gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Time-Lapse Video: 'Bad Ass' Badger Buries, Preserves, and Stashes ...",2017-04-01 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQwMTE3LXRpbWUtbGFwc2UtdmlkZW8tYmFkLWFzcy1iYWRnZXItYnVyaWVzLXByZXNlcnZlcy1zdGFzaGVzLWVudGlyZS1jb3cv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.611,0.389,0.0,-0.9186
It's Done: Trump Signs HJR 69 into Law Allowing Slaughter of ...,2017-04-05 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQwNTE3LWRvbmUtdHJ1bXAtc2lnbnMtaGpyLTY5LWxhdy1hbGxvd2luZy1zbGF1Z2h0ZXItYWxhc2thbi1iZWFyLWN1YnMtd29sZi1wdXBzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.682,0.318,0.4215
Elk Hunting Group Wants to Expand Wolf-Killing Derby into Montana ...,2017-04-07 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQwNzE3LWVsay1odW50aW5nLWdyb3VwLXdhbnRzLWV4cGFuZC13b2xmLWtpbGxpbmctZGVyYnktbW9udGFuYS0xMDAwLWJvdW50eS1wZXItd29sZi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.429,0.306,0.265,-0.7351
Ackman's Bet on Frozen Food Surges Thanks to Fish Sticks,2017-04-07 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTA0LTA3L2hvdy1pbnVpdHMtYW5kLWdlbnRyaWZpY2F0aW9uLWhlbHBlZC1hY2ttYW4tcy1mb29kLWJldC1yZWNvdmVy0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.593,0.407,0.7003
Invasion of the Zombie Elk - Chronic Wasting Disease Spreading ...,2017-04-08 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQwODE3LWludmFzaW9uLXpvbWJpZS1lbGstY2hyb25pYy13YXN0aW5nLWRpc2Vhc2Utc3ByZWFkaW5nLWZhc3QtbmVhcmluZy15ZWxsb3dzdG9uZS1oZXJkcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.434,0.566,0.0,-0.6808
"Thousands Of N.J.'s Most Toxic Sites | Point Pleasant, NJ Patch",2017-04-10 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vcGF0Y2guY29tL25ldy1qZXJzZXkvcG9pbnRwbGVhc2FudC90aG91c2FuZHMtbi1qLXMtbW9zdC10b3hpYy1zaXRlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.517,0.483,0.765
"USDA Caves to Public Pressure, Agrees to Remove All Coyote/Wolf ...",2017-04-11 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQxMTE3LXVzZGEtY2F2ZXMtcHVibGljLXByZXNzdXJlLWFncmVlcy1yZW1vdmUtY295b3Rld29sZi1jeWFuaWRlLWJvbWJzLWlkYWhvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.283,0.5,0.217,-0.2023
Can you Hear Me Now? Utah Brothers Erect Billboards Slamming ...,2017-04-13 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDQxMzE3LWNhbi1oZWFyLW5vdy11dGFoLWJyb3RoZXJzLWVyZWN0LWJpbGxib2FyZHMtc2xhbW1pbmctamFzb24tY2hhZmZldHotcnVzc2lhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.457,0.543,0.0,-0.6369
The 35 Most Powerful People in New York Media,2017-04-13 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9saXN0cy8zNS1wb3dlcmZ1bC1wZW9wbGUtbmV3LXlvcmstbWVkaWEtOTkzMjg1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.465,0.535,0.6808
"The Top Real Estate Dynasties In Boston, Part II",2017-04-13 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmJpc25vdy5jb20vYm9zdG9uL25ld3Mvb3RoZXIvdGhlLXRvcC1yZWFsLWVzdGF0ZS1keW5hc3RpZXMtaW4tYm9zdG9uLXBhcnQtaWktNzMyNTXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.698,0.302,0.3818
