title,datetime,link,Negative,Neutral,Positive,Compound
CAISO Expansion in Question as EIM Grows,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnJ0b2luc2lkZXIuY29tL2FydGljbGVzLzI2MjY2LWNhaXNvLWV4cGFuc2lvbi1pbi1xdWVzdGlvbi1hcy1laW0tZ3Jvd3PSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.556,0.444,0.0,-0.7184
IDC will once again partner with Senate GOP,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnRpbWVzdW5pb24uY29tL2xvY2FsL2FydGljbGUvSURDLXdpbGwtb25jZS1hZ2Fpbi1wYXJ0bmVyLXdpdGgtU2VuYXRlLUdPUC0xMDgzMTQwOS5waHDSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
ACS-Award-Creative-Invention-Richard,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vY2VuLmFjcy5vcmcvYXJ0aWNsZXMvOTUvaTEvQUNTLUF3YXJkLUNyZWF0aXZlLUludmVudGlvbi1SaWNoYXJkLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.112,0.888,0.9571
IDEX Corporation Names William Grogan as Chief Financial Officer,2017-01-03 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTAzMDA2MzQ4L2VuL0lERVgtQ29ycG9yYXRpb24tTmFtZXMtV2lsbGlhbS1Hcm9nYW4tYXMtQ2hpZWYtRmluYW5jaWFsLU9mZmljZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRP Names Pierini As Marketing Director,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3Lm1hcmluZWxpbmsuY29tL25ld3MvbWFya2V0aW5nLWRpcmVjdG9yNDIwMjI40gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
MILF execution video leaked on Facebook,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vbmV3cy5hYnMtY2JuLmNvbS9mb2N1cy8wMS8wNC8xNy9taWxmLWV4ZWN1dGlvbi12aWRlby1sZWFrZWQtb24tZmFjZWJvb2vSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.487,0.513,0.0,-0.5859
"Union Bank, American Heart Association Take Home Judges ...",2017-01-05 00:00:00,https://news.google.com/./articles/CBMitwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDEwNTAwNjQwNC9lbi9Vbmlvbi1CYW5rLUFtZXJpY2FuLUhlYXJ0LUFzc29jaWF0aW9uLVRha2UtSG9tZS1KdWRnZXMlRTIlODAlOTktU3BlY2lhbC1Ucm9waHktZm9yLVJvc2UtUGFyYWRlJUMyJUFFLUZsb2F0LUtlZXAtdGhlLUJlYXQtQWxpdmXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Osama Bin Laden’s Son Has Been Added to the U.S. Terrorist List,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9vc2FtYS1iaW4tbGFkZW4tc29uLWFkZGVkLTAzMjkyODkyNi5odG1s0gFPaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3Mvb3NhbWEtYmluLWxhZGVuLXNvbi1hZGRlZC0wMzI5Mjg5MjYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.583,0.417,0.0,-0.886
Trump's Cabinet Faces a Brewing Civil War over Russia,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LnZhbml0eWZhaXIuY29tL25ld3MvMjAxNy8wMS9kb2FubGQtdHJ1bXAtY2FiaW5ldC1ydXNzaWHSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.531,0.469,0.0,-0.8316
Suit Filed to Protect San Joaquin Kit Fox from Development,2017-01-05 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vc2N2bmV3cy5jb20vbGF3c3VpdC1maWxlZC10by1wcm90ZWN0LWVuZGFuZ2VyZWQtc2FuLWpvYXF1aW4ta2l0LWZveC1mcm9tLTgwMDAtYWNyZS1ncmFwZXZpbmUtZGV2ZWxvcG1lbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.625,0.375,0.6369
Police warn of traffic ticket scam,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm10YWlyeW5ld3MuY29tL25ld3MvNDcyODUvcG9saWNlLXdhcm4tb2YtdHJhZmZpYy10aWNrZXQtc2NhbdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.732,0.268,0.0,-0.8481
Beloved goats facing homelessness,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lm10YWlyeW5ld3MuY29tL25ld3MvNDcyODIvYmVsb3ZlZC1nb2F0cy1mYWNpbmctaG9tZWxlc3NuZXNz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.349,0.651,0.765
