title,datetime,link,Negative,Neutral,Positive,Compound
"Expert: Not fair to Roof, jury to withhold evidence about his ‘broken brain’",2017-01-02 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnRoZXN0YXRlLmNvbS9uZXdzL2xvY2FsL2NyaW1lL2FydGljbGUxMjQwOTkwMzkuaHRtbNIBP2h0dHBzOi8vYW1wLnRoZXN0YXRlLmNvbS9uZXdzL2xvY2FsL2NyaW1lL2FydGljbGUxMjQwOTkwMzkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.351,0.405,0.243,-0.3818
"South Korean Celebrity Sues Tesla, Threatens to Use Celebrity ...",2017-01-03 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vbmV4dHNoYXJrLmNvbS9qaS1jaGFuZy1zb24tc3VpbmctdGVzbGEtZ2FyYWdlLWNyYXNo0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.605,0.395,0.0,-0.8807
Mark Cuban is guest co-host of ‘Live with Kelly’,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3LnN0YXItdGVsZWdyYW0uY29tL2VudGVydGFpbm1lbnQvYXJ0aWNsZTEyNDI0ODM5NC5odG1s0gFBaHR0cHM6Ly9hbXAuc3Rhci10ZWxlZ3JhbS5jb20vZW50ZXJ0YWlubWVudC9hcnRpY2xlMTI0MjQ4Mzk0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
52 Places to Go in 2017,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMTcvdHJhdmVsL3BsYWNlcy10by12aXNpdC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
New Cummins tower stays true to company's aesthetics,2017-01-05 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5pbmR5c3Rhci5jb20vc3RvcnkvZW50ZXJ0YWlubWVudC9hcnRzLzIwMTcvMDEvMDUvY3VtbWlucy1pbmRpYW5hcG9saXMtYmVya2UtaG9sY29tYi1jb2x1bWJ1cy1tYXJrZXQtb2RpbGktYXJjaGl0ZWN0dXJlLzk2MTU5MzYwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.566,0.434,0.6808
19 Books To Read Before They Hit Theaters In 2017,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vd3d3LmJ1enpmZWVkLmNvbS9hcmllbGxlY2FsZGVyb24vYm9va3MtdG8tbW92aWVzLTIwMTfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Could Buster Posey, Madison Bumgarner exploit obscure California labor law to become free agents?",2017-01-05 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy5tZXJjdXJ5bmV3cy5jb20vMjAxNy8wMS8wNS9jb3VsZC1idXN0ZXItcG9zZXktbWFkaXNvbi1idW1nYXJuZXItZXhwbG9pdC1vYnNjdXJlLWNhbGlmb3JuaWEtbGFib3ItbGF3LXRvLWJlY29tZS1mcmVlLWFnZW50cy_SAYsBaHR0cHM6Ly93d3cubWVyY3VyeW5ld3MuY29tLzIwMTcvMDEvMDUvY291bGQtYnVzdGVyLXBvc2V5LW1hZGlzb24tYnVtZ2FybmVyLWV4cGxvaXQtb2JzY3VyZS1jYWxpZm9ybmlhLWxhYm9yLWxhdy10by1iZWNvbWUtZnJlZS1hZ2VudHMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.098,0.598,0.304,0.7003
The Jackie Chan wartime caper Railroad Tigers never builds up steam,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmF2Y2x1Yi5jb20vdGhlLWphY2tpZS1jaGFuLXdhcnRpbWUtY2FwZXItcmFpbHJvYWQtdGlnZXJzLW5ldmVyLWJ1aS0xNzk4MTg5OTQz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Wine Label Whimsy – Eugene Weekly,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vZXVnZW5ld2Vla2x5LmNvbS8yMDE3LzAxLzA1L3dpbmUtbGFiZWwtd2hpbXN5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
'Balloon Nerd' entertains families with twisting creations | Features ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiogFodHRwczovL3d3dy5zb21kbmV3cy5jb20vaW5kZXBlbmRlbnQvY29tbXVuaXR5L2ZlYXR1cmVzL2JhbGxvb24tbmVyZC1lbnRlcnRhaW5zLWZhbWlsaWVzLXdpdGgtdHdpc3RpbmctY3JlYXRpb25zL2FydGljbGVfOGY1ODJjZmItMTZkYS01OGQwLTgwM2MtYTQ5MGYxYWRhMjZhLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.207,0.244,0.549,0.765
