title,datetime,link,Negative,Neutral,Positive,Compound
New connected bike will trick your kids into exercising and learning,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUvZmlzaGVyLXByaWNlLXRoaW5rLWFuZC1sZWFybi1jZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.189,0.811,0.0,-0.1027
3200 pupils get free school supplies,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiN2h0dHA6Ly93d3cuZ3VhcmRpYW4uY28udHQvYXJ0aWNsZS02LjIuMzQ4MzE1LjA2OWE1ZjM4OGPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.417,0.583,0.765
Target Is a Seesaw for Anxious Investors,2017-02-27 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvMjAxNy0wMi0yNy90YXJnZXQtY29ycG9yYXRpb24tdGd0LWlzLWEtc2Vlc2F3LWZvci1hbnhpb3VzLWludmVzdG9yc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.4588
PriceSmart borrows US$12m to finance T&T operations,2017-04-17 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm5hdGlvbm5ld3MuY29tLzIwMTcvMDQvMTcvcHJpY2VzbWFydC1ib3Jyb3dzLXVzMTJtLXRvLWZpbmFuY2UtdHQtb3BlcmF0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Why Productivity In Retail Stores Matters,2017-04-24 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvd2FsdGVybG9lYi8yMDE3LzA0LzI0L3doeS1wcm9kdWN0aXZpdHktaW4tcmV0YWlsLXN0b3Jlcy1tYXR0ZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.714,0.286,0.0516
Make the change to save the environment | Barbados Advocate,2017-05-03 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmJhcmJhZG9zYWR2b2NhdGUuY29tL2NvbHVtbnMvbWFrZS1jaGFuZ2Utc2F2ZS1lbnZpcm9ubWVudNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.481,0.519,0.7506
"PriceSmart opens 325,000-square-foot distribution center in Miami-Dade",2017-05-18 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3Lm1pYW1paGVyYWxkLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGUxNTA5Njg0MzIuaHRtbNIBP2h0dHBzOi8vYW1wLm1pYW1paGVyYWxkLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGUxNTA5Njg0MzIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Latin American warehouse-club chain PriceSmart inaugurates huge ...,2017-06-13 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL2NvbW11bml0eW5ld3NwYXBlcnMuY29tL2RvcmFsdHJpYnVuZS9sYXRpbi1hbWVyaWNhbi13YXJlaG91c2UtY2x1Yi1jaGFpbi1wcmljZXNtYXJ0LWluYXVndXJhdGVzLWh1Z2UtZGlzdHJpYnV0aW9uLWNlbnRlci1pbi1tZWRsZXkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.66,0.34,0.5574
"Costco, PriceSmart: Good Companies, So-So Values - RealMoney",2017-07-11 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vcmVhbG1vbmV5LnRoZXN0cmVldC5jb20vYXJ0aWNsZXMvMDcvMTEvMjAxNy9jb3N0Y28tcHJpY2VzbWFydC1nb29kLWNvbXBhbmllcy1zby1zby12YWx1ZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.317,0.683,0.8625
Western Family pineapple chunks recalled in B.C. and Alberta due to Hepatitis A,2017-09-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzM3MTQxNTkvd2VzdGVybi1mYW1pbHktcGluZWFwcGxlLWNodW5rcy1oZXBhdGl0aXMtYS_SAVNodHRwczovL2dsb2JhbG5ld3MuY2EvbmV3cy8zNzE0MTU5L3dlc3Rlcm4tZmFtaWx5LXBpbmVhcHBsZS1jaHVua3MtaGVwYXRpdGlzLWEvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.417,0.583,0.0,-0.7184
