title,datetime,link,Negative,Neutral,Positive,Compound
Oxford professor's essential tips to help anyone over 40 stay fit into old age,2017-01-01 00:00:00,https://news.google.com/./articles/CBMikwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDA4MDg1Mi9TdGFuZC1UVi1hZHMtZWF0LXB1cnBsZS1qdXN0LXR3by1PeGZvcmQtcHJvZmVzc29yLXMtZXNzZW50aWFsLXRpcHMtaGVscC00MC1zdGF5LWZpdC1vbGQtYWdlLmh0bWzSAZcBaHR0cHM6Ly93d3cuZGFpbHltYWlsLmNvLnVrL2hlYWx0aC9hcnRpY2xlLTQwODA4NTIvYW1wL1N0YW5kLVRWLWFkcy1lYXQtcHVycGxlLWp1c3QtdHdvLU94Zm9yZC1wcm9mZXNzb3Itcy1lc3NlbnRpYWwtdGlwcy1oZWxwLTQwLXN0YXktZml0LW9sZC1hZ2UuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.488,0.512,0.8555
What the colour of your phlegm says about your health,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS00MDM4MDE2L1doZXRoZXItZ3JlZW4tYnJvd24tcmVkLWNvbG91ci1QSExFR00tc2F5cy1oZWFsdGguaHRtbNIBbWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS00MDM4MDE2L2FtcC9XaGV0aGVyLWdyZWVuLWJyb3duLXJlZC1jb2xvdXItUEhMRUdNLXNheXMtaGVhbHRoLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Premenstrual dysphoric disorder may be caused by a cellular disorder,2017-01-03 00:00:00,https://news.google.com/./articles/CBMimAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDA4NTIzNC9Db3VsZC1DVVJFLXByZS1tZW5zdHJ1YWwtc3RyZXNzLVNjaWVudGlzdHMtZGlzY292ZXItZ2VuZS1tYWtlcy1tb29kLXN3aW5ncy13b3JzZS13b21lbi1kZWZlYXQtaXQuaHRtbNIBnAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDA4NTIzNC9hbXAvQ291bGQtQ1VSRS1wcmUtbWVuc3RydWFsLXN0cmVzcy1TY2llbnRpc3RzLWRpc2NvdmVyLWdlbmUtbWFrZXMtbW9vZC1zd2luZ3Mtd29yc2Utd29tZW4tZGVmZWF0LWl0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.638,0.362,0.0,-0.8689
"Provestment Services Ltd calls for Board Meeting on Jan 13, 2017",2017-01-05 00:00:00,https://news.google.com/./articles/CBMiMmh0dHBzOi8vd3d3LmVxdWl0eWJ1bGxzLmNvbS9jYXRlZ29yeS5waHA_aWQ9MTk4NzA40gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Shanghai Tower holds the world's fastest elevator that travels at 42.8mph,2017-01-05 00:00:00,https://news.google.com/./articles/CBMioAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvc2NpZW5jZXRlY2gvYXJ0aWNsZS00MDkxMjIyL1Rha2luZy1zcGVlZC1sZXZlbC1TaGFuZ2hhaS1Ub3dlci1jb250YWlucy13b3JsZC1zLWZhc3Rlc3QtZWxldmF0b3ItdHJhdmVscy1yZWNvcmQtYnJlYWtpbmctNDItOG1waC5odG1s0gGkAWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zY2llbmNldGVjaC9hcnRpY2xlLTQwOTEyMjIvYW1wL1Rha2luZy1zcGVlZC1sZXZlbC1TaGFuZ2hhaS1Ub3dlci1jb250YWlucy13b3JsZC1zLWZhc3Rlc3QtZWxldmF0b3ItdHJhdmVscy1yZWNvcmQtYnJlYWtpbmctNDItOG1waC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Stand-up comedian who has appeared before A-listers like Donald Trump and Barack Obama 'is really 55 years old,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiqAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTQwOTI1OTgvU3RhbmQtY29tZWRpYW4tbWlsbGlvbnMtZG9sbGFycy1wbGF5aW5nLWxpc3RlcnMtbGlrZS1Eb25hbGQtVHJ1bXAtQmFyYWNrLU9iYW1hLXJlYWxseS01NS15ZWFycy1vbGQtdGVsbHMtcGVvcGxlLTM1Lmh0bWzSAawBaHR0cHM6Ly93d3cuZGFpbHltYWlsLmNvLnVrL25ld3MvYXJ0aWNsZS00MDkyNTk4L2FtcC9TdGFuZC1jb21lZGlhbi1taWxsaW9ucy1kb2xsYXJzLXBsYXlpbmctbGlzdGVycy1saWtlLURvbmFsZC1UcnVtcC1CYXJhY2stT2JhbWEtcmVhbGx5LTU1LXllYXJzLW9sZC10ZWxscy1wZW9wbGUtMzUuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.549,0.451,0.8481
"Ignore the doom-mongers, we're living in a golden age",2017-01-06 00:00:00,https://news.google.com/./articles/CBMiwwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTQwOTY1MTYvSWdub3JlLWRvb20tbW9uZ2Vycy1saXZpbmctZ29sZGVuLWFnZS1leHBlcnRzLW5ldmVyLXRpcmUtdGVsbGluZy13b3JsZC1zLWdvaW5nLWhlbGwtaGFuZC1jYXJ0LWFjYWRlbWljLUpPSEFOLU5PUkJFUkctc2F5cy13cm9uZy12ZS1uZXZlci1nb29kLmh0bWzSAccBaHR0cHM6Ly93d3cuZGFpbHltYWlsLmNvLnVrL25ld3MvYXJ0aWNsZS00MDk2NTE2L2FtcC9JZ25vcmUtZG9vbS1tb25nZXJzLWxpdmluZy1nb2xkZW4tYWdlLWV4cGVydHMtbmV2ZXItdGlyZS10ZWxsaW5nLXdvcmxkLXMtZ29pbmctaGVsbC1oYW5kLWNhcnQtYWNhZGVtaWMtSk9IQU4tTk9SQkVSRy1zYXlzLXdyb25nLXZlLW5ldmVyLWdvb2QuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,0.677,0.323,0.0,-0.8555
Sanalla publicly names Western PFG head Mohamed Kashlaf in fuel ...,2017-01-08 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmxpYnlhaGVyYWxkLmNvbS8yMDE3LzAxL3NhbmFsbGEtcHVibGljbHktbmFtZXMtd2VzdGVybi1wZmctaGVhZC1tb2hhbWVkLWthc2hsYWYtaW4tZnVlbC1zbXVnZ2xpbmctYWNjdXNhdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Massive drop in London HIV rates may be due to internet drugs,2017-01-09 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS8yMTE3NDI2LW1hc3NpdmUtZHJvcC1pbi1sb25kb24taGl2LXJhdGVzLW1heS1iZS1kdWUtdG8taW50ZXJuZXQtZHJ1Z3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.286,0.714,0.0,-0.4939
Hacking cough plaguing Britain could be caused by virus that gives ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTQwOTk0MTYvSGFja2luZy1jb3VnaC1wbGFndWluZy1Ccml0YWluLWNhdXNlZC12aXJ1cy1naXZlcy1zdWZmZXJlcnMtUE5FVU1PTklBLXdhcm4tZXhwZXJ0cy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
