title,datetime,link,Negative,Neutral,Positive,Compound
EU mergers and takeovers (Jan 9),2017-01-09 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvZXUtbWVyZ2Vycy1pZElOTDVOMUVaMk5R0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Guinea Insurance reports 9-month pre-tax profit of 54.6 mln ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRJTkZXTjFGMDEyStIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.625,0.375,0.7003
Floor & Decor revives IPO plans: sources,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZmxvb3ItZGVjb3ItaXBvLWlkVVNLQk4xNFcwMjfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.543,0.457,0.6369
BRIEF-Amarin says debt restructuring and related private placement ...,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0FTQzA5UkxP0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.6,0.4,0.0,-0.875
BRIEF-U.S. FDA approves 72 mcg dose of linzess (linaclotide) for ...,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRJTkFTQjBBV1gx0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.577,0.423,0.6597
Aon to sell benefits outsourcing to Blackstone for up to $4.8 billion,2017-02-10 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtYW9uLWJlbmVmaXRzLWJsYWNrc3RvbmUtaWRVU0tCTjE1UDE3UNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.5,0.5,0.7184
REFILE-UK's Elementis to buy U.S.-based SummitReheis in $360 ...,2017-02-10 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvc3JsaC1ob2xkaW5ncy1tYS1lbGVtZW50aXMtaWRVU0w0TjFGVjJWRdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Prothena Q4 loss per share $1.41,2017-02-14 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0FTQjBCMDk10gEA?hl=en-US&gl=US&ceid=US%3Aen,0.36,0.3,0.34,-0.0516
Who will North Wales sheep farmers chose as their Wool Board representative?,2017-03-03 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmRhaWx5cG9zdC5jby51ay9uZXdzL2xvY2FsLW5ld3Mvd2hvLW5vcnRoLXdhbGVzLXNoZWVwLWZhcm1lcnMtMTI2ODgyMTnSAVZodHRwczovL3d3dy5kYWlseXBvc3QuY28udWsvbmV3cy9sb2NhbC1uZXdzL3doby1ub3J0aC13YWxlcy1zaGVlcC1mYXJtZXJzLTEyNjg4MjE5LmFtcA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-The Just Loans issues 3.2 mln new shares at GBP 1.4 per ...,2017-03-07 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0w1TjFHSzVVR9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.673,0.327,0.5267
