title,datetime,link,Negative,Neutral,Positive,Compound
Acres Mill Veterinary Clinic Offers Pet Surgery to Canton Dogs and ...,2017-01-02 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wMS8wMi85MDI1ODYvMjEwMjkvZW4vQWNyZXMtTWlsbC1WZXRlcmluYXJ5LUNsaW5pYy1PZmZlcnMtUGV0LVN1cmdlcnktdG8tQ2FudG9uLURvZ3MtYW5kLUNhdHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Foot & Ankle Surgical Associates Land Feet First in West Olympia,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3LnRodXJzdG9udGFsay5jb20vMjAxNy8wMS8wMi9mb290LWFua2xlLWFzc29jaWF0ZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Duke basketball coach Mike Krzyzewski to take leave of absence for surgery,2017-01-02 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lm5jYWEuY29tL25ld3MvYmFza2V0YmFsbC1tZW4vYXJ0aWNsZS8yMDE3LTAxLTAyL2R1a2UtYmFza2V0YmFsbC1jb2FjaC1taWtlLWtyenl6ZXdza2ktaGF2ZS1zdXJnZXJ5LWplZmYtY2FwZWzSAX1odHRwczovL3d3dy5uY2FhLmNvbS9uZXdzL2Jhc2tldGJhbGwtbWVuL2FydGljbGUvMjAxNy0wMS0wMi9kdWtlLWJhc2tldGJhbGwtY29hY2gtbWlrZS1rcnp5emV3c2tpLWhhdmUtc3VyZ2VyeS1qZWZmLWNhcGVsP2FtcA?hl=en-US&gl=US&ceid=US%3Aen,0.478,0.522,0.0,-0.7506
Lt. Governor-elect Parson Recovers From Unexpected Surgery,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm96YXJrc2ZpcnN0LmNvbS9uZXdzL2x0LWdvdmVybm9yLWVsZWN0LXBhcnNvbi1yZWNvdmVycy1mcm9tLXVuZXhwZWN0ZWQtc3VyZ2VyeS_SAV9odHRwczovL3d3dy5vemFya3NmaXJzdC5jb20vbmV3cy9sdC1nb3Zlcm5vci1lbGVjdC1wYXJzb24tcmVjb3ZlcnMtZnJvbS11bmV4cGVjdGVkLXN1cmdlcnkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.455,0.545,0.0,-0.7184
Number of sexual partners could determine how likely you are to DIVORCE,2017-01-03 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9mZW1haWwvYXJ0aWNsZS00MDg1NzU4L0V4cGVydHMtcmV2ZWFsLXNleHVhbC1wYXJ0bmVycy12ZS1kZXRlcm1pbmUtbGlrZWx5LURJVk9SQ0UuaHRtbNIBdmh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9mZW1haWwvYXJ0aWNsZS00MDg1NzU4L2FtcC9FeHBlcnRzLXJldmVhbC1zZXh1YWwtcGFydG5lcnMtdmUtZGV0ZXJtaW5lLWxpa2VseS1ESVZPUkNFLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.431,0.431,0.138,-0.6597
Madeleine West reveals how accident and reconstructive surgery let her accept ageing,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiyAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNDA4NTYyMC9JLXByaWRlLXN0cmV0Y2gtbWFya3MtY2VsZWJyYXRlLXdyaW5rbGVzLWhvcnJpZmljLWFjY2lkZW50LXJlY29uc3RydWN0aXZlLXN1cmdlcnktdGF1Z2h0LW1vdGhlci1zaXgtTWFkZWxlaW5lLVdlc3QtMzYtbG92ZS1ib2R5LWFjY2VwdC1hZ2VpbmcuaHRtbNIBzAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNDA4NTYyMC9hbXAvSS1wcmlkZS1zdHJldGNoLW1hcmtzLWNlbGVicmF0ZS13cmlua2xlcy1ob3JyaWZpYy1hY2NpZGVudC1yZWNvbnN0cnVjdGl2ZS1zdXJnZXJ5LXRhdWdodC1tb3RoZXItc2l4LU1hZGVsZWluZS1XZXN0LTM2LWxvdmUtYm9keS1hY2NlcHQtYWdlaW5nLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.317,0.427,0.256,-0.25
Envision Healthcare Expands Physician Services in Arizona by ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDEwMzAwNTM2Ni9lbi9FbnZpc2lvbi1IZWFsdGhjYXJlLUV4cGFuZHMtUGh5c2ljaWFuLVNlcnZpY2VzLWluLUFyaXpvbmEtYnktQWNxdWlyaW5nLVR1Y3Nvbi1BcmVhLUFuZXN0aGVzaWEtR3JvdXDSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.735,0.265,0.2023
Analyst: There's a 'mismatch' between expectations and reality for ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2FuYWx5c3QtdGhlcmVzLW1pc21hdGNoLWV4cGVjdGF0aW9ucy1yZWFsaXR5LXN0cnlrZXJzLW1ha28tcGxhdGZvcm0v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.625,0.375,0.0,-0.7184
Lawsuit in U.S. says Coca-Cola downplays risks of sugary drinks,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvY29jYS1jb2xhLWxhd3N1aXQtaWRVU0wxTjFFVTE1N9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.7184
BRIEF-Gamco Asset Management and affiliates reports 5.10 pct ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFVTBLS9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.6,0.4,0.6124
