title,datetime,link,Negative,Neutral,Positive,Compound
Rock & Brews-themed casino planned,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vam91cm5hbHJlY29yZC5jb20vMjAxNy8wMS8wMy9yb2NrLWJyZXdzLXRoZW1lZC1jYXNpbm8tcGxhbm5lZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
First Financial converts to an Ohio state chartered bank,2017-01-03 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvZmlyc3QtZmluYW5jaWFsLWNvbnZlcnRzLXRvLWFuLW9oaW8tc3RhdGUtY2hhcnRlcmVkLWJhbmstMzAwMzg0NzY1Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Unity Bank donates $18,700 to local food pantries",2017-01-03 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm15Y2VudHJhbGplcnNleS5jb20vc3RvcnkvbmV3cy9sb2NhbC9vdXRyZWFjaC9jYXJpbmctY29tbXVuaXRpZXMvMjAxNy8wMS8wMy91bml0eS1iYW5rLWZvb2QtcGFudHJpZXMvOTU5MTIxMzgv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Itasca-based First Midwest moving HQ, 300 workers to Chicago",2017-01-03 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmNoaWNhZ29idXNpbmVzcy5jb20vYXJ0aWNsZS8yMDE3MDEwMy9ORVdTMDEvMTcwMTA5OTcwL2l0YXNjYS1iYXNlZC1maXJzdC1taWR3ZXN0LW1vdmluZy1ocS0zMDAtd29ya2Vycy10by1jaGljYWdv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Affordable Housing for Artists: Santa Cruz Shows Bay Area How It's ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmtxZWQub3JnL2FydHMvMTI1Nzg3NDAvYWZmb3JkYWJsZS1ob3VzaW5nLWZvci1hcnRpc3RzLXNhbnRhLWNydXotc2hvd3MtYmF5LWFyZWEtaG93LWl0cy1kb25l0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Lutheran welcomes new PR and marketing director | News, Sports ...",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3Lm9ic2VydmVydG9kYXkuY29tL25ld3MvYnVzaW5lc3MvMjAxNy8wMS9sdXRoZXJhbi13ZWxjb21lcy1uZXctcHItYW5kLW1hcmtldGluZy1kaXJlY3Rvci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.583,0.417,0.7184
Valley National Bancorp Announces the Retirement of Senior ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiswFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3ZhbGxleS1uYXRpb25hbC1iYW5jb3JwLWFubm91bmNlcy10aGUtcmV0aXJlbWVudC1vZi1zZW5pb3ItZXhlY3V0aXZlLXZpY2UtcHJlc2lkZW50LS1jaGllZi1vcGVyYXRpbmctb2ZmaWNlci1wZXRlci1jcm9jaXR0by0zMDAzODU4MDguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Crowdcube Success Monzo Announces 2016 Highlights (Infographic) | Crowdfund Insider,2017-01-06 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNyb3dkZnVuZGluc2lkZXIuY29tLzIwMTcvMDEvOTQ0NDktY3Jvd2RjdWJlLXN1Y2Nlc3MtbW9uem8tYW5ub3VuY2VzLTIwMTYtaGlnaGxpZ2h0cy1pbmZvZ3JhcGhpYy_SAXFodHRwczovL3d3dy5jcm93ZGZ1bmRpbnNpZGVyLmNvbS8yMDE3LzAxLzk0NDQ5LWNyb3dkY3ViZS1zdWNjZXNzLW1vbnpvLWFubm91bmNlcy0yMDE2LWhpZ2hsaWdodHMtaW5mb2dyYXBoaWMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.37,0.63,0.9042
O'Reilly Automotive Inc (NASDAQ:ORLY) Creates Value for ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnR3c3QuY29tL25ld3Mvb3JlaWxseS1hdXRvbW90aXZlLWluYy1uYXNkYXFvcmx5LWNyZWF0ZXMtdmFsdWUtc2hhcmVob2xkZXJzLWN1c3RvbWVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.417,0.583,0.7906
BRIEF-Patriot National Bancorp says raised $12 mln in debt financing,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFWjBSR9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.333,0.667,0.0,-0.6124
Banks hiring most for high-paying jobs,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYmFua3MtaGlyaW5nLW1vc3QtaGlnaC1wYXlpbmctam9icy0yMDE3LTHSAU1odHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY29tL2JhbmtzLWhpcmluZy1tb3N0LWhpZ2gtcGF5aW5nLWpvYnMtMjAxNy0xP2FtcA?hl=en-US&gl=US&ceid=US%3Aen,0.31,0.69,0.0,-0.2023
"First Midwest Bancorp, Inc. Completes Acquisition of Standard Bank ...",2017-01-09 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxNy8wMS8wOS85MDQ1MzcvMC9lbi9GaXJzdC1NaWR3ZXN0LUJhbmNvcnAtSW5jLUNvbXBsZXRlcy1BY3F1aXNpdGlvbi1vZi1TdGFuZGFyZC1CYW5rLVRydXN0LUNvbXBhbnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
2016 Corporate Bankruptcy Recap: Bankruptcies Up 25%; 41 ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MDM1NjMxLTIwMTYtY29ycG9yYXRlLWJhbmtydXB0Y3ktcmVjYXAtYmFua3J1cHRjaWVzLXVwLTI1LXBlcmNlbnQtNDEtcGVyY2VudC1vaWwtYW5kLWdhcy1lbmVyZ3nSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.833,0.167,0.0,-0.9001
Giambalvo Joins Local Bank Board,2017-01-12 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lmdsb2JlbmV3c3dpcmUuY29tL2VuL25ld3MtcmVsZWFzZS8yMDE3LzAxLzEyLzkwNTU2Ny8xMDE1Ny9lbi9HaWFtYmFsdm8tSm9pbnMtTG9jYWwtQmFuay1Cb2FyZC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.541,0.459,0.5267
Ann Arbor area business briefs: Brinks Gilson & Lione and Hobbs+ ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm1saXZlLmNvbS9idXNpbmVzcy9hbm4tYXJib3IvMjAxNy8wMS9hbm5fYXJib3JfYXJlYV9idXNpbmVzc19icmllZnNfMTQ3Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"First Citizens Bank Purchases Certain Assets, Assumes Certain ...",2017-01-13 00:00:00,https://news.google.com/./articles/CBMiyQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wMS8xMy85MDU4MjYvMzU4ODEvZW4vRmlyc3QtQ2l0aXplbnMtQmFuay1QdXJjaGFzZXMtQ2VydGFpbi1Bc3NldHMtQXNzdW1lcy1DZXJ0YWluLUxpYWJpbGl0aWVzLW9mLUhhcnZlc3QtQ29tbXVuaXR5LUJhbmstb2YtUGVubnN2aWxsZS1OZXctSmVyc2V5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.325,0.675,0.886
Franchise Bancorp Inc. Provides Update,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm5ld3N3aXJlLmNhL25ld3MtcmVsZWFzZXMvZnJhbmNoaXNlLWJhbmNvcnAtaW5jLXByb3ZpZGVzLXVwZGF0ZS02MTA4NDU4NDUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
CLARUS Merchant Services acquires North American Merchant ...,2017-01-17 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDExNzAwNTkyNC9lbi9DTEFSVVMtTWVyY2hhbnQtU2VydmljZXMtYWNxdWlyZXMtTm9ydGgtQW1lcmljYW4tTWVyY2hhbnQtU2VydmljZXMtTkFNU9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
