title,datetime,link,Negative,Neutral,Positive,Compound
Third Federal Introduces Heritage Home Program Loan,2017-01-09 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTA5MDA2MTkwL2VuL1RoaXJkLUZlZGVyYWwtSW50cm9kdWNlcy1IZXJpdGFnZS1Ib21lLVByb2dyYW0tTG9hbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Email Lists Revealing Students’ Private Information Remained ...,2017-02-21 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnRoZWNyaW1zb24uY29tL2FydGljbGUvMjAxNy8yLzIxL2hjcy1lbWFpbHMtcHVibGljL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"At $1,500 each, aromatic sandalwood trees could be the new rivalry between India and Australia",2017-02-22 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9pbmRpYS1uZXdzL2F0LTE1MDAtZWFjaC1hcm9tYXRpYy1zYW5kYWx3b29kLXRyZWVzLWNvdWxkLWJlLXRoZS1uZXctcml2YWxyeS1iZXR3ZWVuLWluZGlhLWFuZC1hdXN0cmFsaWEvNTYyMTk2L9IBlAFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9pbmRpYS1uZXdzL2F0LTE1MDAtZWFjaC1hcm9tYXRpYy1zYW5kYWx3b29kLXRyZWVzLWNvdWxkLWJlLXRoZS1uZXctcml2YWxyeS1iZXR3ZWVuLWluZGlhLWFuZC1hdXN0cmFsaWEvNTYyMTk2L2xpdGUv?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Six Ways to Fund Your Food + Beverage Startup,2017-02-28 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vdG90YWxmb29kLmNvbS9zaXgtd2F5cy1mdW5kLWZvb2QtYmV2ZXJhZ2Utc3RhcnR1cC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"BUYINS.NET: CHSP, AWI, FSLR, TFSL, HTH, CMF Are Seasonally R...",2017-03-07 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vbWVuYWZuLmNvbS8xMDk1Mjk3ODQ0L0JVWUlOU05FVC1DSFNQLUFXSS1GU0xSLVRGU0wtSFRILUNNRi1BcmUtU2Vhc29uYWxseS1SaXBlLVRvLUdvLVVwLUluLXRoZS1OZXh0LUZpdmUtV2Vla3PSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Spring Budget 2017,2017-03-08 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lmdvdi51ay9nb3Zlcm5tZW50L3B1YmxpY2F0aW9ucy9zcHJpbmctYnVkZ2V0LTIwMTctZG9jdW1lbnRzL3NwcmluZy1idWRnZXQtMjAxN9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
The Paccific--,2017-03-17 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vaXBwcmV2aWV3LmNvbS9pbmRleC5waHAvQXJ0aWNsZS9zaW5nbGUvaWQvNjkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
US Winners of Toyota Dream Car Art Contest Announced,2017-03-20 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvdXMtd2lubmVycy1vZi10b3lvdGEtZHJlYW0tY2FyLWFydC1jb250ZXN0LWFubm91bmNlZC0zMDA0MjYyMzYuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.342,0.658,0.891
Hedge fund targets TFS in big short,2017-03-22 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmFmci5jb20vY29tcGFuaWVzL2ZpbmFuY2lhbC1zZXJ2aWNlcy9oZWRnZS1mdW5kLXRhcmdldHMtdGZzLWluLWJpZy1zaG9ydC0yMDE3MDMyMi1ndjNyaWXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Why these 4 shares are finishing the week with a whimper,2017-03-31 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZvb2wuY29tLmF1LzIwMTcvMDMvMzEvd2h5LXRoZXNlLTQtc2hhcmVzLWFyZS1maW5pc2hpbmctdGhlLXdlZWstd2l0aC1hLXdoaW1wZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.469,0.531,0.5267
Proud salute to our local heroes,2017-06-12 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL3RoZW1lcmN1cnkuY29tLmF1L25ld3MvdGFzbWFuaWEvcXVlZW5zLWJpcnRoZGF5LWhvbm91cnMtbGlzdC1mb3ItMjAxNy1mZWF0dXJlcy04OTEtcHJvbWluZW50LWF1c3RyYWxpYW5zL25ld3Mtc3RvcnkvZWNmYWE2NTkwZDg0Yzc3YmFkZjlhYTdlNGFmM2NiMDDSAaQBaHR0cHM6Ly93d3cudGhlbWVyY3VyeS5jb20uYXUvbmV3cy90YXNtYW5pYS9xdWVlbnMtYmlydGhkYXktaG9ub3Vycy1saXN0LWZvci0yMDE3LWZlYXR1cmVzLTg5MS1wcm9taW5lbnQtYXVzdHJhbGlhbnMvbmV3cy1zdG9yeS9lY2ZhYTY1OTBkODRjNzdiYWRmOWFhN2U0YWYzY2IwMD9hbXA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.149,0.851,0.9246
