title,datetime,link,Negative,Neutral,Positive,Compound
J&J's DePuy Synthes picks up Interventional Spine assets,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2pqcy1kZXB1eS1zeW50aGVzLXBpY2tzLWludGVydmVudGlvbmFsLXNwaW5lLWFzc2V0cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.556,0.444,0.6124
At least 30 from MIT named to 2017 Forbes 30 Under 30 lists,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vbmV3cy5taXQuZWR1LzIwMTcvYXQtbGVhc3QtMzAtZnJvbS1taXQtbmFtZWQtZm9yYmVzLTMwLXVuZGVyLTMwLTAxMDXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Terumo, Xenex ink Japanese distro deal for LightStrike room ...",2017-01-05 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3RlcnVtby14ZW5leC1pbmstamFwYW5lc2UtZGlzdHJvLWRlYWwtZm9yLWxpZ2h0c3RyaWtlLXJvb20tZGlzaW5mZWN0aW9uLXJvYm90L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
UnitedHealth to buy Surgical Care Affiliates for $2.3B,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3VuaXRlZGhlYWx0aC1idXktc3VyZ2ljYWwtY2FyZS1hZmZpbGlhdGVzLTItM2Iv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.426,0.574,0.7506
"Amid insulin market scrutiny, Novo faces class action alleging ...",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmZpZXJjZXBoYXJtYS5jb20vcGhhcm1hL25vdm8tZmFjZXMtbmV3LXNoYXJlaG9sZGVyLXN1aXQtZm9yLWFsbGVnZWQtY29sbHVzaXZlLXByaWNlLWZpeGluZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.588,0.412,0.0,-0.9001
Electronic Health Records and the Frequency of Diagnostic Test ...,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmFqbWMuY29tL3ZpZXcvZWxlY3Ryb25pYy1oZWFsdGgtcmVjb3Jkcy1hbmQtdGhlLWZyZXF1ZW5jeS1vZi1kaWFnbm9zdGljLXRlc3Qtb3JkZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
The top 15 best-selling cancer drugs in 2022,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZpZXJjZXBoYXJtYS5jb20vc3BlY2lhbC1yZXBvcnQvc3BlY2lhbC1yZXBvcnQtdG9wLTE1LWJlc3Qtc2VsbGluZy1jYW5jZXItZHJ1Z3MtMjAyMtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.394,0.101,0.505,0.296
Niagara Falls Family YMCA says programs still going strong in city,2017-01-17 00:00:00,https://news.google.com/./articles/CBMipAFodHRwczovL3d3dy5uaWFnYXJhLWdhemV0dGUuY29tL25ld3MvbGlmZXN0eWxlcy9uaWFnYXJhLWZhbGxzLWZhbWlseS15bWNhLXNheXMtcHJvZ3JhbXMtc3RpbGwtZ29pbmctc3Ryb25nLWluLWNpdHkvYXJ0aWNsZV8yMGY1YWJiNi1kYzc3LTExZTYtYjc5Ni0zZmNjMWE0NTE2M2QuaHRtbNIBqAFodHRwczovL3d3dy5uaWFnYXJhLWdhemV0dGUuY29tL25ld3MvbGlmZXN0eWxlcy9uaWFnYXJhLWZhbGxzLWZhbWlseS15bWNhLXNheXMtcHJvZ3JhbXMtc3RpbGwtZ29pbmctc3Ryb25nLWluLWNpdHkvYXJ0aWNsZV8yMGY1YWJiNi1kYzc3LTExZTYtYjc5Ni0zZmNjMWE0NTE2M2QuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.616,0.384,0.765
"'Quality', the biggest differentiator for your business: Why SMEs should take note",2017-01-18 00:00:00,https://news.google.com/./articles/CBMioQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vc21hbGwtYml6L3NtZS1zZWN0b3IvcXVhbGl0eS10aGUtYmlnZ2VzdC1kaWZmZXJlbnRpYXRvci1mb3IteW91ci1idXNpbmVzcy13aHktc21lcy1zaG91bGQtdGFrZS1ub3RlL2FydGljbGVzaG93LzU2NjQwNjc1LmNtc9IBnAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vc21hbGwtYml6L3NtZS1zZWN0b3IvcXVhbGl0eS10aGUtYmlnZ2VzdC1kaWZmZXJlbnRpYXRvci1mb3IteW91ci1idXNpbmVzcy13aHktc21lcy1zaG91bGQtdGFrZS1ub3RlL2FtcF9hcnRpY2xlc2hvdy81NjY0MDY3NS5jbXM?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
ResMed buries the hatchet with China's BMC Medical,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL3Jlc21lZC1idXJpZXMtaGF0Y2hldC1jaGluYXMtYm1jLW1lZGljYWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
