title,datetime,link,Negative,Neutral,Positive,Compound
How to Start Each Work Day Faster and Smarter,2017-01-02 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmZvcmNvbnN0cnVjdGlvbnByb3MuY29tL2J1c2luZXNzL2J1c2luZXNzLXNlcnZpY2VzL2FydGljbGUvMTIyMjQ2ODUvaG93LXRvLXN0YXJ0LWVhY2gtd29yay1kYXktZmFzdGVyLWFuZC1zbWFydGVy0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.444,0.556,0.7184
How Huerter Erupted for a Career Day,2017-01-02 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovLzI0N3Nwb3J0cy5jb20vY29sbGVnZS9tYXJ5bGFuZC9BcnRpY2xlL0tldmluLUh1ZXJ0ZXItSGFzLUNhcmVlci1EYXktU3BvaWxlZC1pbi1NYXJ5bGFuZHMtNjctNjUtTG9zcy10by1OZWJyYXNrYS01MDIwMjQzNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Akio Toyoda takes the wheel as 'Morizo',2017-01-02 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmF1dG9uZXdzLmNvbS9hcnRpY2xlLzIwMTcwMTAyL09FTTAyLzMwMTAyOTk0Ni9ha2lvLXRveW9kYS10YWtlcy10aGUtd2hlZWwtYXMtbW9yaXpv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
'Uptown Quilt' mural now on display in north Fayetteville,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmZheWV0dGV2aWxsZWZseWVyLmNvbS8yMDE3LzAxLzAzL3VwdG93bi1xdWlsdC1tdXJhbC1ub3ctb24tZGlzcGxheS1pbi1ub3J0aC1mYXlldHRldmlsbGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
CA crane operator charged in fatal accident,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmNvbnN0cnVjdGlvbmRpdmUuY29tL25ld3MvY2EtY3JhbmUtb3BlcmF0b3ItY2hhcmdlZC1pbi1mYXRhbC1hY2NpZGVudC80MzMyMDEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.737,0.263,0.0,-0.9217
How Drones Can Improve Your Pavement Maintenance Business,2017-01-03 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5mb3Jjb25zdHJ1Y3Rpb25wcm9zLmNvbS9jb25zdHJ1Y3Rpb24tdGVjaG5vbG9neS9hcnRpY2xlLzEyMjgxOTA4L2hvdy1kcm9uZXMtY2FuLWltcHJvdmUteW91ci1wYXZlbWVudC1tYWludGVuYW5jZS1idXNpbmVzc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.455,0.545,0.7003
10 construction industry trends to watch in 2017,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmNvbnN0cnVjdGlvbmRpdmUuY29tL25ld3MvY29uc3RydWN0aW9uLWluZHVzdHJ5LXRyZW5kcy0yMDE3LzQzMzE1MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
paver adapts to market changes,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmZvcmNvbnN0cnVjdGlvbnByb3MuY29tL2FzcGhhbHQvYXJ0aWNsZS8xMjI4NjYxNy9wYXZlci1hZGFwdHMtdG8tbWFya2V0LWNoYW5nZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Why the convertible will survive, but not the way you think",2017-01-03 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmF1dG9uZXdzLmNvbS9hcnRpY2xlLzIwMTcwMTAzL0JMT0cwNi8zMDEwNDk5OTkvd2h5LXRoZS1jb252ZXJ0aWJsZS13aWxsLXN1cnZpdmUtYnV0LW5vdC10aGUtd2F5LXlvdS10aGlua9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Subcontractors sound off: 5 ways to improve job site tech adoption,2017-01-04 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmNvbnN0cnVjdGlvbmRpdmUuY29tL25ld3Mvc3ViY29udHJhY3RvcnMtc291bmQtb2ZmLTUtd2F5cy10by1pbXByb3ZlLWpvYi1zaXRlLXRlY2gtYWRvcHRpb24vNDMzMjQ4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.593,0.407,0.7003
