title,datetime,link,Negative,Neutral,Positive,Compound
Active Mgmt: ETFs Vs. Mutual Funds,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmV0Zi5jb20vcHVibGljYXRpb25zL2V0ZnIvYWN0aXZlLW1nbXQtZXRmcy12cy1tdXR1YWwtZnVuZHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.476,0.524,0.6597
"Construction Supply Holdings, A Portfolio Company of The Sterling ...",2017-01-02 00:00:00,https://news.google.com/./articles/CBMipQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2NvbnN0cnVjdGlvbi1zdXBwbHktaG9sZGluZ3MtYS1wb3J0Zm9saW8tY29tcGFueS1vZi10aGUtc3RlcmxpbmctZ3JvdXAtYWNxdWlyZXMtc3RldHNvbi1idWlsZGluZy1wcm9kdWN0cy1pbmMtMzAwMzg0Mzg0Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
POST® PEBBLES™ Kick Starts 2017 with Launch of Cinnamon ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcG9zdC1wZWJibGVzLWtpY2stc3RhcnRzLTIwMTctd2l0aC1sYXVuY2gtb2YtY2lubmFtb24tcGViYmxlcy0zMDAzODI4NDAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Arch Capital Group Closes Acquisition Of UGC,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vYmVybmV3cy5jb20vMjAxNy8wMS9hcmNoLWNhcGl0YWwtZ3JvdXAtY2xvc2VzLWFjcXVpc2l0aW9uLW9mLXVnYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Corruption in the Aviation Industry? “Please Say it Isn't So!”,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmxleG9sb2d5LmNvbS9saWJyYXJ5L2RldGFpbC5hc3B4P2c9ZDNhYmU3MWItZTZjMC00MjgxLWI5YTgtN2RlNDczYTFjNDM30gEA?hl=en-US&gl=US&ceid=US%3Aen,0.431,0.259,0.31,-0.34
New York Life Investments to Acquire Majority Stake in Credit Value ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL25ldy15b3JrLWxpZmUtaW52ZXN0bWVudHMtdG8tYWNxdWlyZS1tYWpvcml0eS1zdGFrZS1pbi1jcmVkaXQtdmFsdWUtcGFydG5lcnMtMzAwMzg1NDc2Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.467,0.533,0.8402
BRIEF-CBL & Associates Properties announces plans for some ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFVTBTQtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Bring Back A Piece Of London With These 11 UK Snacks,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9icmluZy1iYWNrLXBpZWNlLWxvbmRvbi0xMS0wNjAzMzY1NTQuaHRtbNIBUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2JyaW5nLWJhY2stcGllY2UtbG9uZG9uLTExLTA2MDMzNjU1NC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Gamco Asset Management and affiliates reports 5.10 pct ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFVTBLS9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.6,0.4,0.6124
NewSpring Holdings Acquires Vertical Management Systems,2017-01-04 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbmV3c3ByaW5nLWhvbGRpbmdzLWFjcXVpcmVzLXZlcnRpY2FsLW1hbmFnZW1lbnQtc3lzdGVtcy0zMDAzODQ4NDMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"BRIEF-Cardiovascular Systems entered into purchase, sale ...",2017-01-05 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFVjBRRdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
10 Best Airlines To Fly To Europe,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lmluc2lkZXJtb25rZXkuY29tL2Jsb2cvMTAtYmVzdC1haXJsaW5lcy10by1mbHktdG8tZXVyb3BlLTUxNDMyNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.288,0.712,0.8555
Stanley Black & Decker Reaches Agreement To Purchase ...,2017-01-05 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3N0YW5sZXktYmxhY2stLWRlY2tlci1yZWFjaGVzLWFncmVlbWVudC10by1wdXJjaGFzZS1jcmFmdHNtYW4tYnJhbmQtZnJvbS1zZWFycy1ob2xkaW5ncy0zMDAzODYyNzcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.377,0.623,0.765
Carlyle hires Goldman Sachs to help sell Nature's Bounty: sources,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtbmF0dXJlLXMtYm91bnR5LW0tYS1jYXJseWxlLWdyb3VwLWlkVUtLQk4xNFEwWUnSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.645,0.355,0.6597
Flying on an airplane may turn you into a 'zombie',2017-01-07 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vbnlwb3N0LmNvbS8yMDE3LzAxLzA3L2ZseWluZy1vbi1hbi1haXJwbGFuZS1tYXktdHVybi15b3UtaW50by1hLXpvbWJpZS_SAVNodHRwczovL255cG9zdC5jb20vMjAxNy8wMS8wNy9mbHlpbmctb24tYW4tYWlycGxhbmUtbWF5LXR1cm4teW91LWludG8tYS16b21iaWUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
British Airways Flight Attendants Set to Strike — Skift Business Traveler,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vc2tpZnQuY29tLzIwMTcvMDEvMDkvYnJpdGlzaC1haXJ3YXlzLWZsaWdodC1hdHRlbmRhbnRzLXNldC10by1zdHJpa2Utc2tpZnQtYnVzaW5lc3MtdHJhdmVsZXIv0gFpaHR0cHM6Ly9za2lmdC5jb20vMjAxNy8wMS8wOS9icml0aXNoLWFpcndheXMtZmxpZ2h0LWF0dGVuZGFudHMtc2V0LXRvLXN0cmlrZS1za2lmdC1idXNpbmVzcy10cmF2ZWxlci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.2,0.8,0.0,-0.25
Yum China Launches Taco Bell Brand in China,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMveXVtLWNoaW5hLWxhdW5jaGVzLXRhY28tYmVsbC1icmFuZC1pbi1jaGluYS0zMDAzODc1NTguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Valeant to sell Dendreon unit to China's Sanpower for $820 million,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZGVuZHJlb24tbS1hLXNhbnBvd2VyLWlkVVNLQk4xNFUwQjfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Team Health Holdings, Inc. Announces $1,015 Million Senior Notes ...",2017-01-09 00:00:00,https://news.google.com/./articles/CBMimQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3RlYW0taGVhbHRoLWhvbGRpbmdzLWluYy1hbm5vdW5jZXMtMTAxNS1taWxsaW9uLXNlbmlvci1ub3Rlcy1vZmZlcmluZy1ieS10ZW5uZXNzZWUtbWVyZ2VyLXN1Yi1pbmMtMzAwMzg3NTQyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Lola Kirke Didn't Shave Her Underarms for the Golden Globes,2017-01-09 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9sb2xhLWtpcmtlLXdlbnQtbmF0dXJhbC13aXRoLWhlci11bmRlcmFybS1oYWlyLWF0LXRoZS1nb2xkZW4tZ2xvYmVzLTE1MDUyNjEwMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Giants blamed for trashing airplane after playoff blowout,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vbnlwb3N0LmNvbS8yMDE3LzAxLzA5L2dpYW50cy10cmFzaC1haXJwbGFuZS1mb2xsb3dpbmctZW1iYXJyYXNzaW5nLXBsYXlvZmYtYmxvd291dC_SAV9odHRwczovL255cG9zdC5jb20vMjAxNy8wMS8wOS9naWFudHMtdHJhc2gtYWlycGxhbmUtZm9sbG93aW5nLWVtYmFycmFzc2luZy1wbGF5b2ZmLWJsb3dvdXQvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.432,0.568,0.0,-0.5859
Palladium Equity Partners Announces Investment in Indoor ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BhbGxhZGl1bS1lcXVpdHktcGFydG5lcnMtYW5ub3VuY2VzLWludmVzdG1lbnQtaW4taW5kb29yLXJlY3JlYXRpb24tY29tcGFueS1jaXJjdXN0cml4LTMwMDM4ODI2NS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Canadian apparel maker Gildan wins auction to buy American Apparel,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYW1lcmljYW5hcHBhcmVsLWJpZGRlcnMtYmFua3J1cHRjeS1pZFVTTDROMUYwM1BH0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.548,0.452,0.8225
Boeing Jumbo-Jet Era Ending in U.S. as United Retires 747 Fleet,2017-01-11 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTExL3VuaXRlZC1zLTc0Ny1yZXRpcmVtZW50LXBsYW4tbWFya3MtZW5kLWZvci1pY29uaWMtanVtYm8taW4tdS1z0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.603,0.397,0.6808
"United Airlines and OTG Unveil 'Thyme', an All-Vegetarian",2017-01-11 00:00:00,https://news.google.com/./articles/CBMi0gFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wMS8xMS85MDUxODIvMC9lbi9Vbml0ZWQtQWlybGluZXMtYW5kLU9URy1VbnZlaWwtVGh5bWUtYW4tQWxsLVZlZ2V0YXJpYW4tUmVzdGF1cmFudC1Db25jZXB0LWluLVVuaXRlZC1zLVRlcm1pbmFsLUMtYXQtTmV3YXJrLUxpYmVydHktSW50ZXJuYXRpb25hbC1BaXJwb3J0Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.521,0.479,0.6808
Potential nominee profile: Steven Colloton,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnNjb3R1c2Jsb2cuY29tLzIwMTcvMDEvcG90ZW50aWFsLW5vbWluZWUtcHJvZmlsZS1zdGV2ZW4tY29sbG90b24v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
United Polaris Now Arriving at Saks Fifth Avenue's Iconic New York ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3VuaXRlZC1wb2xhcmlzLW5vdy1hcnJpdmluZy1hdC1zYWtzLWZpZnRoLWF2ZW51ZXMtaWNvbmljLW5ldy15b3JrLWNpdHktd2luZG93cy0zMDAzODkzNjkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.635,0.365,0.6808
"Grana y Montero shares sink, says Odebrecht partnership a 'mistake'",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZ3JhbmEteS1tb250ZXJvLW9kZWJyZWNodC1pZFVTS0JOMTRXMzJX0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.288,0.455,0.258,-0.1027
How porous is new wall between Donald Trump and his family business?,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvZG9uYWxkLXRydW1wLWZhbWlseS1idXNpbmVzcy1wcmVzaWRlbnQtZWxlY3Qv0gFOaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL25ld3MvZG9uYWxkLXRydW1wLWZhbWlseS1idXNpbmVzcy1wcmVzaWRlbnQtZWxlY3Qv?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-River Road Asset Management LLC reports 5 pct passive ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFGMjBPStIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.515,0.485,0.765
Japan's Rethinking Its Culture of Long Work Hours,2017-01-12 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTEyL2phcGFuLXN0ZXBzLXVwLWRyaXZlLWZvci1hLXJldGhpbmstb24tY3VsdHVyZS1vZi1sb25nLXdvcmstaG91cnPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Bond Covenants and Skeptic Skepticism,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDE3LTAxLTEyL2JvbmQtY292ZW5hbnRzLWFuZC1za2VwdGljLXNrZXB0aWNpc23SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.744,0.256,0.0,-0.7003
Fast enough or hot enough? | Featured Columnists | postguam.com,2017-01-12 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnBvc3RndWFtLmNvbS9mb3J1bS9mZWF0dXJlZF9jb2x1bW5pc3RzL2Zhc3QtZW5vdWdoLW9yLWhvdC1lbm91Z2gvYXJ0aWNsZV9mNTg1MzE2YS1kN2M5LTExZTYtODU2NC03YjkzOGMzOTNiZDkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
