title,datetime,link,Negative,Neutral,Positive,Compound
Pat Fahey seems immune to retirement; he just keeps on as a bank ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zZWF0dGxlL25ld3MvMjAxNy8wMS8wMy9wYXQtZmFoZXktY2VvLWZpcnN0LXNvdW5kLWJhbmstdHVybmFyb3VuZC1leHBlcnQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.638,0.362,0.5267
First Financial changes charter - Cincinnati Business Courier,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaW5jaW5uYXRpL25ld3MvMjAxNy8wMS8wNC9maXJzdC1maW5hbmNpYWwtY2hhbmdlcy1jaGFydGVyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Valley National Bancorp Announces the Retirement of Senior ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiswFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3ZhbGxleS1uYXRpb25hbC1iYW5jb3JwLWFubm91bmNlcy10aGUtcmV0aXJlbWVudC1vZi1zZW5pb3ItZXhlY3V0aXZlLXZpY2UtcHJlc2lkZW50LS1jaGllZi1vcGVyYXRpbmctb2ZmaWNlci1wZXRlci1jcm9jaXR0by0zMDAzODU4MDguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Valley National Bank appoints new president, chief banking officer ...",2017-01-06 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vZmluYW5jaWFscmVnbmV3cy5jb20vdmFsbGV5LW5hdGlvbmFsLWJhbmstYXBwb2ludHMtbmV3LXByZXNpZGVudC1jaGllZi1iYW5raW5nLW9mZmljZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Full List: Ranking America's 100 Largest Banks,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva3VydGJhZGVuaGF1c2VuLzIwMTcvMDEvMTAvZnVsbC1saXN0LXJhbmtpbmctYW1lcmljYXMtMTAwLWxhcmdlc3QtYmFua3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Women in Banking: VC funding, imposter syndrome and other battles",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS9uZXdzL3dvbWVuLWluLWJhbmtpbmctdmMtZnVuZGluZy1pbXBvc3Rlci1zeW5kcm9tZS1hbmQtb3RoZXItYmF0dGxlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.412,0.588,0.0,-0.6369
Revenue and expenses,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS90YWcvcmV2ZW51ZS1hbmQtZXhwZW5zZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Reading Health opens psychiatric emergency unit | Berks Regional ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy53Zm16LmNvbS9uZXdzL2FyZWEvYmVya3MvcmVhZGluZy1oZWFsdGgtb3BlbnMtcHN5Y2hpYXRyaWMtZW1lcmdlbmN5LXVuaXQvYXJ0aWNsZV9iOTEzYmY0Ny05ODZhLTU3ZTItYWM3ZC1lZmU5MTgxZjc1OGIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.375,0.625,0.0,-0.6369
"Connecting the Dots: A year out from governor's race, donors pony ...",2017-01-20 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vdGhlbmV2YWRhaW5kZXBlbmRlbnQuY29tL2FydGljbGUvd2hvcy1naXZpbmctdG8tcHJvc3BlY3RpdmUtMjAxOC1ndWItY2FuZGlkYXRlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Pinnacle Financial Partners to buy BNC Bancorp - Nashville ...,2017-01-22 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9uYXNodmlsbGUvbmV3cy8yMDE3LzAxLzIyL3Bpbm5hY2xlLWJ1eXMtaXRzLWZpcnN0LW91dC1vZi1zdGF0ZS1sZW5kZXItaW4tMS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
