title,datetime,link,Negative,Neutral,Positive,Compound
Was a Vermont Power Grid Infiltrated by Russian Hackers?,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnNub3Blcy5jb20vZmFjdC1jaGVjay9yZXBvcnQtdmVybW9udC1wb3dlci1ncmlkLWluZmlsdHJhdGVkLWJ5LXJ1c3NpYW4taGFja2Vycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Watch Bryce Harper lift some really, really heavy weights",2017-01-03 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZlZGVyYWxiYXNlYmFsbC5jb20vMjAxNy8xLzMvMTQxNjIzNjYvd2F0Y2gtYnJ5Y2UtaGFycGVyLWxpZnQtYS1yZWFsbHktaGVhdnktdGhpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Lessons in Leadership from Olympia Federal Savings President Lori ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRodXJzdG9udGFsay5jb20vMjAxNy8wMS8wNC9sZXNzb25zLWxlYWRlcnNoaXAtb2x5bXBpYS1mZWRlcmFsLXNhdmluZ3MtcHJlc2lkZW50LWxvcmktZHJ1bW1vbmQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.545,0.455,0.7184
Rex Tillerson Would Head to D.C. with $180 Million Retirement Package from Exxon,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8wNC9kb25hbGQtdHJ1bXAtcmV4LXRpbGxlcnNvbi1leHhvbi1tb2JpbC0xODAtbWlsbGlvbi_SAVZodHRwczovL2ZvcnR1bmUuY29tLzIwMTcvMDEvMDQvZG9uYWxkLXRydW1wLXJleC10aWxsZXJzb24tZXh4b24tbW9iaWwtMTgwLW1pbGxpb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
PRESS DIGEST - Wall Street Journal - Jan 5,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvcHJlc3MtZGlnZXN0LXdzai1pZFVTTDROMUVWMVkw0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Gamco Asset Management and affiliates reports 5.10 pct ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFFVTBLS9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.6,0.4,0.6124
BRIEF-Emmi takes over American family company Jackson-Mitchell,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVS0ZXTjFFVTBVSdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Possible Fed limits on Wall Street energy bets will be 'harmful': U.S. ...,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtdXNhLWZlZC1yZWd1bGF0aW9ucy1pZFVTS0JOMTRQMkZC0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.352,0.423,0.225,-0.4215
Two contractors allege getting stiffed for work on Trump's D.C. hotel,2017-01-05 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uZXdzL2RpZ2dlci93cC8yMDE3LzAxLzA1L3R3by1jb250cmFjdG9ycy1hbGxlZ2UtZ2V0dGluZy1zdGlmZmVkLWZvci13b3JrLW9uLXRydW1wcy1kLWMtaG90ZWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.417,0.583,0.0,-0.7184
Arlington’s CEB to be acquired in $2.6B deal,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3RvcC5jb20vYnVzaW5lc3MtZmluYW5jZS8yMDE3LzAxL2FybGluZ3RvbnMtY2ViLXRvLWJlLWFjcXVpcmVkLWluLTItNmItZGVhbC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Judge Orders Praluent Off the Market | MedPage Today,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3Lm1lZHBhZ2V0b2RheS5jb20vY2FyZGlvbG9neS9keXNsaXBpZGVtaWEvNjI0MDPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Leadership and Membership Announcements for the Federal ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMijQFodHRwczovL3d3dy5mcmJzZi5vcmcvb3VyLWRpc3RyaWN0L3ByZXNzL25ld3MtcmVsZWFzZXMvMjAxNy9sZWFkZXJzaGlwLWFuZC1tZW1iZXJzaGlwLWFubm91bmNlbWVudHMtc2FsdC1sYWtlLWNpdHktYnJhbmNoLWJvYXJkLW9mLWRpcmVjdG9ycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.375,0.625,0.7184
Who are Wainwright and Pernici?,2017-01-08 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnNocmV2ZXBvcnR0aW1lcy5jb20vc3RvcnkvbmV3cy8yMDE3LzAxLzA4L3doby13YWlud3JpZ2h0LWFuZC1wZXJuaWNpLzk2MjA5OTgwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Lululemon Athletica Inc. updates guidance for fourth quarter ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0FTQzA5UFk30gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Medicaid’s Data Gets an Internet-Era Makeover,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMDkvdGVjaG5vbG9neS9tZWRpY2FpZHMtZGF0YS1nZXRzLWFuLWludGVybmV0LWVyYS1tYWtlb3Zlci5odG1s0gFjaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAxNy8wMS8wOS90ZWNobm9sb2d5L21lZGljYWlkcy1kYXRhLWdldHMtYW4taW50ZXJuZXQtZXJhLW1ha2VvdmVyLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Banking Regulator Sues Bank of America Over Unpaid Deposit Protection Insurance,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8xMC9mZGljLXN1ZXMtYmFuay1vZi1hbWVyaWNhLWRlcG9zaXQtcHJvdGVjdGlvbi_SAVBodHRwczovL2ZvcnR1bmUuY29tLzIwMTcvMDEvMTAvZmRpYy1zdWVzLWJhbmstb2YtYW1lcmljYS1kZXBvc2l0LXByb3RlY3Rpb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.588,0.412,0.0,-0.9001
"News of Record for Wednesday, Jan. 11, 2017",2017-01-10 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5ld3Mtam91cm5hbG9ubGluZS5jb20vc3RvcnkvbmV3cy9jcmltZS8yMDE3LzAxLzEwL25ld3Mtb2YtcmVjb3JkLWZvci13ZWRuZXNkYXktamFuLTExLTIwMTcvMjI3NTQyNTcwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
A Passion for People Inspires Innovation of NuAxis' Company Culture,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd2FzaGluZ3RvbmV4ZWMuY29tLzIwMTcvMDEvcGFzc2lvbi1wZW9wbGUtaW5zcGlyZXMtaW5ub3ZhdGlvbi1udWF4aXMtY29tcGFueS1jdWx0dXJlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.222,0.778,0.9432
