title,datetime,link,Negative,Neutral,Positive,Compound
Animal whisperers present a problematic way of seeing animals.,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vc2xhdGUuY29tL3RlY2hub2xvZ3kvMjAxNy8wMS9hbmltYWwtd2hpc3BlcmVycy1wcmVzZW50LWEtcHJvYmxlbWF0aWMtd2F5LW9mLXNlZWluZy1hbmltYWxzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.444,0.556,0.0,-0.7003
Here's the full list of December's 866 local real-estate deals worth at ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9idWZmYWxvL25ld3MvMjAxNy8wMS8wNi9oZXJlLXMtdGhlLWZ1bGwtbGlzdC1vZi1kZWNlbWJlci1zLTg2Ni1sb2NhbC1yZWFsLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.714,0.286,0.4215
Bukula leaves Nersa facing challenging times,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm1vbmV5d2ViLmNvLnphL25ld3Mvc291dGgtYWZyaWNhL2J1a3VsYS1sZWF2ZXMtbmVyc2EtZmFjaW5nLWNoYWxsZW5naW5nLXRpbWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.758,0.242,0.1531
Jamaican stakeholders tour Canada to learn about Sea Water Air ...,2017-01-16 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3Lm5hdGlvbm5ld3MuY29tLzIwMTcvMDEvMTYvamFtYWljYW4tc3Rha2Vob2xkZXJzLXRvdXItY2FuYWRhLXRvLWxlYXJuLWFib3V0LXNlYS13YXRlci1haXItY29uZGl0aW9uaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Customs fraud accused wait for bail ruling,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS81MDEyNi9yZWFkL0N1c3RvbXMtZnJhdWQtYWNjdXNlZC13YWl0LWZvci1iYWlsLXJ1bGluZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.826,0.174,0.0,-0.9451
"Sundance Film Review: ‘Rancher, Farmer, Fisherman’",2017-01-24 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vdmFyaWV0eS5jb20vMjAxNy9maWxtL3Jldmlld3MvcmFuY2hlci1mYXJtZXItZmlzaGVybWFuLXN1bmRhbmNlLWZpbG0tcmV2aWV3LTEyMDE5NjY1NDMv0gFjaHR0cHM6Ly92YXJpZXR5LmNvbS8yMDE3L2ZpbG0vcmV2aWV3cy9yYW5jaGVyLWZhcm1lci1maXNoZXJtYW4tc3VuZGFuY2UtZmlsbS1yZXZpZXctMTIwMTk2NjU0My9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Freddy Krueger actor Robert Englund coming to Houston's ...,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmNocm9uLmNvbS9jdWx0dXJlL2NlbGVicml0aWVzL2FydGljbGUvRnJlZGR5LUtydWVnZXItYWN0b3ItY29taW5nLXRvLUhvdXN0b24tcy0xMDg4OTAwNy5waHDSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Witness recalls moments before fatal crash,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS81MDQ2MS9yZWFkL1dpdG5lc3MtcmVjYWxscy1tb21lbnRzLWJlZm9yZS1mYXRhbC1jcmFzaNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.885,0.115,0.0,-0.9545
The Secret Story of Richard Petty's Long Lost Plymouth Superbird,2017-02-06 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnJvYWRhbmR0cmFjay5jb20vbW90b3JzcG9ydHMvYTMyNTI1L3JpY2hhcmQtcGV0dHktbG9zdC1zdXBlcmJpcmQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.538,0.462,0.0,-0.7906
Lux. opens criminal case over VW emissions scandal,2017-02-06 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZGVsYW5vLmx1L2FydGljbGUvZGVsYW5vX2x1eC1vcGVucy1jcmltaW5hbC1jYXNlLW92ZXItdnctZW1pc3Npb25zLXNjYW5kYWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.679,0.321,0.0,-0.9118
FedEx enters the fray for share of small business fulfillment services,2017-02-07 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmRjdmVsb2NpdHkuY29tL2FydGljbGVzLzI4NTkyLWZlZGV4LWVudGVycy10aGUtZnJheS1mb3Itc2hhcmUtb2Ytc21hbGwtYnVzaW5lc3MtZnVsZmlsbG1lbnQtc2VydmljZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.673,0.327,0.5267
Big carriers' revenues and profits shrunk in 2016,2017-02-13 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3Lm92ZXJkcml2ZW9ubGluZS5jb20vYnVzaW5lc3MvYXJ0aWNsZS8xNDg5MTgyOS9iaWctY2FycmllcnMtcmV2ZW51ZXMtYW5kLXByb2ZpdHMtc2hydW5rLWluLTIwMTbSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.455,0.545,0.7003
