title,datetime,link,Negative,Neutral,Positive,Compound
XPEL Files Lawsuit against Foreign Competitors for Trademark ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LndpbmRvd2ZpbG1tYWcuY29tLzIwMTcvMDEveHBlbC1maWxlcy1sYXdzdWl0LWFnYWluc3QtZm9yZWlnbi1jb21wZXRpdG9ycy1mb3ItdHJhZGVtYXJrLWluZnJpbmdlbWVudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.359,0.641,0.0,-0.4215
Which shampoo works the best to defeat dandruff?,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS00MTczNjE4L1doaWNoLXNoYW1wb28td29ya3MtYmVzdC1kZWZlYXQtZGFuZHJ1ZmYuaHRtbNIBZGh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS00MTczNjE4L2FtcC9XaGljaC1zaGFtcG9vLXdvcmtzLWJlc3QtZGVmZWF0LWRhbmRydWZmLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.325,0.195,0.481,0.5267
"BMW 740e, X5 xDrive 40e: where do low-range plug-in hybrids fit in?",2017-03-09 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmdyZWVuY2FycmVwb3J0cy5jb20vbmV3cy8xMTAxNjAxX2Jtdy03NDBlLXg1LXhkcml2ZS00MGUtd2hlcmUtZG8tbG93LXJhbmdlLXBsdWctaW4taHlicmlkcy1maXQtaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.262,0.41,0.328,0.2023
"Irvine, Ryan",2017-03-15 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3Lm1vbmV5c2hvdy5jb20vZXhwZXJ0L2ZmdmNtczAzNTc0MS9yeWFuLWlydmluZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Kimberly-Clark Professional Introduces Solutions for Allergen and ...,2017-03-22 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnF1YWxpdHlhc3N1cmFuY2VtYWcuY29tL25ld3Mva2ltYmVybHktY2xhcmstcHJvZmVzc2lvbmFsLWludHJvZHVjZXMtc29sdXRpb25zLWZvci1hbGxlcmdlbi1hbmQtZ2VybS1jb250YW1pbmF0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.581,0.419,0.5574
XPEL and 3M Announce Settlement of Patent Infringement Lawsuit,2017-03-23 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMzIzMDA1NDI3L2VuL1hQRUwtYW5kLTNNLUFubm91bmNlLVNldHRsZW1lbnQtb2YtUGF0ZW50LUluZnJpbmdlbWVudC1MYXdzdWl00gEA?hl=en-US&gl=US&ceid=US%3Aen,0.667,0.333,0.0,-0.8402
3M and XPEL Settle Lawsuit,2017-03-29 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3LndpbmRvd2ZpbG1tYWcuY29tLzIwMTcvMDMvM20tYW5kLXhwZWwtc2V0dGxlLWxhd3N1aXQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.583,0.417,0.0,-0.4215
"Dealmaking expanded in April, but the pace slowed",2017-05-17 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9kZWFsbWFraW5nLWV4cGFuZGVkLWluLWFwcmlsLWJ1dC10aGUtcGFjZS1zbG93ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.431,0.259,0.31,-0.34
Mosquito Bands | Product Reviews & Guide – Canstar Blue,2017-06-07 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmNhbnN0YXJibHVlLmNvbS5hdS9oZWFsdGgtYmVhdXR5L21vc3F1aXRvLWJhbmRzLXJlYWxseS13b3JrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Paint protection film sales mean big profits for service departments,2017-06-19 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5hdXRvbmV3cy5jb20vYXJ0aWNsZS8yMDE3MDYxOS9SRVRBSUwwNS8xNzA2MTk5MzUvcGFpbnQtcHJvdGVjdGlvbi1maWxtLXNhbGVzLW1lYW4tYmlnLXByb2ZpdHMtZm9yLXNlcnZpY2UtZGVwYXJ0bWVudHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.625,0.375,0.7003
"Dunn, Aaron",2017-10-03 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3Lm1vbmV5c2hvdy5jb20vZXhwZXJ0L2ZmY3ltczA1MjkyL2Fhcm9uLWR1bm4v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
How to Clear Bra an Entire Car - Apply Paint-Protection Film to ...,2017-10-30 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnJvYWRhbmR0cmFjay5jb20vY2FyLWN1bHR1cmUvYnV5aW5nLW1haW50ZW5hbmNlL2ExMzEyMjAxNi9jbGVhci1icmEtZW50aXJlLWNhci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.625,0.375,0.6369
Madico Makes $30 Million Investment in New Manufacturing Facility,2017-11-15 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LndpbmRvd2ZpbG1tYWcuY29tLzIwMTcvMTEvbWFkaWNvLW1ha2VzLTMwLW1pbGxpb24taW52ZXN0bWVudC1pbi1uZXctbWFudWZhY3R1cmluZy1mYWNpbGl0eS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
This Is the Car Everyone Says They'd Buy If Chevy Just Made It,2018-05-11 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnJvYWRhbmR0cmFjay5jb20vY2FyLWN1bHR1cmUvYTIwNjY1MDg4L3N1cGVyY2hhcmdlZC1jaGV2eS1zcy1mb3Itc2FsZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Pics of Model X with Gloss black or Carbon grey 22 Turbines,2018-06-24 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vdGVzbGFtb3RvcnNjbHViLmNvbS90bWMvdGhyZWFkcy9waWNzLW9mLW1vZGVsLXgtd2l0aC1nbG9zcy1ibGFjay1vci1jYXJib24tZ3JleS0yMi10dXJiaW5lcy4xMTkwMjEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.811,0.189,0.1027
Protecting Your Car's Paint with Paint Protection Film,2018-08-23 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LndoZWVscy5jYS90cmFja3dvcnRoeS1ibG9ncy9wcm90ZWN0aW5nLXlvdXItY2Fycy1wYWludC13aXRoLXBhaW50LXByb3RlY3Rpb24tZmlsbdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.543,0.457,0.6369
Ferraghini Supercars: Meet Matthew Hakim the man who sells Lamborghinis and upgrades Rolls-Royces to...,2018-11-13 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy50aGVzdW4uY28udWsvc3BvcnQvZm9vdGJhbGwvNzY5MjQyMi9mZXJyYWdoaW5pLXN1cGVyY2Fycy1tYXR0aGV3LWhha2ltLWxhbWJvcmdoaW5pLWZlcnJhcmktcm9sbHMtcm95Y2UtcHJlbWllci1sZWFndWUv0gGGAWh0dHBzOi8vd3d3LnRoZXN1bi5jby51ay9zcG9ydC9mb290YmFsbC83NjkyNDIyL2ZlcnJhZ2hpbmktc3VwZXJjYXJzLW1hdHRoZXctaGFraW0tbGFtYm9yZ2hpbmktZmVycmFyaS1yb2xscy1yb3ljZS1wcmVtaWVyLWxlYWd1ZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
IndyCar Driver Reveals Stunning Purple Ford GT,2018-11-17 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vY2FyYnV6ei5jb20vbmV3cy9pbmR5Y2FyLWRyaXZlci1yZXZlYWxzLXN0dW5uaW5nLXB1cnBsZS1mb3JkLWd00gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.741,0.259,0.2732
