title,datetime,link
Movers & Shakers: Cornerstone Healthcare Group Names New CEO,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzAxL21vdmVycy1zaGFrZXJzLWNvcm5lcnN0b25lLWhlYWx0aGNhcmUtZ3JvdXAtbmFtZXMtbmV3LWNlby_SAQA?hl=en-US&gl=US&ceid=US%3Aen
LHC Group Called Out for High Executive Compensation,2017-02-20 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzAyL2xoYy1ncm91cC1jYWxsZWQtb3V0LWZvci1oaWdoLWV4ZWN1dGl2ZS1jb21wZW5zYXRpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Baton Rouge, New Orleans, Lafayette area People in Business for Feb. 19, 2017",2017-02-19 00:00:00,https://news.google.com/./articles/CBMisQFodHRwczovL3d3dy50aGVhZHZvY2F0ZS5jb20vYmF0b25fcm91Z2UvbmV3cy9idXNpbmVzcy9iYXRvbi1yb3VnZS1uZXctb3JsZWFucy1sYWZheWV0dGUtYXJlYS1wZW9wbGUtaW4tYnVzaW5lc3MtZm9yLWZlYi0xOS0yMDE3L2FydGljbGVfYzU5M2E0M2UtZjIyZi0xMWU2LWEzM2MtNTM3NzZkMGVhMTgzLmh0bWzSAbUBaHR0cHM6Ly93d3cudGhlYWR2b2NhdGUuY29tL2JhdG9uX3JvdWdlL25ld3MvYnVzaW5lc3MvYmF0b24tcm91Z2UtbmV3LW9ybGVhbnMtbGFmYXlldHRlLWFyZWEtcGVvcGxlLWluLWJ1c2luZXNzLWZvci1mZWItMTktMjAxNy9hcnRpY2xlX2M1OTNhNDNlLWYyMmYtMTFlNi1hMzNjLTUzNzc2ZDBlYTE4My5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Amedisys announces definitive agreement to acquire six ...,2017-03-01 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtYW1lZGlzeXMtYW5ub3VuY2VzLWRlZmluaXRpdmUtYWdyZS1pZFVTQVNCMEIzNFPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Anderson, Barbara Joyce Clark",2017-03-10 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmNoYXR0YW5vb2dhbi5jb20vMjAxNy8zLzEwLzM0MzU4My9BbmRlcnNvbi1CYXJiYXJhLUpveWNlLUNsYXJrLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
VFD respond to Talbott house fire | Local News | citizentribune.com,2017-03-15 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmNpdGl6ZW50cmlidW5lLmNvbS9uZXdzL2xvY2FsL3ZmZC1yZXNwb25kLXRvLXRhbGJvdHQtaG91c2UtZmlyZS9hcnRpY2xlX2NiZjY2NTE0LTA5OTAtMTFlNy04MzNlLWQ3MzI0ODEwNjZlNy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Amedisys Personal Care Division Expands to Tennessee,2017-04-03 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA0L2FtZWRpc3lzLXBlcnNvbmFsLWNhcmUtZGl2aXNpb24tZXhwYW5kcy10by10ZW5uZXNzZWUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Long-Time Great Lakes Caring CEO William Deary Steps Down,2017-04-28 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA0L2xvbmctdGltZS1ncmVhdC1sYWtlcy1jYXJpbmctY2VvLXdpbGxpYW0tZGVhcnktc3RlcHMtZG93bi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Original Footwear growing Morristown operations | Local News ...,2017-04-05 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5jaXRpemVudHJpYnVuZS5jb20vbmV3cy9sb2NhbC9vcmlnaW5hbC1mb290d2Vhci1ncm93aW5nLW1vcnJpc3Rvd24tb3BlcmF0aW9ucy9hcnRpY2xlXzIxNGRkMDI2LTFhMTUtMTFlNy05ZDkyLTA3ZjY0YjQxYjkyMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
What's in a Name: Amedisys CEO Opens Up About Re-Branding,2017-05-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA1L3doYXRzLWluLWEtbmFtZS1hbWVkaXN5cy1jZW8tb3BlbnMtdXAtYWJvdXQtcmUtYnJhbmRpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Amedisys reports Q1 financial results,2017-05-02 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtYW1lZGlzeXMtcmVwb3J0cy1xMS1maW5hbmNpYWwtcmVzdS1pZFVTQVNBMDlNOVPSAQA?hl=en-US&gl=US&ceid=US%3Aen
TEI purchases College Square Mall | Local News | citizentribune.com,2017-05-26 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmNpdGl6ZW50cmlidW5lLmNvbS9uZXdzL2xvY2FsL3RlaS1wdXJjaGFzZXMtY29sbGVnZS1zcXVhcmUtbWFsbC9hcnRpY2xlXzhjYTM1YmU2LTQyMmItMTFlNy05YTRhLTA3YWRiMzQ4MmZiMS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Daily Bread: Moving forward in founder's honor with food drive,2017-05-11 00:00:00,https://news.google.com/./articles/CBMimQFodHRwczovL3d3dy5jaXRpemVudHJpYnVuZS5jb20vbmV3cy9sb2NhbC9kYWlseS1icmVhZC1tb3ZpbmctZm9yd2FyZC1pbi1mb3VuZGVyLXMtaG9ub3Itd2l0aC1mb29kLWRyaXZlL2FydGljbGVfYzI2ZDVjMGEtMzY1ZS0xMWU3LWIwYmYtN2YxMzM0ODM1ODhmLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Organizers break ground on $50M Lakeway Christian Academy,2017-05-04 00:00:00,https://news.google.com/./articles/CBMilAFodHRwczovL3d3dy5jaXRpemVudHJpYnVuZS5jb20vbmV3cy9sb2NhbC9vcmdhbml6ZXJzLWJyZWFrLWdyb3VuZC1vbi01MG0tbGFrZXdheS1jaHJpc3RpYW4tYWNhZGVteS9hcnRpY2xlXzI1MzNhOWMwLTMwZTItMTFlNy04YjhlLTgzMTY0NjZlZDcyOC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Addus Now Headquartered in Texas,2017-06-08 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA2L2FkZHVzLW5vdy1vZmZpY2lhbGx5LWhlYWRxdWFydGVyZWQtaW4tdGV4YXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Top 5 Differences Between NFPs and For-Profit Hospitals,2017-06-20 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmhlYWx0aGxlYWRlcnNtZWRpYS5jb20vZmluYW5jZS90b3AtNS1kaWZmZXJlbmNlcy1iZXR3ZWVuLW5mcHMtYW5kLXByb2ZpdC1ob3NwaXRhbHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Regional Home Care Player Accelerates Growth, Starts Franchising",2017-07-05 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA3L3JlZ2lvbmFsLWhvbWUtY2FyZS1wbGF5ZXItYWNjZWxlcmF0ZXMtZ3Jvd3RoLXN0YXJ0cy1mcmFuY2hpc2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
5 Ways Amedisys Reduces Rehospitalization Rates,2017-08-29 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA4LzUtcHJhY3RpY2VzLWFtZWRpc3lzLXRha2VzLXRvLXJlZHVjZS1yZWhvc3BpdGFsaXphdGlvbi1yYXRlcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Bayada Home Health Care transitions to not-for-profit with new CEO,2017-08-17 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5tb2Rlcm5oZWFsdGhjYXJlLmNvbS9hcnRpY2xlLzIwMTcwODE3L05FV1MvMTcwODE5OTA2L2JheWFkYS1ob21lLWhlYWx0aC1jYXJlLXRyYW5zaXRpb25zLXRvLW5vdC1mb3ItcHJvZml0LXdpdGgtbmV3LWNlb9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Home Health Agency Owner Gets 75 Years for Fraud,2017-08-14 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vaG9tZWhlYWx0aGNhcmVuZXdzLmNvbS8yMDE3LzA4L2hvbWUtaGVhbHRoLWFnZW5jeS1vd25lci1nZXRzLTc1LXllYXJzLWZvci1mcmF1ZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
