title,datetime,link
Matthew E. Garth Joins Minerals Technologies Inc. as Chief ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxNy8wMS8yMy85MTAwMDgvMC9lbi9NYXR0aGV3LUUtR2FydGgtSm9pbnMtTWluZXJhbHMtVGVjaG5vbG9naWVzLUluYy1hcy1DaGllZi1GaW5hbmNpYWwtT2ZmaWNlci5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Christopher Byron, Financial Writer and Author of ‘Martha Inc.,’ Dies at 72",2017-01-11 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTEvYnVzaW5lc3MvbWVkaWEvY2hyaXN0b3BoZXItYnlyb24tZmluYW5jaWFsLXdyaXRlci1hbmQtYXV0aG9yLW9mLW1hcnRoYS1pbmMtZGllcy1hdC03Mi5odG1s0gGBAWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTEvYnVzaW5lc3MvbWVkaWEvY2hyaXN0b3BoZXItYnlyb24tZmluYW5jaWFsLXdyaXRlci1hbmQtYXV0aG9yLW9mLW1hcnRoYS1pbmMtZGllcy1hdC03Mi5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Colleagues remember Columbia Pipe & Supply's Bill Arenberg,2017-01-08 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnN1cHBseWh0LmNvbS9hcnRpY2xlcy8xMDAwNTAtY29sbGVhZ3Vlcy1yZW1lbWJlci1jb2x1bWJpYS1waXBlLXN1cHBseXMtYmlsbC1hcmVuYmVyZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Research from Columbia Business School Says Harsh Feedback ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMinwFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3Jlc2VhcmNoLWZyb20tY29sdW1iaWEtYnVzaW5lc3Mtc2Nob29sLXNheXMtaGFyc2gtZmVlZGJhY2stZnJvbS1hLW1hbmFnZXItbWF5LWluc3BpcmUtY3JlYXRpdmUtdGhpbmtpbmctMzAwMzkyODU5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Northwest Wine: Early-ripening tempranillo grows its fan base,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmJlbGxpbmdoYW1oZXJhbGQuY29tL2xpdmluZy9mb29kLWRyaW5rL2FydGljbGUxMjczNTI1NjQuaHRtbNIBSGh0dHBzOi8vYW1wLmJlbGxpbmdoYW1oZXJhbGQuY29tL2xpdmluZy9mb29kLWRyaW5rL2FydGljbGUxMjczNTI1NjQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Financial Advisor Finder By Location | US News Advisors,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9maW5hbmNpYWwtYWR2aXNvcnMvbG9jYXRpb24taW5kZXjSAQA?hl=en-US&gl=US&ceid=US%3Aen
New Mexican Restaurant and Mezcal Bar in Columbia Heights Has ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lndhc2hpbmd0b25pYW4uY29tLzIwMTcvMDEvMTAvbmV3LW1leGljYW4tcmVzdGF1cmFudC1hbmQtbWV6Y2FsLWJhci1pbi1jb2x1bWJpYS1oZWlnaHRzLWhhcy0xNy1raW5kcy1vZi10YWNvcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Dozens displaced by fire at apartment complex on Hardscrabble Road,2017-01-29 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lndpc3R2LmNvbS9zdG9yeS8zNDM3NDUxMS9jb2x1bWJpYS1maXJlLWNyZXdzLXJlc3BvbmQtdG8tYXBhcnRtZW50LWZpcmXSAWFodHRwczovL3d3dy53aXN0di5jb20vc3RvcnkvMzQzNzQ1MTEvY29sdW1iaWEtZmlyZS1jcmV3cy1yZXNwb25kLXRvLWFwYXJ0bWVudC1maXJlP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
Harvard Management Company to Lay Off Half Its Staff | News,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3LnRoZWNyaW1zb24uY29tL2FydGljbGUvMjAxNy8xLzI2L2htYy1sYXlvZmYtc3RhZmYv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Not Only Elite Law Schools Offer Great Returns on Investment,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMjQvYnVzaW5lc3MvZGVhbGJvb2svbGF3LXNjaG9vbC1kZWJ0LXNhbGFyeS5odG1s0gFUaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAxNy8wMS8yNC9idXNpbmVzcy9kZWFsYm9vay9sYXctc2Nob29sLWRlYnQtc2FsYXJ5LmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Recovering From the US Financial Crisis — Foreclosures Hit 10 ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdXMtZm9yZWNsb3N1cmVzLWhpdC0xMC15ZWFyLWxvdy1hZnRlci1maW5hbmNpYWwtY3Jpc2lzMjAxNy0x0gEA?hl=en-US&gl=US&ceid=US%3Aen
Navy moves forward on new Columbia-class submarines,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vY3RtaXJyb3Iub3JnLzIwMTcvMDEvMDUvbmF2eS1tb3Zlcy1mb3J3YXJkLW9uLW5ldy1jb2x1bWJpYS1jbGFzcy1zdWJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Former HMC Chief Returns to Teaching Role | News,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnRoZWNyaW1zb24uY29tL2FydGljbGUvMjAxNy8xLzI1L2JseXRoLXN0YXRpc3RpY3MtY291cnNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Bed Bath & Beyond Inc. Announces The Grand Opening Of ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2JlZC1iYXRoLS1iZXlvbmQtaW5jLWFubm91bmNlcy10aGUtZ3JhbmQtb3BlbmluZy1vZi1iZXlvbmQtYXQtbGliZXJ0eS12aWV3LTMwMDM4ODYxNy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Erika Karp: Sustainable investing goes beyond 'pure imagination',2017-01-25 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmdyZWVuYml6LmNvbS9hcnRpY2xlL2VyaWthLWthcnAtc3VzdGFpbmFibGUtaW52ZXN0aW5nLWdvZXMtYmV5b25kLXB1cmUtaW1hZ2luYXRpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
"'Good Luck, America:' Trump's Inauguration in Global Headlines",2017-01-20 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmFiY2NvbHVtYmlhLmNvbS8yMDE3LzAxLzIwL2dvb2QtbHVjay1hbWVyaWNhLXRydW1wcy1pbmF1Z3VyYXRpb24taW4tZ2xvYmFsLWhlYWRsaW5lcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Waste Connections Announces Acquisition Of Groot Industries, Inc.",2017-01-03 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvd2FzdGUtY29ubmVjdGlvbnMtYW5ub3VuY2VzLWFjcXVpc2l0aW9uLW9mLWdyb290LWluZHVzdHJpZXMtaW5jLTMwMDM4NDc3MS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Most eligible people in New York City, according to Hinge",2017-01-24 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vbW9zdC1lbGlnaWJsZS1wZW9wbGUtaW4tbmV3LXlvcmstY2l0eS1hY2NvcmRpbmctdG8taGluZ2UtMjAxNy0x0gFjaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS9tb3N0LWVsaWdpYmxlLXBlb3BsZS1pbi1uZXcteW9yay1jaXR5LWFjY29yZGluZy10by1oaW5nZS0yMDE3LTE_YW1w?hl=en-US&gl=US&ceid=US%3Aen
These six guys gave Cincinnati its start,2017-01-05 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy53Y3BvLmNvbS9uZXdzL2luc2lkZXIvc2l4LW1lbi13aG8tbGFpZC1jbGFpbS10by1sYW5kLXRoYXQtd291bGQtc29vbi1iZWNvbWUtaGFtaWx0b24tY291bnR5LWFyZS1hcmd1YWJseS10aGUtcmVnaW9ucy1mb3VuZGluZy1mYXRoZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Researchers Find Companies Issue More Stock Options When They’re Committing Fraud,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNi9zdG9jay1vcHRpb25zLWZyYXVkL9IBN2h0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNi9zdG9jay1vcHRpb25zLWZyYXVkL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Kaiser Permanente fined $2.5 million over missing data tied to ...,2017-01-27 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmhlYWx0aGNhcmVmaW5hbmNlbmV3cy5jb20vbmV3cy9rYWlzZXItcGVybWFuZW50ZS1maW5lZC0yNS1taWxsaW9uLW92ZXItbWlzc2luZy1kYXRhLXRpZWQtY2FsaWZvcm5pYS1tZWRpY2FpZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
