title,datetime,link
Realizing the potential of CRISPR,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm1ja2luc2V5LmNvbS9pbmR1c3RyaWVzL2xpZmUtc2NpZW5jZXMvb3VyLWluc2lnaHRzL3JlYWxpemluZy10aGUtcG90ZW50aWFsLW9mLWNyaXNwctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"CRISPR research institute expands into agriculture, microbiology",2017-01-24 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vbmV3cy5iZXJrZWxleS5lZHUvMjAxNy8wMS8yNC9jcmlzcHItcmVzZWFyY2gtaW5zdGl0dXRlLWV4cGFuZHMtaW50by1hZ3JpY3VsdHVyZS1taWNyb2Jpb2xvZ3kv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Lucifer First Look: Tim DeKay Does 'Terrible Things' in Upcoming Arc,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9sdWNpZmVyLWZpcnN0LWxvb2stdGltLWRla2F5LTIxMjM0NjU3Ni5odG1s0gFSaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvbHVjaWZlci1maXJzdC1sb29rLXRpbS1kZWtheS0yMTIzNDY1NzYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Michael Lewis reveals why some Germans are obsessed with 'human feces',2017-01-19 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9taWNoYWVsLWxld2lzLXJldmVhbHMtd2h5LWdlcm1hbnMtMDQ1OTAwMzU4Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9taWNoYWVsLWxld2lzLXJldmVhbHMtd2h5LWdlcm1hbnMtMDQ1OTAwMzU4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Whisky of the Week: Yamazaki Sherry Cask 2016 Edition Single Malt,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aGlza3ktd2Vlay15YW1hemFraS1zaGVycnktY2Fzay0wMTAwMDA0MzkuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3doaXNreS13ZWVrLXlhbWF6YWtpLXNoZXJyeS1jYXNrLTAxMDAwMDQzOS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Golden Globes 2017: Aaron-Taylor Johnson Wins Best Performance by an Actor in a Supporting Role in a Motion Picture,2017-01-08 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nb2xkZW4tZ2xvYmVzLTIwMTctYWFyb24tdGF5bG9yLTAxMjIzMTY4OS5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZ29sZGVuLWdsb2Jlcy0yMDE3LWFhcm9uLXRheWxvci0wMTIyMzE2ODkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Perfect 10 Couple! Aly Raisman Brings NFL Boyfriend Colton Underwood to the Golden Globes,2017-01-08 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9wZXJmZWN0LTEwLWNvdXBsZS1hbHktcmFpc21hbi0wMTI3MzY3NzIuaHRtbNIBU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3BlcmZlY3QtMTAtY291cGxlLWFseS1yYWlzbWFuLTAxMjczNjc3Mi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Apple CEO Tim Cook was spotted eating dinner with Jared Kushner and Ivanka Trump,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1jZW8tdGltLWNvb2stc3BvdHRlZC0xNjQ0MDI3NTcuaHRtbNIBUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2FwcGxlLWNlby10aW0tY29vay1zcG90dGVkLTE2NDQwMjc1Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Scientists glimpse a ruby sea dragon in the wild for the first time,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9zY2llbnRpc3RzLWdsaW1wc2UtcnVieS1zZWEtZHJhZ29uLTAxMDAwMDc1MC5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3Mvc2NpZW50aXN0cy1nbGltcHNlLXJ1Ynktc2VhLWRyYWdvbi0wMTAwMDA3NTAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Apple's AirPod Success: Headphone Users Show They're Willing To Cut The Cord,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZXMtYWlycG9kLXN1Y2Nlc3MtaGVhZHBob25lLXVzZXJzLTIwMDc0MzY2Ny5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvYXBwbGVzLWFpcnBvZC1zdWNjZXNzLWhlYWRwaG9uZS11c2Vycy0yMDA3NDM2NjcuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
