title,datetime,link
Cavco Industries Announces Planned Acquisition of Lexington Homes,2017-03-28 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wMy8yOC85NDU4NjAvOTkwNy9lbi9DYXZjby1JbmR1c3RyaWVzLUFubm91bmNlcy1QbGFubmVkLUFjcXVpc2l0aW9uLW9mLUxleGluZ3Rvbi1Ib21lcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Building Trades Warranty Report, 27 April 2017",2017-04-27 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3LndhcnJhbnR5d2Vlay5jb20vYXJjaGl2ZS93dzIwMTcwNDI3Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Dealmaking expanded in April, but the pace slowed",2017-05-17 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9kZWFsbWFraW5nLWV4cGFuZGVkLWluLWFwcmlsLWJ1dC10aGUtcGFjZS1zbG93ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Cavco: A Company with Hurricane-Induced Catalysts (NASDAQ ...,2017-09-19 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMDc5MDMtY2F2Y28tY29tcGFueS1odXJyaWNhbmUtaW5kdWNlZC1jYXRhbHlzdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Mobile Homes Are So Expensive Now, Hurricane Victims Can't ...",2017-11-21 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTExLTIxL21vYmlsZS1ob21lcy1hcmUtc28tZXhwZW5zaXZlLW5vdy1odXJyaWNhbmUtdmljdGltcy1jYW4tdC1hZmZvcmQtdGhlbdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Alta Cima Corp Announces Grand Opening of Mobile Homes on Main,2018-01-11 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE4LzAxL3Byd2ViMTUwNzEzMTYuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
A New Home for $90000? Manufactured Housing Is Making a ...,2018-08-16 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE4LTA4LTE2L2NoZWFwLWFuZC1zbGVlay1tYW51ZmFjdHVyZWQtaG91c2luZy1pcy1wcmltZWQtZm9yLWEtY29tZWJhY2vSAQA?hl=en-US&gl=US&ceid=US%3Aen
Manufactured housing is making a comeback,2018-08-16 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS1jb21tZXJjZS5jb20vMjAxOC8wOC9tYW51ZmFjdHVyZWQtaG91c2luZy1pcy1tYWtpbmctYS1jb21lYmFjay_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Homebuilder stocks have plunged in 2018 — here’s how the numbers stack up,2018-09-30 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9ob21lYnVpbGRlci1zdG9ja3MtaGF2ZS1wbHVuZ2VkLWluLTIwMTgtaGVyZXMtaG93LXRoZS1udW1iZXJzLXN0YWNrLXVwLTIwMTgtMDktMjbSAXdodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2hvbWVidWlsZGVyLXN0b2Nrcy1oYXZlLXBsdW5nZWQtaW4tMjAxOC1oZXJlcy1ob3ctdGhlLW51bWJlcnMtc3RhY2stdXAtMjAxOC0wOS0yNg?hl=en-US&gl=US&ceid=US%3Aen
Homebuilder Stocks Face Threats as Bond Yields Rise,2018-10-12 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3Rpbmcvc3RvY2stbWFya2V0LW5ld3MvYXJ0aWNsZXMvMjAxOC0xMC0xMi9ob21lYnVpbGRlci1zdG9ja3MtZmFjZS10aHJlYXRzLWFzLWJvbmQteWllbGRzLXJpc2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
Cavco Industries CEO Joseph Stegmayer steps down after SEC ...,2018-11-08 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waG9lbml4L25ld3MvMjAxOC8xMS8wOC9jZW8tc3RlcHMtZG93bi1hZnRlci1zZWMtc3VicG9lbmFzLXBob2VuaXguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Cavco boosts legal team amid SEC probe - Phoenix Business Journal,2019-02-08 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waG9lbml4L25ld3MvMjAxOS8wMi8wOC9jYXZjby1iZWVmcy11cC1sZWdhbC10ZWFtLWluLXdha2Utb2Ytc2VjLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Millennium Management Llc Buys,2019-02-16 00:00:00,https://news.google.com/./articles/CBMilgFodHRwczovL3d3dy5ndXJ1Zm9jdXMuY29tL25ld3MvODE3NjY2L21pbGxlbm5pdW0tbWFuYWdlbWVudC1sbGMtYnV5cy1zdGFyYnVja3MtY29ycC1jZWxnZW5lLWNvcnAtdGVzbGEtaW5jLXNlbGxzLWZvcnRpdmUtY29ycC1hZXRuYS1pbmMtbWljcm9zb2Z0LWNvcnDSAQA?hl=en-US&gl=US&ceid=US%3Aen
California's Women Requirement for Company Boards Could Pave ...,2019-03-21 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vZ3JhcGhpY3MvMjAxOS13b21lbi1vbi1ib2FyZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Manufactured Housing Market 2019 SWOT Analysis By Major Eminent Players; Clayton Homes, Champion Home Builders",2019-03-06 00:00:00,https://news.google.com/./articles/CBMisAFodHRwczovL3d3dy5vcGVucHIuY29tL25ld3MvMTYzNzE3MC9tYW51ZmFjdHVyZWQtaG91c2luZy1tYXJrZXQtMjAxOS1zd290LWFuYWx5c2lzLWJ5LW1ham9yLWVtaW5lbnQtcGxheWVycy1jbGF5dG9uLWhvbWVzLWNoYW1waW9uLWhvbWUtYnVpbGRlcnMtc2NodWx0LWhvbWVzLWhhbW1vbmQtY2F2Y28uaHRtbNIBrwFodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8xNjM3MTcwL21hbnVmYWN0dXJlZC1ob3VzaW5nLW1hcmtldC0yMDE5LXN3b3QtYW5hbHlzaXMtYnktbWFqb3ItZW1pbmVudC1wbGF5ZXJzLWNsYXl0b24taG9tZXMtY2hhbXBpb24taG9tZS1idWlsZGVycy1zY2h1bHQtaG9tZXMtaGFtbW9uZC1jYXZjby5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Cavco Industries Names William Boor Chief Executive Officer,2019-04-02 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxOS8wNC8wMi8xNzk1ODAxLzAvZW4vQ2F2Y28tSW5kdXN0cmllcy1OYW1lcy1XaWxsaWFtLUJvb3ItQ2hpZWYtRXhlY3V0aXZlLU9mZmljZXIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Bill Boor leaves CEO post at Great Lakes Brewing Co.,2019-05-10 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmNyYWluc2NsZXZlbGFuZC5jb20vc21hbGwtYnVzaW5lc3MvYmlsbC1ib29yLWxlYXZlcy1jZW8tcG9zdC1ncmVhdC1sYWtlcy1icmV3aW5nLWNv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Is Cavco Industries, Inc. (CVCO) A Good Stock To Buy?",2019-06-11 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jYXZjby1pbmR1c3RyaWVzLWluYy1jdmNvLWdvb2QtMDAyMDI2ODIwLmh0bWzSAVRodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jYXZjby1pbmR1c3RyaWVzLWluYy1jdmNvLWdvb2QtMDAyMDI2ODIwLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Homebuilder Warranty Report, 13 June 2019",2019-06-13 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3LndhcnJhbnR5d2Vlay5jb20vYXJjaGl2ZS93dzIwMTkwNjEzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Cavco Industries Announces the Planned Acquisition of Destiny ...,2019-07-29 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxOS8wNy8zMC8xODkzMzI4LzAvZW4vQ2F2Y28tSW5kdXN0cmllcy1Bbm5vdW5jZXMtdGhlLVBsYW5uZWQtQWNxdWlzaXRpb24tb2YtRGVzdGlueS1Ib21lcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Manufactured Housing REITs: Beat, Raise, Repeat",2019-07-29 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyNzg3NjktbWFudWZhY3R1cmVkLWhvdXNpbmctcmVpdHMtYmVhdC1yYWlzZS1yZXBlYXTSAQA?hl=en-US&gl=US&ceid=US%3Aen
