title,datetime,link
"Alibaba creator Jack Ma deviates from Amazon model, despite ...",2017-01-22 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9hbGliYWJhLWZvdW5kZXItamFjay1tYS1hbWF6b24tYnVzaW5lc3MtbW9kZWwtY29udHJhc3QvNDM0NDcxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The transportation supply chain,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vc3BvbnMvdGhlLXRyYW5zcG9ydGF0aW9uLXN1cHBseS1jaGFpbi80MzM5MzQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"New methods, technology turn reverse logistics woes into an ...",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9yZXRhaWwtcmV0dXJucy1yZXZlcnNlLWxvZ2lzdGljcy10ZWNobm9sb2d5LzQzMzg1OC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Target gets creative help from Gen Z in new apparel line,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvdGFyZ2V0LWdldHMtY3JlYXRpdmUtaGVscC1mcm9tLWdlbi16LWluLW5ldy1hcHBhcmVsLWxpbmUvNDMzOTIyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Staples to halt USPS operations in stores,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3Mvc3RhcGxlcy10by1oYWx0LXVzcHMtb3BlcmF0aW9ucy1pbi1zdG9yZXMvNDMzNTIyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
CB Insights Reveals the AI 100 List At The Innovation Summit,2017-01-11 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvY2ItaW5zaWdodHMtcmV2ZWFscy10aGUtYWktMTAwLWxpc3QtYXQtdGhlLWlubm92YXRpb24tc3VtbWl0LTMwMDM4OTI1OS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Top marks for UK freight forwarders,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmFpcmNhcmdvbmV3cy5uZXQvb2ZmLXRoZS1yZWNvcmQvdG9wLW1hcmtzLWZvci11ay1mcmVpZ2h0LWZvcndhcmRlcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
LankaWeb – Gautama Buddha the Unique Psychotherapist,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lmxhbmthd2ViLmNvbS9uZXdzL2l0ZW1zLzIwMTcvMDEvMTIvZ2F1dGFtYS1idWRkaGEtdGhlLXVuaXF1ZS1wc3ljaG90aGVyYXBpc3QtMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
How GDSN technology helps supply chains communicate,2017-02-22 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9nZHNuLWRhdGEtcG9vbC1zdXBwbGllci1yZXRhaWxlci1jb21tdW5pY2F0aW9uLzQzNjU5Ny_SAQA?hl=en-US&gl=US&ceid=US%3Aen
What supply chains can learn from Waffle House,2017-02-24 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy93YWZmbGUtaG91c2UtaW5kZXgtaHVycmljYW5lLXN1cHBseS1jaGFpbi1uYXR1cmFsLWRpc2FzdGVyLzQzNTY1OS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
FedEx targets SMB sellers — and Amazon — with inventory storage ...,2017-02-07 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvZmVkZXgtdGFyZ2V0cy1zbWItc2VsbGVycy1hbmQtYW1hem9uLXdpdGgtaW52ZW50b3J5LXN0b3JhZ2UtYW5kLWZ1bGZpbGwvNDM1NjcxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Lands' End writing down Canvas line, impairing its brand",2017-02-09 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvbGFuZHMtZW5kLXdyaXRpbmctZG93bi1jYW52YXMtbGluZS1pbXBhaXJpbmctaXRzLWJyYW5kLzQzNTg1NS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"China spent $1.5B to bring Apple production offshore, will US cities ...",2017-02-21 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9jaGluYS1vZmZzaG9yaW5nLXJlc2hvcmluZy1VUy1pbmNlbnRpdmVzLWNpdGllcy80MzY1MTcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ralph Lauren taps its first CMO,2017-02-17 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvcmFscGgtbGF1cmVuLXRhcHMtaXRzLWZpcnN0LWNtby80MzY0NTMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
UT court certifies class-action lawsuit against C.R. England,2017-02-06 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9DUi1FbmdsYW5kLWNsYXNzLWFjdGlvbi1sYXdzdWl0LWNvbnRyYWN0b3ItY2xhc3NpZmljYXRpb24vNDM1NDk1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The hidden supply chain behind Valentine's Day flowers,2017-02-14 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9mbG93ZXItc3VwcGx5LWNoYWluLVZhbGVudGluZXMtRGF5LzQzNjE0MC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Foghat still bringing the rock, playing the Palace",2017-02-08 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vYXJjaGl2ZS50cmlibGl2ZS5jb20vYWFuZGUvbXVzaWMvZm9naGF0LXN0aWxsLWJyaW5naW5nLXRoZS1yb2NrLXBsYXlpbmctdGhlLXBhbGFjZS0yL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Is Belief in a “Historical Adam” an Essential Christian Belief?,2017-02-07 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnBhdGhlb3MuY29tL2Jsb2dzL3JvZ2VyZW9sc29uLzIwMTcvMDIvYmVsaWVmLWhpc3RvcmljYWwtYWRhbS1lc3NlbnRpYWwtY2hyaXN0aWFuLWJlbGllZi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Wal-Mart abandons plans for Merced, CA warehouse, blames e ...",2017-03-20 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9XYWxNYXJ0LU1lcmNlZC1EQy1mdWxmaWxsbWVudC1vbW5pY2hhbm5lbC1oeWJyaWQvNDM4NDExL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Uniqlo strives for higher sustainability model after controversy,2017-03-08 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy91bmlxbG8tZXRoaWNhbC1zb3VyY2luZy1zdXN0YWluYWJpbGl0eS1yZXBvcnQvNDM3NjAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Instacart adds $400M in Series D, plans expansion to 25 new markets",2017-03-08 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvaW5zdGFjYXJ0LWFkZHMtNDAwbS1pbi1zZXJpZXMtZC1wbGFucy1leHBhbnNpb24tdG8tMjUtbmV3LW1hcmtldHMvNDM3NzA2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Report: Why Merck & Co. turned to supply chain integration to save ...,2017-03-03 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9tZXJjay1jby1zdXBwbHktZGVtYW5kLXBsYW5uaW5nLW1hbnVmYWN0dXJpbmctaW50ZWdyYXRpb24vNDM2NDk2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Kellogg's sustainability director highlights importance of ...,2017-03-17 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9LZWxsb2dncy1zdXN0YWluYWJpbGl0eS1wcm9jdXJlbWVudC1nb2Fscy1zdXBwbHktY2hhaW4vNDM4Mjk4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Apple pledges to treat Congolese cobalt as a conflict mineral amid ...,2017-03-08 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9hcHBsZS1jb2JhbHQtc291cmNpbmctY29uZmxpY3QtbWluZXJhbHMtZG9kZC1mcmFuay80Mzc2MTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Philosopher Daniel Dennett on AI, robots and religion",2017-03-02 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50Lzk2MTg3YTdhLWZjZTUtMTFlNi05NmY4LTM3MDBjNTY2NGQzMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
An evaluation of exact matching and propensity score methods as ...,2017-03-22 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5kb3ZlcHJlc3MuY29tL2FuLWV2YWx1YXRpb24tb2YtZXhhY3QtbWF0Y2hpbmctYW5kLXByb3BlbnNpdHktc2NvcmUtbWV0aG9kcy1hcy1hcHBsaWUtcGVlci1yZXZpZXdlZC1mdWxsdGV4dC1hcnRpY2xlLVBPUtIBAA?hl=en-US&gl=US&ceid=US%3Aen
What the octopus tells us about human intelligence,2017-03-13 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50Lzk5NDljOWE2LTA0YjUtMTFlNy1hYTViLTZiYjA3ZjVjOGUxMtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Warren Buffett Reveals Longstanding Love of Chinese Suit Maker,2017-03-01 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3dkLmNvbS9mZWF0dXJlL3dhcnJlbi1idWZmZXQtY2hpbmVzZS1zdWl0cy1kYWxpYW4tZGF5YW5nLXRyYW5kcy0xMDgyNTczNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
CogitoHub's Value Proposition That Is A Cognitive Step In The ...,2017-03-27 00:00:00,https://news.google.com/./articles/CBMiH2h0dHBzOi8vdGVjaHN0b3J5LmluL2NvZ2l0b2h1Yi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
New crane to boost productivity at ABP's Port of Garston supplied by ...,2017-03-02 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vbWh3bWFnYXppbmUuY28udWsvbmV3LWNyYW5lLXRvLWJvb3N0LXByb2R1Y3Rpdml0eS1hdC1hYnBzLXBvcnQtb2YtZ2Fyc3Rvbi1zdXBwbGllZC1ieS1jb29wZXItc3BlY2lhbGlzZWQtaGFuZGxpbmcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Mercedes-Benz Unimog conquer ice and fire in Cumbria,2017-03-17 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vbWh3bWFnYXppbmUuY28udWsvbWVyY2VkZXMtYmVuei11bmltb2ctY29ucXVlci1pY2UtYW5kLWZpcmUtaW4tY3VtYnJpYS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ford's new closed-loop systems help it recycle 23% more aluminum ...,2017-04-26 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9mb3Jkcy1uZXctY2xvc2VkLWxvb3Atc3lzdGVtcy1oZWxwLWl0LXJlY3ljbGUtMjMtbW9yZS1hbHVtaW51bS1pbnRvLWl0cy10LzQ0MTEyNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Chicago's Englewood neighborhood bears the brunt of Norfolk ...,2017-04-27 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9Ob3Jmb2xrLVNvdXRoZXJuLUNoaWNhZ28tZXhwYW5zaW9uLXJhaWwteWFyZC1pbmZyYXN0cnVjdHVyZS80NDEzNDMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
The supply chain curriculum: How universities are preparing the ...,2017-04-18 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9zdXBwbHktY2hhaW4tZWR1Y2F0aW9uLWN1cnJpY3VsdW0tdGFsZW50LWNyaXNpcy80NDAzOTQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Coach taps ex-Bergdorf chief Schulman to lead flagship brand,2017-04-06 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvY29hY2gtdGFwcy1leC1iZXJnZG9yZi1jaGllZi1zY2h1bG1hbi10by1sZWFkLWZsYWdzaGlwLWJyYW5kLzQzOTkwOS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Moody's: Retail industry stable despite weaknesses, but profits will ...",2017-04-26 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvbW9vZHlzLXJldGFpbC1pbmR1c3RyeS1zdGFibGUtZGVzcGl0ZS13ZWFrbmVzc2VzLWJ1dC1wcm9maXRzLXdpbGwtYmUtbGVhLzQ0MTMxMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Gucci, Farfetch partner for on-demand delivery of luxury goods",2017-04-12 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvZ3VjY2ktZmFyZmV0Y2gtcGFydG5lci1mb3Itb24tZGVtYW5kLWRlbGl2ZXJ5LW9mLWx1eHVyeS1nb29kcy80NDA0MDQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Metals and Mining Industry Software,2017-04-03 00:00:00,https://news.google.com/./articles/CBMiKmh0dHBzOi8vd3d3LnNhcC5jb20vaW5kdXN0cmllcy9taW5pbmcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Zink Magazine Relaunches Under Ex-Essence Editor Constance ...,2017-04-20 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3dkLmNvbS9idXNpbmVzcy1uZXdzL21lZGlhL3ppbmstbWFnYXppbmUtcmVsYXVuY2hlcy13aXRoLWNvbnN0YW5jZS13aGl0ZS1hdC10aGUtaGVsbS0xMDg3MDI0Ny_SAQA?hl=en-US&gl=US&ceid=US%3Aen
New DAF XFs delivering ‘brilliant’ AdBlue usage for Arthur Oakley ...,2017-04-11 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vbWh3bWFnYXppbmUuY28udWsvbmV3LWRhZi14ZnMtZGVsaXZlcmluZy1icmlsbGlhbnQtYWRibHVlLXVzYWdlLWZvci1hcnRodXItb2FrbGV5LXRyYW5zcG9ydC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Why is the last mile so inefficient?,2017-05-22 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9sYXN0LW1pbGUtc3BvdGxpZ2h0LWluZWZmaWNpZW50LXBlcmZlY3QtZGVsaXZlcnkvNDQzMDg5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Fortune 500 companies are using 3PLs more, study finds",2017-05-30 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy90aGlyZC1wYXJ0eS1sb2dpc3RpY3MtM3BsLWluY3JlYXNlLWxhcmdlLWNvbXBhbmllcy0yMDE3LzQ0MzcxMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
9 trends in last-mile delivery,2017-05-22 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9sYXN0LW1pbGUtc3BvdGxpZ2h0LXRyZW5kcy10ZWNoLWdpZy1wZXJmZWN0LzQ0MzA5MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Wal-Mart's IoT patent takes aim at Amazon Dash,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3Mvd2FsLW1hcnRzLWlvdC1wYXRlbnQtdGFrZXMtYWltLWF0LWFtYXpvbi1kYXNoLzQ0MjA3MC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Camping World snaps up bankrupt Gander Mountain,2017-05-01 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvY2FtcGluZy13b3JsZC1zbmFwcy11cC1iYW5rcnVwdC1nYW5kZXItbW91bnRhaW4vNDQxNjI4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Report: Wal-Mart remodeling hundreds of stores to ease in-store ...,2017-05-25 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvcmVwb3J0LXdhbC1tYXJ0LXJlbW9kZWxpbmctaHVuZHJlZHMtb2Ytc3RvcmVzLXRvLWVhc2UtaW4tc3RvcmUtcGlja3VwLzQ0MzUzNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Cabela's founder fights to preserve headquarters,2017-05-30 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvY2FiZWxhcy1mb3VuZGVyLWZpZ2h0cy10by1wcmVzZXJ2ZS1oZWFkcXVhcnRlcnMvNDQzNzc2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Bon-Ton Stores taps COO to replace CEO,2017-05-10 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvYm9uLXRvbi1zdG9yZXMtdGFwcy1jb28tdG8tcmVwbGFjZS1jZW8vNDQyMzkyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Out of patience, Starboard Value exits Macy's",2017-05-15 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3Mvb3V0LW9mLXBhdGllbmNlLXN0YXJib2FyZC12YWx1ZS1leGl0cy1tYWN5cy80NDI2OTYv0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo: Better Than Coca-Cola At Everything (Almost) (NASDAQ ...,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjk2MjctcGVwc2ljby1iZXR0ZXItY29jYS1jb2xhLWV2ZXJ5dGhpbmctYWxtb3N00gEA?hl=en-US&gl=US&ceid=US%3Aen
Canadian Stocks Are Dipping In Early Trade - Canadian Commentary,2017-05-26 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL21hcmtldHMuYnVzaW5lc3NpbnNpZGVyLmNvbS9uZXdzL3N0b2Nrcy9jYW5hZGlhbi1zdG9ja3MtYXJlLWRpcHBpbmctaW4tZWFybHktdHJhZGUtY2FuYWRpYW4tY29tbWVudGFyeS0xMDAyMDQ1NTQ2P21pUmVkaXJlY3RzPTLSAQA?hl=en-US&gl=US&ceid=US%3Aen
A classic quantum test could reveal the limits of the human mind,2017-05-19 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS8yMTMxODc0LWEtY2xhc3NpYy1xdWFudHVtLXRlc3QtY291bGQtcmV2ZWFsLXRoZS1saW1pdHMtb2YtdGhlLWh1bWFuLW1pbmQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
