title,datetime,link
A Fresh Look at the Cold-Vault Consumer,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vY3NwZGFpbHluZXdzLmNvbS9jc3AtbWFnYXppbmUvZnJlc2gtbG9vay1jb2xkLXZhdWx0LWNvbnN1bWVy0gFIaHR0cHM6Ly9jc3BkYWlseW5ld3MuY29tL2FtcC9jc3AtbWFnYXppbmUvZnJlc2gtbG9vay1jb2xkLXZhdWx0LWNvbnN1bWVy?hl=en-US&gl=US&ceid=US%3Aen
Hint Water hit with 'all-natural' lawsuit over propylene glycol,2017-01-23 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmZvb2RuYXZpZ2F0b3ItdXNhLmNvbS9BcnRpY2xlLzIwMTcvMDEvMjAvSGludC1XYXRlci1oaXQtd2l0aC1hbGwtbmF0dXJhbC1sYXdzdWl0LW92ZXItcHJvcHlsZW5lLWdseWNvbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Maui Soda & Ice Works' growth looks sustainable,2017-01-22 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm1hdWluZXdzLmNvbS9uZXdzL2xvY2FsLW5ld3MvMjAxNy8wMS9tYXVpLXNvZGEtaWNlLXdvcmtzLWdyb3d0aC1sb29rcy1zdXN0YWluYWJsZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
DGX: A Look at Dollar General's New 'C-Store',2017-01-27 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmNzcGRhaWx5bmV3cy5jb20vZ2VuZXJhbC1tZXJjaGFuZGlzZS9kZ3gtbG9vay1kb2xsYXItZ2VuZXJhbHMtbmV3LWMtc3RvcmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Robert Hulseman, creator of Solo cup favored by partygoers, dies at ...",2017-01-03 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmF0aW9uYWwvcm9iZXJ0LWh1bHNlbWFuLWNyZWF0b3Itb2Ytc29sby1jdXAtZmF2b3JlZC1ieS1wYXJ0eWdvZXJzLWRpZXMtYXQtODQvMjAxNy8wMS8wMy82NmMwOTQ0YS1jZWNhLTExZTYtYjhhMi04YzJhNjFiMDQzNmZfc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"CPD Energy, ExxonMobil Donate to SUNY New Paltz Foundation",2017-01-23 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vY3N0b3JlZGVjaXNpb25zLmNvbS8yMDE3LzAxLzIzL2NwZC1lbmVyZ3ktZXh4b25tb2JpbC1kb25hdGUtc3VueS1uZXctcGFsdHotZm91bmRhdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
The next anchor at your mall could be a food hall,2017-01-29 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90aGUtbmV4dC1hbmNob3ItYXQteW91ci1tYWxsLWNvdWxkLWJlLWEtZm9vZC1oYWxsLTIwMTctMDEtMjTSAWJodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L3RoZS1uZXh0LWFuY2hvci1hdC15b3VyLW1hbGwtY291bGQtYmUtYS1mb29kLWhhbGwtMjAxNy0wMS0yNA?hl=en-US&gl=US&ceid=US%3Aen
Star link to Coast drink’s US launch,2017-01-13 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vZ29sZGNvYXN0YnVsbGV0aW4uY29tLmF1L2J1c2luZXNzL2NvYXN0LWRyaW5rLWhhcy1yb2NreS1saW5rLXRvLXVzLWxhdW5jaC9uZXdzLXN0b3J5LzdmNjJkMmIxZDQwMzQ3YTYzZmI0YjljOWVhZTA0ZmM10gGFAWh0dHBzOi8vd3d3LmdvbGRjb2FzdGJ1bGxldGluLmNvbS5hdS9idXNpbmVzcy9jb2FzdC1kcmluay1oYXMtcm9ja3ktbGluay10by11cy1sYXVuY2gvbmV3cy1zdG9yeS83ZjYyZDJiMWQ0MDM0N2E2M2ZiNGI5YzllYWUwNGZjNT9hbXA?hl=en-US&gl=US&ceid=US%3Aen
OPINION: Don't Like the Soda Tax? Drink Water!,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnBoaWxseW1hZy5jb20vbmV3cy8yMDE3LzAxLzA0L3NvZGEtdGF4LWNvbXBsYWludHMtcGhpbGFkZWxwaGlhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Punching the Meal Ticket: Local Option Meals Taxes in the States,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vdGF4Zm91bmRhdGlvbi5vcmcvcHVuY2hpbmctbWVhbC10aWNrZXQtbG9jYWwtb3B0aW9uLW1lYWxzLXRheGVzLXN0YXRlcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Yummy birthday freebies you won't want to miss,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm5ld3NjaGFubmVsNS5jb20vbmV3cy9uYXRpb25hbC95dW1teS1iaXJ0aGRheS1mcmVlYmllcy15b3UtZG9udC13YW50LXRvLW1pc3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
McDonald's confronts falling customer counts,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lm5ybi5jb20vY29uc3VtZXItdHJlbmRzL21jZG9uYWxkLXMtY29uZnJvbnRzLWZhbGxpbmctY3VzdG9tZXItY291bnRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Who Could Buy Speedway?,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vY3NwZGFpbHluZXdzLmNvbS9tZXJnZXJzLWFjcXVpc2l0aW9ucy93aG8tY291bGQtYnV5LXNwZWVkd2F50gEA?hl=en-US&gl=US&ceid=US%3Aen
The Craftsman Restaurant and Bar changing ownership ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS90d2luY2l0aWVzL25ld3MvMjAxNy8wMS8xMS90aGUtY3JhZnRzbWFuLXJlc3RhdXJhbnQtYW5kLWJhci1jaGFuZ2luZy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Broadmoor hires prestigious chef to oversee property restaurants,2017-01-25 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL2dhemV0dGUuY29tL2Zvb2QvdGhlLWJyb2FkbW9vci1oaXJlcy1wcmVzdGlnaW91cy1jaGVmLXRvLW92ZXJzZWUtcHJvcGVydHktcmVzdGF1cmFudHMvYXJ0aWNsZV9lNGE5MDRlNS0yZWNiLTU1OWMtOWExYS05NTQ0NjBiNjY4MjUuaHRtbNIBkwFodHRwczovL2dhemV0dGUuY29tL2Zvb2QvdGhlLWJyb2FkbW9vci1oaXJlcy1wcmVzdGlnaW91cy1jaGVmLXRvLW92ZXJzZWUtcHJvcGVydHktcmVzdGF1cmFudHMvYXJ0aWNsZV9lNGE5MDRlNS0yZWNiLTU1OWMtOWExYS05NTQ0NjBiNjY4MjUuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Coleman execs again leaving Colorado; Wichita plant safe,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3LmthbnNhcy5jb20vbmV3cy9idXNpbmVzcy9hcnRpY2xlMTI0MjY2Mzk5Lmh0bWzSATpodHRwczovL2FtcC5rYW5zYXMuY29tL25ld3MvYnVzaW5lc3MvYXJ0aWNsZTEyNDI2NjM5OS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
7-Eleven Selects NEC as Exclusive POS Provider,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmNzcGRhaWx5bmV3cy5jb20vdGVjaG5vbG9neXNlcnZpY2VzLzctZWxldmVuLXNlbGVjdHMtbmVjLWV4Y2x1c2l2ZS1wb3MtcHJvdmlkZXLSAVtodHRwczovL2NzcGRhaWx5bmV3cy5jb20vYW1wL3RlY2hub2xvZ3lzZXJ2aWNlcy83LWVsZXZlbi1zZWxlY3RzLW5lYy1leGNsdXNpdmUtcG9zLXByb3ZpZGVy?hl=en-US&gl=US&ceid=US%3Aen
