title,datetime,link
Thinking Simply About Pharma Roll-Ups,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzg2MjktdGhpbmtpbmctc2ltcGx5LXBoYXJtYS1yb2xsLXVwc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"If CSL Limited CEO Paul Perreault sneezes, Australia gets a cold",2018-09-04 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm1tbS1vbmxpbmUuY29tL2hvbWUvY2hhbm5lbC9jb21tZXJjaWFsL2lmLWNzbC1saW1pdGVkLWNlby1wYXVsLXBlcnJlYXVsdC1zbmVlemVzLWF1c3RyYWxpYS1nZXRzLWEtY29sZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Off-Label Prescribing of Psychotropic Medication, 2005–2013: An ...",2017-01-17 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vcHMucHN5Y2hpYXRyeW9ubGluZS5vcmcvZG9pLzEwLjExNzYvYXBwaS5wcy4yMDE1MDA0ODLSAQA?hl=en-US&gl=US&ceid=US%3Aen
"""Home Depot"" Surgical Training Simulator",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vcnlvcnRoby5jb20vYnJlYWtpbmcvaG9tZS1kZXBvdC1zdXJnaWNhbC10cmFpbmluZy1zaW11bGF0b3Iv0gFIaHR0cHM6Ly9yeW9ydGhvLmNvbS9icmVha2luZy9ob21lLWRlcG90LXN1cmdpY2FsLXRyYWluaW5nLXNpbXVsYXRvci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Using Gene Drives to Limit the Spread of Malaria,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnRoZS1zY2llbnRpc3QuY29tL2ZlYXR1cmVzL3VzaW5nLWdlbmUtZHJpdmVzLXRvLWxpbWl0LXRoZS1zcHJlYWQtb2YtbWFsYXJpYS0zMjI4NtIBAA?hl=en-US&gl=US&ceid=US%3Aen
The cost-effectiveness of changes to the care pathway used to ...,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vYm1jaGVhbHRoc2VydnJlcy5iaW9tZWRjZW50cmFsLmNvbS9hcnRpY2xlcy8xMC4xMTg2L3MxMjkxMy0wMTctMjAwMy160gEA?hl=en-US&gl=US&ceid=US%3Aen
FDA Releases Draft Guidance On Drug And Device Manufacturer ...,2017-01-25 00:00:00,https://news.google.com/./articles/CBMi5wFodHRwczovL3d3dy5tb25kYXEuY29tL3VuaXRlZHN0YXRlcy9oZWFsdGhjYXJlLzU2MjgwOC9mZGEtcmVsZWFzZXMtZHJhZnQtZ3VpZGFuY2Utb24tZHJ1Zy1hbmQtZGV2aWNlLW1hbnVmYWN0dXJlci1jb21tdW5pY2F0aW9uLW9mLWhlYWx0aC1jYXJlLWVjb25vbWljLWluZm9ybWF0aW9uLXRvLXBheW9ycy1mb3JtdWxhcnktY29tbWl0dGVlcy1hbmQtc2ltaWxhci1lbnRpdGllcy11bmRlci1mZGFtYS0xMTTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Lawmakers warn EU pharma industry about drug pricing,2017-02-01 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmV1cmFjdGl2LmNvbS9zZWN0aW9uL2hlYWx0aC1jb25zdW1lcnMvbmV3cy9sYXdtYWtlcnMtd2Fybi1ldS1waGFybWEtaW5kdXN0cnktYWJvdXQtZHJ1Z3MtcHJpY2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Sarepta Sells Priority Review Voucher for $125M to Gilead,2017-02-21 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnJhcHMub3JnL3JlZ3VsYXRvcnktZm9jdXMlRTIlODQlQTIvbmV3cy1hcnRpY2xlcy8yMDE3LzIvc2FyZXB0YS1zZWxscy1wcmlvcml0eS1yZXZpZXctdm91Y2hlci1mb3ItJDEyNW0tdG8tZ2lsZWFk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Medical research: The vaccine chronicles,2017-02-09 00:00:00,https://news.google.com/./articles/CBMiJ2h0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvNTQyMTYzYdIBAA?hl=en-US&gl=US&ceid=US%3Aen
