title,datetime,link
"On Treasure Coast, Bank of America is biggest and Chase is fastest ...",2017-01-03 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LnRjcGFsbS5jb20vc3RvcnkvbmV3cy8yMDE3LzAxLzAzL3RyZWFzdXJlLWNvYXN0LWJhbmstZGVwb3NpdHMvOTYxMDQ1OTAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Grapevine banker eyed by Trump team for Fed's community banking seat,2017-01-20 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmRhbGxhc25ld3MuY29tL2J1c2luZXNzL2JhbmtpbmcvMjAxNy8wMS8yMC9ncmFwZXZpbmUtYmFua2VyLWV5ZWQtYnktdHJ1bXAtdGVhbS1mb3ItZmVkLXMtY29tbXVuaXR5LWJhbmtpbmctc2VhdC_SAYsBaHR0cHM6Ly93d3cuZGFsbGFzbmV3cy5jb20vYnVzaW5lc3MvYmFua2luZy8yMDE3LzAxLzIwL2dyYXBldmluZS1iYW5rZXItZXllZC1ieS10cnVtcC10ZWFtLWZvci1mZWQtcy1jb21tdW5pdHktYmFua2luZy1zZWF0Lz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen
Banks risk missing 2019 ringfence deadline,2017-01-08 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzNjZWY1MGU2LWQ0MmItMTFlNi1iMDZiLTY4MGM0OWI0YjRjMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
We chat with Wellesley resident and Needham Bank CEO Joe ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vdGhlc3dlbGxlc2xleXJlcG9ydC5jb20vMjAxNy8wMS93ZS1jaGF0LXdpdGgtd2VsbGVzbGV5LXJlc2lkZW50LWFuZC1uZWVkaGFtLWJhbmstY2VvLWpvZS1jYW1wYW5lbGxpL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Arlington Bank CEO out after merger, other personnel decisions ...",2017-01-25 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jb2x1bWJ1cy9uZXdzLzIwMTcvMDEvMjUvYXJsaW5ndG9uLWJhbmstY2VvLW91dC1hZnRlci1tZXJnZXItb3RoZXIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Boutique advisers maintain appeal despite big bank criticism,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzIzMjIxZmY4LWRlMmMtMTFlNi04NmFjLWYyNTNkYjc3OTFjNtIBAA?hl=en-US&gl=US&ceid=US%3Aen
How Deutsche Bank Made a $462 Million Loss Disappear,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTAxLTE5L2hvdy1kZXV0c2NoZS1iYW5rLW1hZGUtMzY3LW1pbGxpb24tZGlzYXBwZWFy0gEA?hl=en-US&gl=US&ceid=US%3Aen
"From the outskirts, banks are drawn to the city by real estate lending ...",2017-01-26 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waGlsYWRlbHBoaWEvbmV3cy8yMDE3LzAxLzI2L2Zyb20tdGhlLW91dHNraXJ0cy1iYW5rcy1hcmUtZHJhd24tdG8tdGhlLWNpdHktYnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Valero Energy Upgraded by Bank of America Merrill Lynch,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9uZXdzL3ZhbGVyby1lbmVyZ3ktdXBncmFkZWQtYmFuay1hbWVyaWNhLTE2MTY0MDA2My5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Wells Fargo Scandal Is a Bomb That Won't Stop Exploding,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnZhbml0eWZhaXIuY29tL25ld3MvMjAxNy8wMS90aGUtd2VsbHMtZmFyZ28tc2NhbmRhbC1pcy1hLWJvbWItdGhhdC13b250LXN0b3AtZXhwbG9kaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen
Robo-signing affair dogs Mnuchin before committee vote,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9zdG9yeS8yMDE3LzAxL3N0ZXZlbi1tbnVjaGluLXJvYm9zaWduaW5nLWJhbmtzLWxvYW5zLTIzNDM5MdIBXmh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9zdG9yeS8yMDE3LzAxL3N0ZXZlbi1tbnVjaGluLXJvYm9zaWduaW5nLWJhbmtzLWxvYW5zLTIzNDM5MT9fYW1wPXRydWU?hl=en-US&gl=US&ceid=US%3Aen
Old Ironton-Russell Bridge coming down | News | dailyindependent ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmRhaWx5aW5kZXBlbmRlbnQuY29tL25ld3Mvb2xkLWlyb250b24tcnVzc2VsbC1icmlkZ2UtY29taW5nLWRvd24vYXJ0aWNsZV83Y2UyNGZkNC1lMWIyLTExZTYtYjhkMS03Zjg3ZWEyNjY4OGEuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Inside the Financial Holdings of Billionaire Betsy DeVos,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmFtZXJpY2FucHJvZ3Jlc3Mub3JnL2FydGljbGUvaW5zaWRlLXRoZS1maW5hbmNpYWwtaG9sZGluZ3Mtb2YtYmlsbGlvbmFpcmUtYmV0c3ktZGV2b3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Homeless-Housing Pioneer Heads To Poughkeepsie,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vd3d3Lm5ld2hhdmVuaW5kZXBlbmRlbnQub3JnL2FydGljbGUvam9obl9icmFkbGV5X9IBAA?hl=en-US&gl=US&ceid=US%3Aen
A look back at some of the notable Jacksonville deaths of 2016,2022-01-09 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmphY2tzb252aWxsZS5jb20vc3RvcnkvbmV3cy8yMDE3LzAxLzEyL2xvb2stYmFjay1zb21lLW5vdGFibGUtamFja3NvbnZpbGxlLWRlYXRocy0yMDE2LzE1NzM4NzU3MDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
U.S. consumer agency sues Navient for 'failing' student loan borrowers,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvbmF2aWVudC11c2EtaWRVU0wxTjFGODFUM9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Mass. loses another independent drugmaker in $5.2b sale of Ariad,2017-01-09 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5ib3N0b25nbG9iZS5jb20vYnVzaW5lc3MvMjAxNy8wMS8wOS9hcmlhZC1waGFybWFjZXV0aWNhbHMtYWNxdWlyZWQtdGFrZWRhLWZvci1iaWxsaW9uLzVkWVZPNG9uNGFhaHlEOEFRSEVyME4vc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Embrace the Digital Mortgage as a Competitive Advantage,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS9uZXdzL2VtYnJhY2UtdGhlLWRpZ2l0YWwtbW9ydGdhZ2UtYXMtYS1jb21wZXRpdGl2ZS1hZHZhbnRhZ2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
