title,datetime,link
Snapchat launches universal search to simplify navigation,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiMmh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMi9zbmFwY2hhdC1zZWFyY2gv0gE2aHR0cHM6Ly90ZWNoY3J1bmNoLmNvbS8yMDE3LzAxLzEyL3NuYXBjaGF0LXNlYXJjaC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"Snapchat’s big redesign, featuring universal search and more, just hit iOS",2017-01-23 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8yMy9zbmFwY2hhdHMtYmlnLXJlZGVzaWduLWZlYXR1cmluZy11bml2ZXJzYWwtc2VhcmNoLWFuZC1tb3JlLWp1c3QtaGl0LWlvcy_SAW5odHRwczovL3RlY2hjcnVuY2guY29tLzIwMTcvMDEvMjMvc25hcGNoYXRzLWJpZy1yZWRlc2lnbi1mZWF0dXJpbmctdW5pdmVyc2FsLXNlYXJjaC1hbmQtbW9yZS1qdXN0LWhpdC1pb3MvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Sevenhugs made a smart remote that's truly universal,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDE3LTAxLTAzLXNldmVuaHVncy1tYWRlLWEtc21hcnQtcmVtb3RlLXRoYXRzLXRydWx5LXVuaXZlcnNhbC5odG1s0gFgaHR0cHM6Ly93d3cuZW5nYWRnZXQuY29tL2FtcC8yMDE3LTAxLTAzLXNldmVuaHVncy1tYWRlLWEtc21hcnQtcmVtb3RlLXRoYXRzLXRydWx5LXVuaXZlcnNhbC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Intel Compute Card: A Universal Compute Form-Factor for Different ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmFuYW5kdGVjaC5jb20vc2hvdy8xMTAxOS9pbnRlbC1jb21wdXRlLWNhcmQtYS11bml2ZXJzYWwtY29tcHV0ZS1mb3JtZmFjdG9yLWZvci1kaWZmZXJlbnQta2luZHMtb2YtZGV2aWNlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Universal basic income is becoming an urgent necessity,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9jb21tZW50aXNmcmVlLzIwMTcvamFuLzEyL3VuaXZlcnNhbC1iYXNpYy1pbmNvbWUtZmlubGFuZC11a9IBV2h0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9jb21tZW50aXNmcmVlLzIwMTcvamFuLzEyL3VuaXZlcnNhbC1iYXNpYy1pbmNvbWUtZmlubGFuZC11aw?hl=en-US&gl=US&ceid=US%3Aen
No More Flu Shot? Search Begins for Universal Influenza Vaccine,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS81NzQ3OS1zZWFyY2gtZm9yLXVuaXZlcnNhbC1mbHUtdmFjY2luZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jaeger-LeCoultre Geophysic Tourbillon Universal Time Watch,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmFibG9ndG93YXRjaC5jb20vamFlZ2VyLWxlY291bHRyZS1nZW9waHlzaWMtdG91cmJpbGxvbi11bml2ZXJzYWwtdGltZS13YXRjaC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Green Bay pet food company wins award,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmdyZWVuYmF5cHJlc3NnYXpldHRlLmNvbS9zdG9yeS9tb25leS8yMDE3LzAxLzIwL3N1bmRheS1jb2x1bW4tdml0YWwtZXNzZW50aWFscy85NjcyODI1Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
This Hollywood Titan Foresaw the Horrors of Nazi Germany,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnNtaXRoc29uaWFubWFnLmNvbS9hcnRzLWN1bHR1cmUvdGhpcy1ob2xseXdvb2QtdGl0YW4tZm9yZXNhdy1ob3Jyb3JzLW5hemktZ2VybWFueS0xODA5NjE4Mjgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Race to install platform doors as need for universal design grows ...,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vbWFpbmljaGkuanAvZW5nbGlzaC9hcnRpY2xlcy8yMDE3MDEwMi9wMmEvMDBtLzBuYS8wMTEwMDBj0gEA?hl=en-US&gl=US&ceid=US%3Aen
How WWE is Already Destroying the Universal Championship,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vY3VsdHVyZWR2dWx0dXJlcy5jb20vd3dlLWRlc3Ryb3lpbmctdW5pdmVyc2FsLWNoYW1waW9uc2hpcC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Nashville to star in new planetarium display,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnRlbm5lc3NlYW4uY29tL3N0b3J5L25ld3MvMjAxNy8wMS8xOS9uYXNodmlsbGUtc3Rhci1uZXctcGxhbmV0YXJpdW0tZGlzcGxheS85Njc4NzA3Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Uber Driver Accused of Beating a Cherry Hill Man Unconscious,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnBoaWxseW1hZy5jb20vbmV3cy8yMDE3LzAxLzA2L3ViZXItbGF3c3VpdC1qb3NlcGgtZnVzY28v0gEA?hl=en-US&gl=US&ceid=US%3Aen
"LG: G6 to have unorthodox 1440 x 2880 pixels display, heat piping ...",2017-01-19 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnBob25lYXJlbmEuY29tL25ld3MvTEctRzYtdG8taGF2ZS11bm9ydGhvZG94LTE0NDAteC0yODgwLXBpeGVscy1kaXNwbGF5LWhlYXQtcGlwZXMtYW5kLUFJLWFzc2lzdGFudF9pZDkwMTYx0gEA?hl=en-US&gl=US&ceid=US%3Aen
Steuben Glass returns home,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmRlbW9jcmF0YW5kY2hyb25pY2xlLmNvbS9zdG9yeS9tb25leS9idXNpbmVzcy8yMDE3LzAxLzA0L3N0ZXViZW4tZ2xhc3MtcmV0dXJucy1ob21lLzk2MTExNTU4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Big business of footwear on display at outdoor retail expo,2018-03-15 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lmxjc3VuLW5ld3MuY29tL3N0b3J5L25ld3MvMjAxNy8wMS8xMi9iaWctYnVzaW5lc3MtZm9vdHdlYXItZGlzcGxheS1vdXRkb29yLXJldGFpbC1leHBvLzk2NTE4MTM4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Astropad Studio turns the iPad Pro into a pro drawing tablet for Macs,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMS9hc3Ryb3BhZC1zdHVkaW8tdHVybnMtdGhlLWlwYWQtcHJvLWludG8tYS1wcm8tZHJhd2luZy10YWJsZXQtZm9yLW1hY3Mv0gFsaHR0cHM6Ly90ZWNoY3J1bmNoLmNvbS8yMDE3LzAxLzExL2FzdHJvcGFkLXN0dWRpby10dXJucy10aGUtaXBhZC1wcm8taW50by1hLXByby1kcmF3aW5nLXRhYmxldC1mb3ItbWFjcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
5 ways to upgrade your old car with new-car tech,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9tb25leS9jYXJzLzIwMTcvMDEvMTkvNS13YXlzLXVwZ3JhZGUteW91ci1vbGQtY2FyLW5ldy1jYXItdGVjaC85Njc2ODQzMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Why Tilikum, SeaWorld's Killer Orca, Was Infamous",2017-01-06 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm5hdGlvbmFsZ2VvZ3JhcGhpYy5jb20vYW5pbWFscy9hcnRpY2xlL3RpbGlrdW0tc2Vhd29ybGQtb3JjYS1raWxsZXItd2hhbGUtZGllc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Polk Signa S1 Universal TV Sound Bar and Wireless Subwoofer ...,2017-01-14 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmF1ZGlvaG9saWNzLmNvbS9zb3VuZGJhci1hbmQtc2F0ZWxsaXRlLXNwZWFrZXItcmV2aWV3cy9wb2xrLXNpZ25hLXMx0gEA?hl=en-US&gl=US&ceid=US%3Aen
Wands at the ready: Thousands celebrate annual Harry Potter event ...,2017-01-28 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vdHJhdmVsL2F0dHJhY3Rpb25zL3VuaXZlcnNhbC1vcmxhbmRvL29zLXVuaXZlcnNhbC1oYXJyeS1wb3R0ZXItY2VsZWJyYXRpb24tMjAxNy1zdG9yeS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Finland trials basic income for unemployed,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDE3L2phbi8wMy9maW5sYW5kLXRyaWFscy1iYXNpYy1pbmNvbWUtZm9yLXVuZW1wbG95ZWTSAVhodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vd29ybGQvMjAxNy9qYW4vMDMvZmlubGFuZC10cmlhbHMtYmFzaWMtaW5jb21lLWZvci11bmVtcGxveWVk?hl=en-US&gl=US&ceid=US%3Aen
