title,datetime,link
Top 10 Hot Artificial Intelligence (AI) Technologies,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ2lscHJlc3MvMjAxNy8wMS8yMy90b3AtMTAtaG90LWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFpLXRlY2hub2xvZ2llcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Banking Customer Satisfaction Barometer Inches Up,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmNybWJ1eWVyLmNvbS9zdG9yeS9iYW5raW5nLWN1c3RvbWVyLXNhdGlzZmFjdGlvbi1iYXJvbWV0ZXItaW5jaGVzLXVwLTg0MjYwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Swiggy launches its cloud kitchen- ‘The Bowl Company’,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmNpb2wuY29tL3N3aWdneS1sYXVuY2hlcy1pdHMtY2xvdWQta2l0Y2hlbi10aGUtYm93bC1jb21wYW55L9IBTGh0dHBzOi8vd3d3LmNpb2wuY29tL3N3aWdneS1sYXVuY2hlcy1pdHMtY2xvdWQta2l0Y2hlbi10aGUtYm93bC1jb21wYW55L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"Mozilla gets a makeover with new logo, font and more",2017-01-19 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmNpb2wuY29tL21vemlsbGEtZ2V0cy1hLW1ha2VvdmVyLXdpdGgtbmV3LWxvZ28tZm9udC1hbmQtbW9yZS_SAU1odHRwczovL3d3dy5jaW9sLmNvbS9tb3ppbGxhLWdldHMtYS1tYWtlb3Zlci13aXRoLW5ldy1sb2dvLWZvbnQtYW5kLW1vcmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
NetApp opens global CoE in Bangalore; announces accelerator for data management startups,2017-01-19 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNpb2wuY29tL25ldGFwcC1vcGVucy1nbG9iYWwtY29lLWluLWJhbmdhbG9yZS1hbm5vdW5jZXMtYWNjZWxlcmF0b3ItZm9yLWRhdGEtbWFuYWdlbWVudC1zdGFydHVwcy_SAXFodHRwczovL3d3dy5jaW9sLmNvbS9uZXRhcHAtb3BlbnMtZ2xvYmFsLWNvZS1pbi1iYW5nYWxvcmUtYW5ub3VuY2VzLWFjY2VsZXJhdG9yLWZvci1kYXRhLW1hbmFnZW1lbnQtc3RhcnR1cHMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
‘Rajakaluve’ tracker to check if your property on storm-water drains,2017-01-13 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmNpb2wuY29tL2lpbWItcmVyaS1sYXVuY2hlcy1yYWphLWthbHV2ZS1hbi1lbmNyb2FjaG1lbnQtdHJhY2tlci10by1maW5kLWRldGFpbHMtb24tc3Rvcm0td2F0ZXItZHJhaW5zL9IBdmh0dHBzOi8vd3d3LmNpb2wuY29tL2lpbWItcmVyaS1sYXVuY2hlcy1yYWphLWthbHV2ZS1hbi1lbmNyb2FjaG1lbnQtdHJhY2tlci10by1maW5kLWRldGFpbHMtb24tc3Rvcm0td2F0ZXItZHJhaW5zL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"Pegasystems, Hyderabad: That glocal feel for techies",2017-02-22 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbGlmZS1hbmQtc3R5bGUvaG9tZXMtYW5kLWdhcmRlbnMvcGVnYXN5c3RlbXMtaHlkZXJhYmFkLXRoYXQtZ2xvY2FsLWZlZWwtZm9yLXRlY2hpZXMvYXJ0aWNsZTE3MzQ2OTE2LmVjZdIBhQFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbGlmZS1hbmQtc3R5bGUvaG9tZXMtYW5kLWdhcmRlbnMvcGVnYXN5c3RlbXMtaHlkZXJhYmFkLXRoYXQtZ2xvY2FsLWZlZWwtZm9yLXRlY2hpZXMvYXJ0aWNsZTE3MzQ2OTE2LmVjZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"Turn Is Acquired by Amobee for $310M, More News",2017-02-24 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmNtc3dpcmUuY29tL2RpZ2l0YWwtZXhwZXJpZW5jZS90dXJuLWlzLWFjcXVpcmVkLWJ5LWFtb2JlZS1mb3ItMzEwbS1tb3JlLW5ld3Mv0gFdaHR0cHM6Ly93d3cuY21zd2lyZS5jb20vZGlnaXRhbC1leHBlcmllbmNlL3R1cm4taXMtYWNxdWlyZWQtYnktYW1vYmVlLWZvci0zMTBtLW1vcmUtbmV3cy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Meet The 'Fastest-Growing' $1 Billion Enterprise Software Firm,2017-02-21 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vcmVzZWFyY2gvdGhlLW5ldy1hbWVyaWNhL3NlcnZpY2Vub3ctc2FsZXNmb3JjZS1jb20tcHVzaC1zYWFzLWZyb250aWVyLWFzLXJpdmFscnktZ3Jvd3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
“Happiness is when you see hard work materialise”,2017-02-19 00:00:00,https://news.google.com/./articles/CBMikAFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9saWZlLXN0eWxlL2hlYWx0aC1maXRuZXNzL2RlLXN0cmVzcy9oYXBwaW5lc3MtaXMtd2hlbi15b3Utc2VlLWhhcmQtd29yay1tYXRlcmlhbGlzZS9hcnRpY2xlc2hvdy81NzE4MzA1MC5jbXPSAYsBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vbGlmZS1zdHlsZS9oZWFsdGgtZml0bmVzcy9kZS1zdHJlc3MvaGFwcGluZXNzLWlzLXdoZW4teW91LXNlZS1oYXJkLXdvcmstbWF0ZXJpYWxpc2UvYW1wX2FydGljbGVzaG93LzU3MTgzMDUwLmNtcw?hl=en-US&gl=US&ceid=US%3Aen
