title,datetime,link
Zoom video conferencing service raises $100 million from Sequoia on billion-dollar valuation,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xNy9zZXF1b2lhLWludmVzdHMtMTAwLW1pbGxpb24taW4tem9vbS12aWRlby1jb25mZXJlbmNpbmctc2VydmljZS_SAWVodHRwczovL3RlY2hjcnVuY2guY29tLzIwMTcvMDEvMTcvc2VxdW9pYS1pbnZlc3RzLTEwMC1taWxsaW9uLWluLXpvb20tdmlkZW8tY29uZmVyZW5jaW5nLXNlcnZpY2UvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
This new at-home fertility test lets you zoom in on your sperm,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiLmh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUveW8tZmVydGlsaXR5LXRlc3TSAQA?hl=en-US&gl=US&ceid=US%3Aen
Mumbai DRT sets stage for sale of Zoom Developers’ assets,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vd2VhbHRoL3JlYWwtZXN0YXRlL211bWJhaS1kcnQtc2V0cy1zdGFnZS1mb3Itc2FsZS1vZi16b29tLWRldmVsb3BlcnMtYXNzZXRzL2FydGljbGVzaG93LzU2MzYzNjEzLmNtc9IBhAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vd2VhbHRoL3JlYWwtZXN0YXRlL211bWJhaS1kcnQtc2V0cy1zdGFnZS1mb3Itc2FsZS1vZi16b29tLWRldmVsb3BlcnMtYXNzZXRzL2FtcF9hcnRpY2xlc2hvdy81NjM2MzYxMy5jbXM?hl=en-US&gl=US&ceid=US%3Aen
Everything You Need to Know About 5G,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvZXZlcnl0aGluZy15b3UtbmVlZC10by1rbm93LWFib3V0LTVn0gFNaHR0cHM6Ly9zcGVjdHJ1bS5pZWVlLm9yZy9hbXAvZXZlcnl0aGluZy15b3UtbmVlZC10by1rbm93LWFib3V0LTVnLTI2NTAyNzUyMTc?hl=en-US&gl=US&ceid=US%3Aen
Office 365 reigns supreme as most popular Aussie business app,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmFybm5ldC5jb20uYXUvYXJ0aWNsZS82MTMwNTMvd2hpY2gtYXBwcy1idXNpbmVzcy1jdXN0b21lcnMtdXNpbmctbW9zdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Firefox 51 released,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LmluZm93b3JsZC5jb20vYXJ0aWNsZS8zMTYxMTQ0L2ZpcmVmb3gtNTEtcmVsZWFzZWQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
How to Post a Job Listing in Bullhorn Staffing and Recruiting,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnBjbWFnLmNvbS9uZXdzL2hvdy10by1wb3N0LWEtam9iLWxpc3RpbmctaW4tYnVsbGhvcm4tc3RhZmZpbmctYW5kLXJlY3J1aXRpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen
10 common Google Chrome problems and how to fix them,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnBjd29ybGQuY29tL2FydGljbGUvNDExNzk3LzEwLWZydXN0cmF0aW5nLWdvb2dsZS1jaHJvbWUtaXJyaXRhdGlvbnMtYW5kLWhvdy10by1maXgtdGhlbS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Inkling Turned McDonald's and Starbucks Into Mobile Workforces,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnBjbWFnLmNvbS9uZXdzL2hvdy1pbmtsaW5nLXR1cm5lZC1tY2RvbmFsZHMtYW5kLXN0YXJidWNrcy1pbnRvLW1vYmlsZS13b3JrZm9yY2Vz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Don't Fall for This Sophisticated Gmail Phishing Scam,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnBjbWFnLmNvbS9uZXdzL2RvbnQtZmFsbC1mb3ItdGhpcy1zb3BoaXN0aWNhdGVkLWdtYWlsLXBoaXNoaW5nLXNjYW3SAQA?hl=en-US&gl=US&ceid=US%3Aen
'This is one device': Watch Steve Jobs introduce the original iPhone,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vbWFzaGFibGUuY29tL3ZpZGVvL3N0ZXZlLWpvYnMtaXBob25lLWV2ZW50LTIwMDfSAQA?hl=en-US&gl=US&ceid=US%3Aen
Australia's Set to Lose a New Electric Engine to Silicon Valley,2017-01-12 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTEyL3N5ZG5leS1zLWxvc3MtaXMtc2lsaWNvbi12YWxsZXktcy1nYWluLWFzLWF1c3RyYWxpYW5zLXNodW4tcmlza9IBAA?hl=en-US&gl=US&ceid=US%3Aen
CES: Looking Through Augmented Reality Glasses at Our ...,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnBjbWFnLmNvbS9uZXdzL2Nlcy1sb29raW5nLXRocm91Z2gtYXVnbWVudGVkLXJlYWxpdHktZ2xhc3Nlcy1hdC1vdXItZW50ZXJwcmlzZS1mdXR1cmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Brother HL-L6300DW Review,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3LnBjbWFnLmNvbS9yZXZpZXdzL2Jyb3RoZXItaGwtbDYzMDBkd9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Fleet of 12 Nuclear Submarines in Line for Pentagon Approval,2017-01-05 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTA1L25ldy1udWNsZWFyLWFybWVkLXN1YnMtd2luLXBlbnRhZ29uLWFwcHJvdmFsLWJlZm9yZS1vYmFtYS1sZWF2ZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
