title,datetime,link
Baker Hughes Announces Local Management Buyout of its Oilfield ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL2ludmVzdG9ycy5iYWtlcmh1Z2hlcy5jb20vbmV3cy1yZWxlYXNlcy9uZXdzLXJlbGVhc2UtZGV0YWlscy9iYWtlci1odWdoZXMtYW5ub3VuY2VzLWxvY2FsLW1hbmFnZW1lbnQtYnV5b3V0LWl0cy1vaWxmaWVsZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
'We're Listening:' NYC Officials Attend Bushwick Town Hall on ...,2022-08-02 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5ia3JlYWRlci5jb20vYXJ0cy1lbnRlcnRhaW5tZW50L3dlcmUtbGlzdGVuaW5nLW55Yy1vZmZpY2lhbHMtYXR0ZW5kLWJ1c2h3aWNrLXRvd24taGFsbC1vbi1sZ2J0cS1kaXNjcmltaW5hdGlvbi1pbi1uaWdodGxpZmUtNjU0OTQ3MNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Schlumberger Q2 2022 Earnings: A Positive Quarter (NYSE:SLB),2022-08-03 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjkxMzYtc2NobHVtYmVyZ2VyLWEtcG9zaXRpdmUtcXVhcnRlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"ICPAS SUMMIT22 - Aug. 23-24, 2022 - Rosemont, Illinois",2022-08-03 00:00:00,https://news.google.com/./articles/CBMilgFodHRwczovL3d3dy5jcGFwcmFjdGljZWFkdmlzb3IuY29tLzIwMjIvMDgvMDMvaWNwYXMtc3VtbWl0MjItcmV0dXJucy10by1yb3NlbW9udC1hcy1wcmVtaWVyLWNvbmZlcmVuY2UtZm9yLWFjY291bnRpbmctYW5kLWZpbmFuY2UtcHJvZmVzc2lvbmFscy82OTE5Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Honeywell Will Emerge Stronger From a Recession,2022-08-03 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzAzL2hvbmV5d2VsbC13aWxsLWVtZXJnZS1zdHJvbmdlci1mcm9tLWEtcmVjZXNzaW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
U.S. Politicians Bought These Oil & Gas Stocks. Should You?,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FydGljbGUvdS1zLXBvbGl0aWNpYW5zLWhhdmUtYm91Z2h0LXRoZXNlLTMtb2lsLWdhcy1zdG9ja3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
We are Waygate Technologies,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3LmJha2VyaHVnaGVzLmNvbS93YXlnYXRlLXRlY2hub2xvZ2llc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Ultrasonic Testing | Ultrasonic Testing of Materials,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmJha2VyaHVnaGVzLmNvbS93YXlnYXRlLXRlY2hub2xvZ2llcy91bHRyYXNvbmljLXRlc3RpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen
Eddy Current Testing | Waygate Technologies,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmJha2VyaHVnaGVzLmNvbS93YXlnYXRlLXRlY2hub2xvZ2llcy9lZGR5LWN1cnJlbnQtaW5zcGVjdGlvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Cartoons on road safety on display at Kelantan Art...,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vdGhlbWFsYXlzaWFucmVzZXJ2ZS5jb20vMjAyMi8wOC8wNC9jYXJ0b29ucy1vbi1yb2FkLXNhZmV0eS1vbi1kaXNwbGF5LWF0LWtlbGFudGFuLWFydC1nYWxsZXJ5L9IBamh0dHBzOi8vdGhlbWFsYXlzaWFucmVzZXJ2ZS5jb20vMjAyMi8wOC8wNC9jYXJ0b29ucy1vbi1yb2FkLXNhZmV0eS1vbi1kaXNwbGF5LWF0LWtlbGFudGFuLWFydC1nYWxsZXJ5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
