title,datetime,link
Datadog Stock: What You Need To Know Before Earnings ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjgzNTUtZGF0YWRvZy13aGF0LXlvdS1uZWVkLXRvLWtub3ctYmVmb3JlLXRoZS1lYXJuaW5ncy1vbi10aHVyc2RhedIBAA?hl=en-US&gl=US&ceid=US%3Aen
You'll Want to Watch This High-Growth Tech Stock This Week,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzAyL3lvdWxsLXdhbnQtdG8td2F0Y2gtdGhpcy1oaWdoLWdyb3d0aC10ZWNoLXN0b2NrLXRoL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
3 Humbled Nasdaq Stocks Ready to Bounce Back,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzAyLzMtaHVtYmxlZC1uYXNkYXEtc3RvY2tzLXJlYWR5LXRvLWJvdW5jZS1iYWNrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
RingCentral (NYSE:RNG) Is Making Moderate Use Of Debt,2022-08-02 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvc29mdHdhcmUvbnlzZS1ybmcvcmluZ2NlbnRyYWwvbmV3cy9yaW5nY2VudHJhbC1ueXNlcm5nLWlzLW1ha2luZy1tb2RlcmF0ZS11c2Utb2YtZGVidNIBeWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvc29mdHdhcmUvbnlzZS1ybmcvcmluZ2NlbnRyYWwvbmV3cy9yaW5nY2VudHJhbC1ueXNlcm5nLWlzLW1ha2luZy1tb2RlcmF0ZS11c2Utb2YtZGVidC9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Palantir Stock: Why Investors Need To Watch Out For Datawalk,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1Mjg2MTUtcGFsYW50aXItd2h5LWludmVzdG9ycy1uZWVkLXRvLXdhdGNoLW91dC1mb3ItZGF0YXdhbGvSAQA?hl=en-US&gl=US&ceid=US%3Aen
"FDN: More Realistic Valuations, Growth Prospects Trimmed",2022-08-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjkzNTYtZmRuLW1vcmUtcmVhbGlzdGljLXZhbHVhdGlvbnMtZ3Jvd3RoLXByb3NwZWN0cy10cmltbWVk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Datadog (DDOG) Q2 2022 Earnings Call Transcript,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMi8wOC8wNC9kYXRhZG9nLWRkb2ctcTItMjAyMi1lYXJuaW5ncy1jYWxsLXRyYW5zY3JpcHQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Datadog Falls As Software Maker Gives In-line Guidance,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2Rkb2ctc3RvY2stZGF0YWRvZy1zdG9jay1kYXRhZG9nLWVhcm5pbmdzLXEyMjAyMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Datadog Stock Q2 Earnings: Impressive, But Signs Of A Slowdown ...",2022-08-04 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1Mjk3NjktZGF0YWRvZy1xMi1lYXJuaW5ncy1pbXByZXNzaXZlLW9uY2UtYWdhaW4tYnV0LXNpZ25zLW9mLWEtc2xvd2Rvd27SAQA?hl=en-US&gl=US&ceid=US%3Aen
Why Is Datadog Stock Down After Earnings?,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2h5LWlzLWRhdGFkb2ctc3RvY2stZG93bi1hZnRlci1lYXJuaW5nc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dow Jones Futures: Apple Leads Risk-On Market Rally; Big ...,2022-08-04 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtYXBwbGUtbGVhZHMtcmlzay1vbi1tYXJrZXQtcmFsbHktNS1lYXJuaW5ncy1tb3ZlcnMtbmVhci1idXktcG9pbnRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Datadog buys Israeli API observability co Seekret,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vZW4uZ2xvYmVzLmNvLmlsL2VuL2FydGljbGUtZGF0YWRvZy1idXlzLWlzcmFlbGktYXBpLW9ic2VydmFiaWxpdHktY28tc2Vla3JldC0xMDAxNDIwNDk30gEA?hl=en-US&gl=US&ceid=US%3Aen
Daily Markets: Investors Face Down Hundreds of Earnings Reports Today,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZGFpbHktbWFya2V0cyUzQS1pbnZlc3RvcnMtZmFjZS1kb3duLWh1bmRyZWRzLW9mLWVhcm5pbmdzLXJlcG9ydHMtdG9kYXnSAWtodHRwczovL3d3dy5uYXNkYXEuY29tL2FydGljbGVzL2RhaWx5LW1hcmtldHMlM0EtaW52ZXN0b3JzLWZhY2UtZG93bi1odW5kcmVkcy1vZi1lYXJuaW5ncy1yZXBvcnRzLXRvZGF5P2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"What Cramer is watching Thursday – Eli Lilly confusion, AMD de ...",2022-08-04 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMDQvd2hhdC1jcmFtZXItaXMtd2F0Y2hpbmctdGh1cnNkYXktZWxpLWxpbGx5LWNvbmZ1c2lvbi1hbWQtZGUtcmlza3MtbHVjaWQtYWdhaW4tY3V0cy10YXJnZXRzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Datadog: Blockbuster Earnings,2022-08-05 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lmd1cnVmb2N1cy5jb20vbmV3cy8xODQzNTc4L2RhdGFkb2ctYmxvY2tidXN0ZXItZWFybmluZ3Mtd2l0aC1jbG91ZC10YWlsd2luZHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Coalition Appoints First Chief Financial Officer, General Counsel ...",2022-08-05 00:00:00,https://news.google.com/./articles/CBMi2gFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMi8wOC8wNS8yNDkzMjUyLzAvZW4vQ29hbGl0aW9uLUFwcG9pbnRzLUZpcnN0LUNoaWVmLUZpbmFuY2lhbC1PZmZpY2VyLUdlbmVyYWwtQ291bnNlbC1BZGRzLU5ldy1Cb2FyZC1NZW1iZXItdG8tU3VwcG9ydC1SYXBpZC1Db21wYW55LUdyb3d0aC1hbmQtSW50ZXJuYXRpb25hbC1FeHBhbnNpb24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Cloudflare Q2 Earnings: More Brilliance From Business (NYSE:NET),2022-08-05 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzAxNjQtY2xvdWRmbGFyZS1xMi1lYXJuaW5ncy1icmlsbGlhbmNlLWZyb20tYnVzaW5lc3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
Nasdaq Bear Market: 5 Fantastic Growth Stocks You'll Regret Not ...,2022-08-06 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzA2L25hc2RhcS1iZWFyLW1hcmtldC01LWdyb3d0aC1zdG9ja3MtcmVncmV0LW5vdC1idXkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Datadog Stock: Growth Continues To Impress Despite Challenges ...,2022-08-07 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzExMDItZGF0YWRvZy1ncm93dGgtY29udGludWVzLXRvLWltcHJlc3MtZGVzcGl0ZS1tYWNyby1jaGFsbGVuZ2Vz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Looking for a great hot dog, Lexington? 14 to grab from old-school to Chicago to gourmet",2022-08-08 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmtlbnR1Y2t5LmNvbS9sZXhnb2VhdC9yZXN0YXVyYW50cy9hcnRpY2xlMjYzNjg2NTYzLmh0bWzSAUNodHRwczovL2FtcC5rZW50dWNreS5jb20vbGV4Z29lYXQvcmVzdGF1cmFudHMvYXJ0aWNsZTI2MzY4NjU2My5odG1s?hl=en-US&gl=US&ceid=US%3Aen
7 Games Where Time Passes,2022-08-08 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vd3d3LnRoZWdhbWVyLmNvbS9nYW1lcy1kYXktYW5kLW5pZ2h0LWN5Y2xlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Is Datadog Stock a Buy Now?,2022-08-09 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzA5L2lzLWRhdGFkb2ctc3RvY2stYS1idXktbm93L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Project $1M Portfolio: 2022's First Half Has Been A Challenge,2022-08-09 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzE5MDYtcHJvamVjdC0xbS0yMDIyLWZpcnN0LWhhbGYtYmVlbi1jaGFsbGVuZ2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
1 Growth Stock You'll Regret Not Buying on the Dip,2022-08-09 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzA5LzEtZ3Jvd3RoLXN0b2NrLXlvdWxsLXJlZ3JldC1ub3QtYnV5aW5nLW9uLXRoZS1kaXAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
These stocks soared up to 12% after inflation cooled,2022-08-10 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90aGVzZS1zdG9ja3Mtc29hcmVkLXVwLXRvLTEyLWFmdGVyLWluZmxhdGlvbi1jb29sZWQtMTE2NjAxNjQ5ODTSAWVodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L3RoZXNlLXN0b2Nrcy1zb2FyZWQtdXAtdG8tMTItYWZ0ZXItaW5mbGF0aW9uLWNvb2xlZC0xMTY2MDE2NDk4NA?hl=en-US&gl=US&ceid=US%3Aen
Palantir: Attractive Below IPO Price At 9x EV/Sales (NYSE:PLTR),2022-08-11 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzMyNDctcGFsYW50aXItYXR0cmFjdGl2ZS1iZWxvdy1pcG8tcHJpY2UtYXQtOXgtZXZzYWxlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"For Cartrell Cooper, dog training is about people first",2022-08-12 00:00:00,https://news.google.com/./articles/CBMirAFodHRwczovL3d3dy5ob21ldG93bnNvdXJjZS5jb20vZWxrX3JpdmVyX3N0YXJfbmV3cy9zcG9ydHMvZWxrX3JpdmVyL2Zvci1jYXJ0cmVsbC1jb29wZXItZG9nLXRyYWluaW5nLWlzLWFib3V0LXBlb3BsZS1maXJzdC9hcnRpY2xlXzY0NWI5NjNhLTE5ODAtMTFlZC04Y2VlLTY3MGY1MmJkYmRkZC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
The 100-million-year origin story of laughter and humor,2022-08-12 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LndidXIub3JnL2VuZGxlc3N0aHJlYWQvMjAyMi8wOC8xMi9zdW1lci1qb2tlLXR3b9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Metal Gear Solid V: 9 Most Important Choices Players Make In The ...,2022-08-14 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vc2NyZWVucmFudC5jb20vbWV0YWwtZ2Vhci1zb2xpZC01LW1vc3QtaW1wb3J0YW50LWNob2ljZXMtcGxheWVycy1tYWtlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Why Tech Layoffs Aren't Panicking This Investor,2022-08-15 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzE1L3doeS10ZWNoLWxheW9mZnMtYXJlbnQtcGFuaWNraW5nLXRoaXMtaW52ZXN0b3Iv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Farmers Market Week spotlights what shopping local means in New ...,2022-08-15 00:00:00,https://news.google.com/./articles/CBMipgFodHRwczovL2hlcmFsZC16ZWl0dW5nLmNvbS9jb21tdW5pdHlfYWxlcnQvZmFybWVycy1tYXJrZXQtd2Vlay1zcG90bGlnaHRzLXdoYXQtc2hvcHBpbmctbG9jYWwtbWVhbnMtaW4tbmV3LWJyYXVuZmVscy9hcnRpY2xlX2YwZGQ3NWYwLTFjZGQtMTFlZC1iN2Y4LTVmMWJiYjg0M2I3Zi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Here’s what Datadog’s (NASDAQ:DDOG) lower Guidance Means for the Valuation,2022-08-16 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvc29mdHdhcmUvbmFzZGFxLWRkb2cvZGF0YWRvZy9uZXdzL2hlcmVzLXdoYXQtZGF0YWRvZ3MtbmFzZGFxZGRvZy1sb3dlci1ndWlkYW5jZS1tZWFucy1mb3ItdGhl0gGBAWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvc29mdHdhcmUvbmFzZGFxLWRkb2cvZGF0YWRvZy9uZXdzL2hlcmVzLXdoYXQtZGF0YWRvZ3MtbmFzZGFxZGRvZy1sb3dlci1ndWlkYW5jZS1tZWFucy1mb3ItdGhlL2FtcA?hl=en-US&gl=US&ceid=US%3Aen
2 ‘Strong Buy’ Stocks Goldman Sachs Predicts Will Surge Over 40%,2022-08-16 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy8yLXN0cm9uZy1idXktc3RvY2tzLWdvbGRtYW4tMjE1OTA4NDEzLmh0bWzSAVFodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy8yLXN0cm9uZy1idXktc3RvY2tzLWdvbGRtYW4tMjE1OTA4NDEzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Splunk: An Undervalued Softwar,2022-08-16 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lmd1cnVmb2N1cy5jb20vbmV3cy8xODUwMTUxL3NwbHVuay1hbi11bmRlcnZhbHVlZC1zb2Z0d2FyZS1jYXRlZ29yeS1sZWFkZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Datadog Extends Monitoring for Microsoft SQL Server and Microsoft ...,2022-08-16 00:00:00,https://news.google.com/./articles/CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2RhdGFkb2ctZXh0ZW5kcy1tb25pdG9yaW5nLWZvci1taWNyb3NvZnQtc3FsLXNlcnZlci1hbmQtbWljcm9zb2Z0LWF6dXJlLWRhdGFiYXNlLXBsYXRmb3Jtcy0zMDE2MDY5NDEuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Palm Capital Q2 2022 Investment Manager Commentary,2022-08-17 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzUzNTgtcGFsbS1jYXBpdGFsLXEyLTIwMjItaW52ZXN0bWVudC1tYW5hZ2VyLWNvbW1lbnRhcnnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Datadog Announces Return of Dash Conference to New York City,2022-08-18 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvZGF0YWRvZy1hbm5vdW5jZXMtcmV0dXJuLW9mLWRhc2gtY29uZmVyZW5jZS10by1uZXcteW9yay1jaXR5LTMwMTYwODYzMC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Why Palantir, Datadog, and C3.ai Plunged Today",2022-08-19 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzE5L3doeS1wYWxhbnRpci1kYXRhZG9nLWFuZC1jM2FpLXBsdW5nZWQtdG9kYXkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX Direxion Shares ETF Trus For: Jun 30,2022-08-19 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtEaXJleGlvbitTaGFyZXMrRVRGK1RydXMrRm9yJTNBK0p1biszMC8yMDQ4OTc0MC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Miami Police officer charged with DUI and cocaine possession amid internal probe apologizes after bonding out,2022-08-21 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3dzdm4uY29tL25ld3MvbG9jYWwvbWlhbWktZGFkZS9taWFtaS1wb2xpY2Utb2ZmaWNlci1jaGFyZ2VkLXdpdGgtZHVpLWFuZC1jb2NhaW5lLXBvc3Nlc3Npb24tYW1pZC1pbnRlcm5hbC1wcm9iZS1hcG9sb2dpemVzLWFmdGVyLWJvbmRpbmctb3V0L9IBmQFodHRwczovL3dzdm4uY29tL25ld3MvbG9jYWwvbWlhbWktZGFkZS9taWFtaS1wb2xpY2Utb2ZmaWNlci1jaGFyZ2VkLXdpdGgtZHVpLWFuZC1jb2NhaW5lLXBvc3Nlc3Npb24tYW1pZC1pbnRlcm5hbC1wcm9iZS1hcG9sb2dpemVzLWFmdGVyLWJvbmRpbmctb3V0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Veeva Systems Stock: A SaaS Company Without The Usual SaaS ...,2022-08-22 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzYwODQtdmVldmEtc3lzdGVtcy1zdG9jay1zYWFzLWNvbXBhbnktd2l0aG91dC11c3VhbC1zYWFzLXByb2JsZW1z0gEA?hl=en-US&gl=US&ceid=US%3Aen
Our Earnings Analysis Indicates that Zoom (NASDAQ:ZM) Investors may be Waiting for Some Time for a Recovery,2022-08-23 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL3VzL3NvZnR3YXJlL25hc2RhcS16bS96b29tLXZpZGVvLWNvbW11bmljYXRpb25zL25ld3Mvb3VyLWVhcm5pbmdzLWFuYWx5c2lzLWluZGljYXRlcy10aGF0LXpvb20tbmFzZGFxem0taW52ZXN0b3Jz0gGSAWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvc29mdHdhcmUvbmFzZGFxLXptL3pvb20tdmlkZW8tY29tbXVuaWNhdGlvbnMvbmV3cy9vdXItZWFybmluZ3MtYW5hbHlzaXMtaW5kaWNhdGVzLXRoYXQtem9vbS1uYXNkYXF6bS1pbnZlc3RvcnMvYW1w?hl=en-US&gl=US&ceid=US%3Aen
