title,datetime,link
Police catch couple accused of stealing $888 worth of goods from ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LndmbWouY29tL3N0b3J5LzQ3MDAzNTg3L3BvbGljZS1jYXRjaC1jb3VwbGUtYWNjdXNlZC1vZi1zdGVhbGluZy1kb2xsYXI4ODgtd29ydGgtb2YtZ29vZHMtZnJvbS1ib2FyZG1hbi1nZnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Why GlobalFoundries Rallied Today for the Second Day in a Row,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzAxL3doeS1nbG9iYWxmb3VuZHJpZXMtcmFsbGllZC10b2RheS1mb3ItdGhlLXNlY29uZC1kL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
By The Numbers: Anthony Pettis vs. Steven Ray,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnNoZXJkb2cuY29tL25ld3MvYXJ0aWNsZXMvQnktVGhlLU51bWJlcnMtQW50aG9ueS1QZXR0aXMtdnMtU3RldmVuLVJheS0xODc1NTTSAVxodHRwczovL3d3dy5zaGVyZG9nLmNvbS9uZXdzL2FydGljbGVzL0J5LVRoZS1OdW1iZXJzLUFudGhvbnktUGV0dGlzLXZzLVN0ZXZlbi1SYXktMTg3NTU0L2FtcA?hl=en-US&gl=US&ceid=US%3Aen
The Weather Authority: Nearly typical summer forecast,2022-08-01 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vYWJjMzM0MC5jb20vbmV3cy9sb2NhbC90aGUtd2VhdGhlci1hdXRob3JpdHktbmVhcmx5LXR5cGljYWwtc3VtbWVyLWZvcmVjYXN0LXJhaW4tc3Rvcm0tZmxvb2Qtd2luZC1zZXZlcmXSAXRodHRwczovL2FiYzMzNDAuY29tL2FtcC9uZXdzL2xvY2FsL3RoZS13ZWF0aGVyLWF1dGhvcml0eS1uZWFybHktdHlwaWNhbC1zdW1tZXItZm9yZWNhc3QtcmFpbi1zdG9ybS1mbG9vZC13aW5kLXNldmVyZQ?hl=en-US&gl=US&ceid=US%3Aen
"The Voice-Tribune, a St. Matthews news magazine, to close after ...",2022-08-01 00:00:00,https://news.google.com/./articles/CBMipAFodHRwczovL3d3dy53ZHJiLmNvbS9jb21tdW5pdHkvdGhlLXZvaWNlLXRyaWJ1bmUtYS1zdC1tYXR0aGV3cy1uZXdzLW1hZ2F6aW5lLXRvLWNsb3NlLWFmdGVyLWRlY2FkZXMtb2YtcHVibGljYXRpb24vYXJ0aWNsZV85OTZiNmYwZS0xMWQ3LTExZWQtYjIxMS1hM2FmNjUwMjM5MzIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Brand New Kid Venture Splash Pad & Playground Now Open in ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8va2lkZGluZ2Fyb3VuZGdyZWVudmlsbGUuY29tL2tpZC12ZW50dXJlLWFuZGVyc29u0gEA?hl=en-US&gl=US&ceid=US%3Aen
"KSP: 3 Elizabethtown men arrested, charged with murder in Hart ...",2022-08-01 00:00:00,https://news.google.com/./articles/CBMinQFodHRwczovL3d3dy53ZHJiLmNvbS9uZXdzL2NyaW1lLXJlcG9ydHMva3NwLTMtZWxpemFiZXRodG93bi1tZW4tYXJyZXN0ZWQtY2hhcmdlZC13aXRoLW11cmRlci1pbi1oYXJ0LWNvdW50eS9hcnRpY2xlX2E4YmRkZmU0LTExNDMtMTFlZC04YTQ1LTBmZDdhNDBmNTI3OS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ice cream trucks aren't a thing of the past — but competition is stiff,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZveDdhdXN0aW4uY29tL25ld3MvaWNlLWNyZWFtLXRydWNrcy1hcmVudC1hLXRoaW5nLW9mLXRoZS1wYXN0LWJ1dC1jb21wZXRpdGlvbi1pcy1zdGlmZtIBZ2h0dHBzOi8vd3d3LmZveDdhdXN0aW4uY29tL25ld3MvaWNlLWNyZWFtLXRydWNrcy1hcmVudC1hLXRoaW5nLW9mLXRoZS1wYXN0LWJ1dC1jb21wZXRpdGlvbi1pcy1zdGlmZi5hbXA?hl=en-US&gl=US&ceid=US%3Aen
What’s the deal with airline seats? FAA wants your input on size,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZveDdhdXN0aW4uY29tL25ld3Mvd2hhdHMtdGhlLWRlYWwtd2l0aC1haXJsaW5lLXNlYXRzLWZhYS13YW50cy15b3VyLWlucHV0LW9uLXNpemXSAWJodHRwczovL3d3dy5mb3g3YXVzdGluLmNvbS9uZXdzL3doYXRzLXRoZS1kZWFsLXdpdGgtYWlybGluZS1zZWF0cy1mYWEtd2FudHMteW91ci1pbnB1dC1vbi1zaXplLmFtcA?hl=en-US&gl=US&ceid=US%3Aen
Who is Shushila Devi? Indian judoka who won silver in 48kg event ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMikgFodHRwczovL3plZW5ld3MuaW5kaWEuY29tL3Bob3Rvcy9zcG9ydHMvd2hvLWlzLXNodXNoaWxhLWRldmktaW5kaWFuLWp1ZG9rYS13aG8td29uLXNpbHZlci1pbi00OGtnLWV2ZW50LWluLWNvbW1vbndlYWx0aC1nYW1lcy0yMDIyLWluLXBpY3MtMjQ5MjAyMdIBlgFodHRwczovL3plZW5ld3MuaW5kaWEuY29tL3Bob3Rvcy9zcG9ydHMvd2hvLWlzLXNodXNoaWxhLWRldmktaW5kaWFuLWp1ZG9rYS13aG8td29uLXNpbHZlci1pbi00OGtnLWV2ZW50LWluLWNvbW1vbndlYWx0aC1nYW1lcy0yMDIyLWluLXBpY3MtMjQ5MjAyMS9hbXA?hl=en-US&gl=US&ceid=US%3Aen
