title,datetime,link
Uber Q2 top line benefitting from higher online order volumes ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vbmV3cy8zODYzOTE1LXViZXItcTItdG9wLWxpbmUtYmVuZWZpdHRpbmctZnJvbS1oaWdoZXItb25saW5lLW9yZGVyLXZvbHVtZXMtYm90dG9tLWxpbmUtZGVudGVkLWJ5LXJpc2luZy1jb3N0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Chemical Engineering Student Awarded the 2022 FutureFuel ...,2022-08-02 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbmV3cy51YXJrLmVkdS9hcnRpY2xlcy82MDUyOC9jaGVtaWNhbC1lbmdpbmVlcmluZy1zdHVkZW50LWF3YXJkZWQtdGhlLTIwMjItZnV0dXJlZnVlbC1zY2hvbGFyc2hpcC1hd2FyZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Charini Urteaga Named Global Campus Employee of the Quarter,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vbmV3cy51YXJrLmVkdS9hcnRpY2xlcy82MDU0NS9jaGFyaW5pLXVydGVhZ2EtbmFtZWQtZ2xvYmFsLWNhbXB1cy1lbXBsb3llZS1vZi10aGUtcXVhcnRlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Collaborative Crush Test | University of Arkansas,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vbmV3cy51YXJrLmVkdS9hcnRpY2xlcy82MDU0Ni90aGUtY29sbGFib3JhdGl2ZS1jcnVzaC10ZXN00gEA?hl=en-US&gl=US&ceid=US%3Aen
Griffin Appointed Interim Associate Dean for Special Collections,2022-08-07 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vbmV3cy51YXJrLmVkdS9hcnRpY2xlcy82MDU2NC9ncmlmZmluLWFwcG9pbnRlZC1pbnRlcmltLWFzc29jaWF0ZS1kZWFuLWZvci1zcGVjaWFsLWNvbGxlY3Rpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen
Quarterly Financial Affairs Service and Innovation Award Goes to ...,2022-08-08 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vbmV3cy51YXJrLmVkdS9hcnRpY2xlcy82MDU2Ni9xdWFydGVybHktZmluYW5jaWFsLWFmZmFpcnMtc2VydmljZS1hbmQtaW5ub3ZhdGlvbi1hd2FyZC1nb2VzLXRvLWplcmVteS1iYXR0amVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"J.B. Hunt, University of Arkansas Collaboration Focuses on Future of ...",2022-08-11 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIyMDgxMTAwNTc1NS9lbi9KLkIuLUh1bnQtVW5pdmVyc2l0eS1vZi1BcmthbnNhcy1Db2xsYWJvcmF0aW9uLUZvY3VzZXMtb24tRnV0dXJlLW9mLVN1cHBseS1DaGFpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Li Auto and Didi Global are on the road to ending their ride-hailing ...,2022-08-11 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM4NzE0NTgtbGktYXV0by1hbmQtZGlkaS1nbG9iYWwtYXJlLW9uLXRoZS1yb2FkLXRvLWVuZGluZy10aGVpci1yaWRlLWhhaWxpbmctam9pbnQtdmVudHVyZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Highest Quality Dividend Growth Stocks In 2022,2022-08-11 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzI4OTQtdGhlLWhpZ2hlc3QtcXVhbGl0eS1kaXZpZGVuZC1ncm93dGgtc3RvY2tzLWluLTIwMjLSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Peloton to Cut 800 Jobs, Hike Prices and Shut Stores in Sweeping ...",2022-08-12 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA4LTEyL3BlbG90b24tcHRvbi10by1jdXQtam9icy1yYWlzZS1wcmljZXMtc2h1dC1zdG9yZXMtYW5kLW91dHNvdXJjZS1vcGVyYXRpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen
