title,datetime,link
Invesco SPHD ETF: Invest Like Warren Buffett? (NYSE:SPHD),2022-08-01 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjgxNzItc3BoZC1pbnZlc3QtbGlrZS13YXJyZW4tYnVmZmV0dNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Clinical characteristics, radiological features, and disease severity of ...",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyMi0xNzA4NS0z0gEA?hl=en-US&gl=US&ceid=US%3Aen
Warren Buffett Has 10% of Berkshire Hathaway's Portfolio in This ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2FycmVuLWJ1ZmZldHQtaGFzLTEwLW9mLWJlcmtzaGlyZS1oYXRoYXdheXMtcG9ydGZvbGlvLWluLXRoaXMtcmVjZXNzaW9uLXJlc2lzdGFudC1zZWN0b3LSAQA?hl=en-US&gl=US&ceid=US%3Aen
Saudi conglomerate invests £233m in UK life insurer,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vaW50ZXJuYXRpb25hbC1hZHZpc2VyLmNvbS9zYXVkaS1jb25nbG9tZXJhdGUtaW52ZXN0cy0yMzNtLWluLXVrLWxpZmUtaW5zdXJlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
French's unveils mustard donuts ahead of National Mustard Day,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9mcmVuY2hzLXVudmVpbHMtbXVzdGFyZC1kb251dHMtYWhlYWQtb2YtbmF0aW9uYWwtbXVzdGFyZC1kYXktMTQwMDAzODAyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"The dollar will weaken and these stocks could outperform, says Evercore",2022-08-02 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90aGUtZG9sbGFyLXdpbGwtd2Vha2VuLWFuZC10aGVzZS1zdG9ja3MtY291bGQtb3V0cGVyZm9ybS1zYXlzLWV2ZXJjb3JlLTExNjU5NDM4NDU40gF4aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS90aGUtZG9sbGFyLXdpbGwtd2Vha2VuLWFuZC10aGVzZS1zdG9ja3MtY291bGQtb3V0cGVyZm9ybS1zYXlzLWV2ZXJjb3JlLTExNjU5NDM4NDU4?hl=en-US&gl=US&ceid=US%3Aen
AEPAC Advocating Re-enlisting Ethiopia into AGOA -,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd2FsdGFpbmZvLmNvbS9hZXBhYy1hZHZvY2F0aW5nLXJlLWVubGlzdGluZy1ldGhpb3BpYS1pbnRvLWFnb2Ev0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Ethiopia, Algeria Keen to Scale up Collective Endeavors -",2022-08-02 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd2FsdGFpbmZvLmNvbS9ldGhpb3BpYS1hbGdlcmlhLWtlZW4tdG8tc2NhbGUtdXAtY29sbGVjdGl2ZS1lbmRlYXZvcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
'We're gutted to miss semi-finals' - Selkirk hockey ace Sarah ...,2022-08-03 00:00:00,https://news.google.com/./articles/CBMirAFodHRwczovL3d3dy50aGVzb3V0aGVybnJlcG9ydGVyLmNvLnVrL3Nwb3J0L290aGVyLXNwb3J0L3dlcmUtZ3V0dGVkLXRvLW1pc3Mtc2VtaS1maW5hbHMtc2Vsa2lyay1ob2NrZXktYWNlLXNhcmFoLXJvYmVydHNvbi1zdWZmZXJzLWNvbW1vbndlYWx0aC1nYW1lcy1kaXNhcHBvaW50bWVudC0zNzkyMDA50gEA?hl=en-US&gl=US&ceid=US%3Aen
China Blames US for “Violating its Sovereignty” -,2022-08-03 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd2FsdGFpbmZvLmNvbS9jaGluYS1ibGFtZXMtdXMtZm9yLXZpb2xhdGluZy1pdHMtc292ZXJlaWdudHkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Stop-work orders, fines given to 2 companies after unsafe conditions ...",2022-08-04 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNoYW5uZWxuZXdzYXNpYS5jb20vc2luZ2Fwb3JlL3dvcmstc2FmZXR5LWZpbmVzLXN0b3Atd29yay1vcmRlci1jb21wYW5pZXMtbW9tLWluc3BlY3Rpb25zLTI4NTg0NzHSAQA?hl=en-US&gl=US&ceid=US%3Aen
Dividend Harvesting Week 74: 6.94% Yield Across 78 Positions,2022-08-04 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80NTI4MTk5LWRpdmlkZW5kLWhhcnZlc3Rpbmctd2Vlay03NC11cGRhdGUtYWxsb2NhdGVkLWFubnVhbC1kaXZpZGVuZHMteWllbGRpbmctYWNyb3NzLXBvc2l0aW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Alla Polizia locale un’auto confiscata,2022-08-04 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmNyb25hY2FkaXZlcm9uYS5jb20vYWxsYS1wb2xpemlhLWxvY2FsZS11bmF1dG8tY29uZmlzY2F0YS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Germany Fashion Brand Orsay Gears Up for Growth With Gordon ...,2022-08-05 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vc291cmNpbmdqb3VybmFsLmNvbS90b3BpY3MvYnVzaW5lc3MtbmV3cy9nb3Jkb24tYnJvdGhlcnMtYWNxdWlyZXMtb3JzYXktZmFzaGlvbi1icmFuZC1zY2F5bGUtYWJvdXQteW91LTM1ODg4NC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Berkshire's Q2 Operating Profits Were Great While Buffett's Actions ...,2022-08-07 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MzExODktYmVya3NoaXJlLXN0b2NrLWJ1eS1xMi1vcGVyYXRpbmctcHJvZml0cy1ncmVhdC1idWZmZXR0LWFjdGlvbnMtcmV2ZWFsaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen
'Kent looking down the barrel of a homeless crisis',2022-08-07 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmtlbnRvbmxpbmUuY28udWsvZ3JhdmVzZW5kL25ld3Mva2VudC1pcy1sb29raW5nLWRvd24tdGhlLWJhcnJlbC1vZi1hLWhvbWVsZXNzbmVzcy1jcmlzaXMtMjcxMjM2L9IBcGh0dHBzOi8vd3d3LmtlbnRvbmxpbmUuY28udWsvZ3JhdmVzZW5kL25ld3MvYW1wL2tlbnQtaXMtbG9va2luZy1kb3duLXRoZS1iYXJyZWwtb2YtYS1ob21lbGVzc25lc3MtY3Jpc2lzLTI3MTIzNi8?hl=en-US&gl=US&ceid=US%3Aen
Berkshire Hathaway boosts Occidental Petroleum stake above 20%,2022-08-08 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2JlcmtzaGlyZS1oYXRoYXdheS1ib29zdHMtb2NjaWRlbnRhbC1wZXRyb2xldW0tc3Rha2UtYWJvdmUtMjAtMjAyMi0wOC0wOS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Corporate Venture Capital Fund Managers Are 'Quaking in Our Boots',2022-08-09 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA4LTA5L2NvcnBvcmF0ZS12ZW50dXJlLWNhcGl0YWwtZnVuZC1tYW5hZ2Vycy1hcmUtcXVha2luZy1pbi1vdXItYm9vdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Squeezing Dividend And Options Premium From Mayo And Ketchup ...,2022-08-11 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2pvaG5kb2Jvc3ovMjAyMi8wOC8xMS9zcXVlZXppbmctZGl2aWRlbmQtYW5kLW9wdGlvbnMtcHJlbWl1bS1mcm9tLW1heW8tYW5kLWtldGNodXAtd2l0aC1rcmFmdC1oZWluei1idXktd3JpdGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Top 10 Warren Buffett Stocks – Forbes Advisor INDIA,2022-08-11 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbi9pbnZlc3RpbmcvYmVzdC13YXJyZW4tYnVmZmV0dC1zdG9ja3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
