title,datetime,link
"Major banks, institutions ink MOUs worth $17.8b to build refinery ...",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRlaHJhbnRpbWVzLmNvbS9uZXdzLzQ3NTI2MC9NYWpvci1iYW5rcy1pbnN0aXR1dGlvbnMtaW5rLU1PVXMtd29ydGgtMTctOGItdG8tYnVpbGQtcmVmaW5lcnnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Wide-Moat Stocks On Sale – The August 2022 Heat Map,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjgzMjItd2lkZS1tb2F0LXN0b2Nrcy1vbi1zYWxlLXRoZS1hdWd1c3QtMjAyMi1oZWF0LW1hcNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Chicago Mayor Lori Lightfoot touts new Lollapalooza contract even ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5jaGljYWdvdHJpYnVuZS5jb20vbmV3cy9icmVha2luZy9jdC1sb2xsYXBhbG9vemEtMjAyMi1hcnJlc3RzLWNvbnRyYWN0LWdyYW50LXBhcmstMjAyMjA4MDEtemJ1NnF4d3JnbmduZnBtaWF2dnZnenNocXEtc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Datadog Stock: What You Need To Know Before Earnings ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1MjgzNTUtZGF0YWRvZy13aGF0LXlvdS1uZWVkLXRvLWtub3ctYmVmb3JlLXRoZS1lYXJuaW5ncy1vbi10aHVyc2RhedIBAA?hl=en-US&gl=US&ceid=US%3Aen
Education Ministry prioritizes family transfer requests – FBC News,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL25ld3MvZWR1Y2F0aW9uL2VkdWNhdGlvbi1taW5pc3RyeS1wcmlvcml0aXplcy1mYW1pbHktdHJhbnNmZXItcmVxdWVzdHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Davule bows out, PB for swim team",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL3Nwb3J0cy9kYXZ1bGUtYm93cy1vdXQtcGItZm9yLXN3aW0tdGVhbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Senator calls the Queen a 'coloniser' as she's sworn in,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL3dvcmxkL3NlbmF0b3ItY2FsbHMtdGhlLXF1ZWVuLWEtY29sb25pc2VyLWFzLXNoZXMtc3dvcm4taW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ali confident in young team – FBC News - Football,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL3Nwb3J0cy9mb290YmFsbC9hbGktY29uZmlkZW50LWluLXlvdW5nLXRlYW0v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Shopkeeper testifies – FBC News,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL25ld3MvY291cnQvc2hvcGtlZXBlci10ZXN0aWZpZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
China could make show of force if Pelosi visits Taiwan,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL3dvcmxkL2NoaW5hLWNvdWxkLW1ha2Utc2hvdy1vZi1mb3JjZS1pZi1wZWxvc2ktdmlzaXRzLXRhaXdhbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
