title,datetime,link
NTR’s daughter found dead at her residence,2022-08-01 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL3RlbGFuZ2FuYS9udHJzLWRhdWdodGVyLWZvdW5kLWRlYWQtYXQtaGVyLXJlc2lkZW5jZS9hcnRpY2xlNjU3MTIwMjEuZWNl0gFzaHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvbmF0aW9uYWwvdGVsYW5nYW5hL250cnMtZGF1Z2h0ZXItZm91bmQtZGVhZC1hdC1oZXItcmVzaWRlbmNlL2FydGljbGU2NTcxMjAyMS5lY2UvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
NTR's daughter Uma Maheswari found dead at Hyderabad residence | India | Onmanorama,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lm9ubWFub3JhbWEuY29tL25ld3MvaW5kaWEvMjAyMi8wOC8wMS9udHItZGF1Z2h0ZXItY29tbWl0cy1zdWljaWRlLmh0bWzSAVJodHRwczovL3d3dy5vbm1hbm9yYW1hLmNvbS9uZXdzL2luZGlhLzIwMjIvMDgvMDEvbnRyLWRhdWdodGVyLWNvbW1pdHMtc3VpY2lkZS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
NTR's daughter Uma Maheshwari passes away in Hyderabad,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL250cnMtZGF1Z2h0ZXItdW1hLW1haGVzaHdhcmktcGFzc2VzLWF3YXktaW4taHlkZXJhYmFk0gEA?hl=en-US&gl=US&ceid=US%3Aen
NTR posts a candid picture with his wife,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vdGVsdWd1Y2luZW1hLmNvbS9uZXdzL250ci1wb3N0cy1hLWNhbmRpZC1waWN0dXJlLXdpdGgtaGlzLXdpZmXSAUpodHRwczovL3RlbHVndWNpbmVtYS5jb20vbmV3cy9udHItcG9zdHMtYS1jYW5kaWQtcGljdHVyZS13aXRoLWhpcy13aWZlP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Inside Jr NTR And Wife Lakshmi Pranathi's Date. See Pic,2022-08-01 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm5kdHYuY29tL2VudGVydGFpbm1lbnQvbm90aGluZy1tdWNoLWpyLW50ci1hbmQtd2lmZS1sYWtzaG1pLXByYW5hdGhpLWhhdmluZy1hLWNvbnZlcnNhdGlvbi0zMjEzNTcx0gF0aHR0cHM6Ly93d3cubmR0di5jb20vZW50ZXJ0YWlubWVudC9ub3RoaW5nLW11Y2gtanItbnRyLWFuZC13aWZlLWxha3NobWktcHJhbmF0aGktaGF2aW5nLWEtY29udmVyc2F0aW9uLTMyMTM1NzEvYW1wLzE?hl=en-US&gl=US&ceid=US%3Aen
See: South Indian star Jr NTR and wife Lakshmi Pranathi's photo goes viral and strike couple goals,2022-08-01 00:00:00,https://news.google.com/./articles/CBMioAFodHRwczovL2d1bGZuZXdzLmNvbS9lbnRlcnRhaW5tZW50L3NvdXRoLWluZGlhbi9zZWUtc291dGgtaW5kaWFuLXN0YXItanItbnRyLWFuZC13aWZlLWxha3NobWktcHJhbmF0aGlzLXBob3RvLWdvZXMtdmlyYWwtYW5kLXN0cmlrZS1jb3VwbGUtZ29hbHMtMS4xNjU5MzU1NjE0Nzcy0gGkAWh0dHBzOi8vZ3VsZm5ld3MuY29tL2FtcC9lbnRlcnRhaW5tZW50L3NvdXRoLWluZGlhbi9zZWUtc291dGgtaW5kaWFuLXN0YXItanItbnRyLWFuZC13aWZlLWxha3NobWktcHJhbmF0aGlzLXBob3RvLWdvZXMtdmlyYWwtYW5kLXN0cmlrZS1jb3VwbGUtZ29hbHMtMS4xNjU5MzU1NjE0Nzcy?hl=en-US&gl=US&ceid=US%3Aen
Who was NTR?,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vb3BveWkuY29tL2VudGVydGFpbm1lbnQvd2hvLXdhcy1udHItNzE1MDQzL9IBN2h0dHBzOi8vb3BveWkuY29tL2FtcC9lbnRlcnRhaW5tZW50L3doby13YXMtbnRyLTcxNTA0My8?hl=en-US&gl=US&ceid=US%3Aen
"Jr NTR Praises His Half-Brother, Nandamuri Kalyan Ram's ...",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5ib2xseXdvb2RzaGFhZGlzLmNvbS9hcnRpY2xlcy9qci1udHItcHJhaXNlcy1oYWxmLWJyb3RoZXItbmFuZGFtdXJpLWthbHlhbi1yYW0tcGVyZm9ybWFuY2UtbXl0aG9sb2dpY2FsLWZpbG0tYmltYmlzYXJhLTM0MTg40gEA?hl=en-US&gl=US&ceid=US%3Aen
From Uma Maheshwari to Nandamuri Harikrishna: All about NTR’s 12 children,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vb3BveWkuY29tL2luZGlhL2Zyb20tdW1hLW1haGVzaHdhcmktdG8tbmFuZGFtdXJpLWhhcmlrcmlzaG5hLWFsbC1hYm91dC1udHJzLTEyLWNoaWxkcmVuLTcxNTAyNC_SAWtodHRwczovL29wb3lpLmNvbS9hbXAvaW5kaWEvZnJvbS11bWEtbWFoZXNod2FyaS10by1uYW5kYW11cmktaGFyaWtyaXNobmEtYWxsLWFib3V0LW50cnMtMTItY2hpbGRyZW4tNzE1MDI0Lw?hl=en-US&gl=US&ceid=US%3Aen
NTR leaves behind mixed feelings,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vZmlsbXlmb2N1cy5jb20vbnRyLWxlYXZlcy1iZWhpbmQtbWl4ZWQtZmVlbGluZ3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
