title,datetime,link
Pagaya founders' paper wealth could soon become real,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vZW4uZ2xvYmVzLmNvLmlsL2VuL2FydGljbGUtcGFnYXlhLXNoYXJlLWxvY2stdXAtY291bGQtZW5kLXNvb25lci10aGFuLWV4cGVjdGVkLTEwMDE0MjAwMDbSAQA?hl=en-US&gl=US&ceid=US%3Aen
Intuit Stock May See Valuation Headwinds despite Predictable ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaW50dWl0LXN0b2NrLW1heS1zZWUtdmFsdWF0aW9uLWhlYWR3aW5kcy1kZXNwaXRlLXByZWRpY3RhYmxlLWJ1c2luZXNzLW1vZGVs0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Why Shopify, Pinterest, and Block Stocks Rallied on Monday",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2h5LXNob3BpZnktcGludGVyZXN0LWFuZC1ibG9jay1zdG9ja3MtcmFsbGllZC1vbi1tb25kYXnSAQA?hl=en-US&gl=US&ceid=US%3Aen
SolarEdge Technologies (SEDG) Q2 2022 Earnings Call Transcript,2022-08-02 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMi8wOC8wMi9zb2xhcmVkZ2UtdGVjaG5vbG9naWVzLXNlZGctcTItMjAyMi1lYXJuaW5ncy1jYWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dow Futures Move Higher as Earnings Continue By Investing.com,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmludmVzdGluZy5jb20vbmV3cy9zdG9jay1tYXJrZXQtbmV3cy9kb3ctZnV0dXJlcy1tb3ZlLWhpZ2hlci1hcy1lYXJuaW5ncy1jb250aW51ZS0yODYxMTA10gFtaHR0cHM6Ly9tLmludmVzdGluZy5jb20vbmV3cy9zdG9jay1tYXJrZXQtbmV3cy9kb3ctZnV0dXJlcy1tb3ZlLWhpZ2hlci1hcy1lYXJuaW5ncy1jb250aW51ZS0yODYxMTA1P2FtcE1vZGU9MQ?hl=en-US&gl=US&ceid=US%3Aen
"Insiders who placed huge bets on Helbiz, Inc. (NASDAQ:HLBZ ...",2022-08-02 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaW5zaWRlcnMtd2hvLXBsYWNlZC1odWdlLWJldHMtb24taGVsYml6LWluYy4tbmFzZGFxOmhsYnotZWFybGllci10aGlzLXllYXItd291bGQtYmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Hints of 1982 have one strategist saying the bear market is over ...,2022-08-02 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9iZWFyLW1hcmtldC1zdG9ja3MtbW9ybmluZy1icmllZi1hdWd1c3QtMTAwMDE1MzYxLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
SolarEdge (SEDG) Stock Plummets 18% as Revenue Falls Short,2022-08-03 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMi8wOC9zb2xhcmVkZ2Utc2VkZy1zdG9jay1wbHVtbWV0cy0xOC1hcy1yZXZlbnVlLWZhbGxzLXNob3J0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Why SolarEdge Stock Plummeted Today,2022-08-03 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA4LzAzL3doeS1zb2xhcmVkZ2Utc3RvY2stcGx1bW1ldGVkLXRvZGF5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dow Jones Futures Signal Market Rally; AMD Leads Earnings ...,2022-08-03 00:00:00,https://news.google.com/./articles/CBMilAFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtbWFya2V0LXJhbGx5LXJldHJlYXRzLW9uLXRhaXdhbi1oYXdraXNoLWZlZC1hbWQtbGVhZHMtNy1lYXJuaW5ncy1tb3ZlcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
