title,datetime,link
"Rays land Jose Siri in 3-team deal with Astros, O's",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lm1sYi5jb20vbmV3cy9qb3NlLXNpcmktcmF5cy10aHJlZS10ZWFtLXRyYWRlLWFzdHJvcy1vcmlvbGVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Rays acquire Siri from Astros in 3-team trade, designate Phillips for assignment",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lnd0c3AuY29tL2FydGljbGUvc3BvcnRzL21sYi9yYXlzL3JheXMtYWNxdWlyZS1zaXJpLWFzdHJvcy0zLXRlYW0tdHJhZGUvNjctYjgxZWZkYTktY2JjZS00N2QzLTg3MzctOWQ1YWIyYTFjYTk00gF-aHR0cHM6Ly93d3cud3RzcC5jb20vYW1wL2FydGljbGUvc3BvcnRzL21sYi9yYXlzL3JheXMtYWNxdWlyZS1zaXJpLWFzdHJvcy0zLXRlYW0tdHJhZGUvNjctYjgxZWZkYTktY2JjZS00N2QzLTg3MzctOWQ1YWIyYTFjYTk0?hl=en-US&gl=US&ceid=US%3Aen
Tampa Bay Rays Acquire Jose Siri From Astros In Three Team Exchange,2022-08-01 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vcmF5c2NvbG9yZWRnbGFzc2VzLmNvbS9wb3N0cy90YW1wYS1iYXktcmF5cy1hY3F1aXJlLWpvc2Utc2lyaS1mcm9tLWFzdHJvcy1pbi10aHJlZS10ZWFtLWV4Y2hhbmdlLTAxZzlka3BjZHFrdtIBeWh0dHBzOi8vcmF5c2NvbG9yZWRnbGFzc2VzLmNvbS9wb3N0cy90YW1wYS1iYXktcmF5cy1hY3F1aXJlLWpvc2Utc2lyaS1mcm9tLWFzdHJvcy1pbi10aHJlZS10ZWFtLWV4Y2hhbmdlLTAxZzlka3BjZHFrdi9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Astros Acquire Trey Mancini In Three-Team Trade; Jose Siri Dealt ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm1sYnRyYWRlcnVtb3JzLmNvbS8yMDIyLzA4L2FzdHJvcy10by1hY3F1aXJlLXRyZXktbWFuY2luaS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Astros acquire Mancini from Orioles, Rays get Siri in three-team trade",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnNwb3J0c25ldC5jYS9tbGIvYXJ0aWNsZS9yZXBvcnQtb3Jpb2xlcy10cmFkaW5nLXNsdWdnZXItdHJleS1tYW5jaW5pLXRvLWFzdHJvcy_SAVpodHRwczovL3d3dy5zcG9ydHNuZXQuY2EvbWxiL3JlcG9ydC1vcmlvbGVzLXRyYWRpbmctc2x1Z2dlci10cmV5LW1hbmNpbmktdG8tYXN0cm9zL3NuLWFtcC8?hl=en-US&gl=US&ceid=US%3Aen
"Astros get Trey Mancini in three-team trade involving Orioles, Rays",2022-08-01 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5raG91LmNvbS9hcnRpY2xlL3Nwb3J0cy9tbGIvYXN0cm9zL2FzdHJvcy1vcmlvbGVzLXJheXMtdHJhZGUtdHJleS1tYW5jaW5pLWpvc2Utc2lyaS8yODUtMDg1MGExYjUtNTViZC00MmZmLTg1NzctZmEzYjQwMjUxNmVk0gGMAWh0dHBzOi8vd3d3Lmtob3UuY29tL2FtcC9hcnRpY2xlL3Nwb3J0cy9tbGIvYXN0cm9zL2FzdHJvcy1vcmlvbGVzLXJheXMtdHJhZGUtdHJleS1tYW5jaW5pLWpvc2Utc2lyaS8yODUtMDg1MGExYjUtNTViZC00MmZmLTg1NzctZmEzYjQwMjUxNmVk?hl=en-US&gl=US&ceid=US%3Aen
Woman Said She ‘Just Snapped’ and Tried to Kill Roommate with Kitchen Knives After ‘Thinking About Killing Him for a While’: Sheriff,2022-08-01 00:00:00,https://news.google.com/./articles/CBMingFodHRwczovL2xhd2FuZGNyaW1lLmNvbS9jcmltZS93b21hbi1zYWlkLXNoZS1qdXN0LXNuYXBwZWQtYW5kLXRyaWVkLXRvLWtpbGwtcm9vbW1hdGUtd2l0aC1raXRjaGVuLWtuaXZlcy1hZnRlci10aGlua2luZy1hYm91dC1raWxsaW5nLWhpbS1mb3ItYS13aGlsZS1zaGVyaWZmL9IBogFodHRwczovL2xhd2FuZGNyaW1lLmNvbS9jcmltZS93b21hbi1zYWlkLXNoZS1qdXN0LXNuYXBwZWQtYW5kLXRyaWVkLXRvLWtpbGwtcm9vbW1hdGUtd2l0aC1raXRjaGVuLWtuaXZlcy1hZnRlci10aGlua2luZy1hYm91dC1raWxsaW5nLWhpbS1mb3ItYS13aGlsZS1zaGVyaWZmL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
3 MLB Trade Deadline targets Brewers fans should keep an eye on,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vcmV2aWV3aW5ndGhlYnJldy5jb20vMjAyMi8wOC8wMS8zLXRyYWRlLXRhcmdldHMtYnJld2Vycy1mYW5zLWtlZXAtZXllL9IBUmh0dHBzOi8vcmV2aWV3aW5ndGhlYnJldy5jb20vMjAyMi8wOC8wMS8zLXRyYWRlLXRhcmdldHMtYnJld2Vycy1mYW5zLWtlZXAtZXllL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Houston Astros Trade for Trey Mancini; Jose Siri to Tampa Bay,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vdGhlZ2FtZWhhdXMuY29tL21sYi9ob3VzdG9uLWFzdHJvcy10cmFkZS1mb3ItdHJleS1tYW5jaW5pLzIwMjIvMDgvMDEv0gFNaHR0cHM6Ly90aGVnYW1laGF1cy5jb20vbWxiL2hvdXN0b24tYXN0cm9zLXRyYWRlLWZvci10cmV5LW1hbmNpbmkvMjAyMi8wOC8wMS8?hl=en-US&gl=US&ceid=US%3Aen
Song Talk: Soothing DSP Melody,2022-08-01 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3Lm1pcmNoaTkuY29tL21vdmllbmV3cy9yYW5nYS1yYW5nYS12YWliaGF2YW5nYS1zaXJpLXNpcmktbXV2dmFsbG9uYS1zb25nLXRhbGstc29vdGhpbmctZHNwLW1lbG9keS_SAXFodHRwczovL3d3dy5taXJjaGk5LmNvbS9tb3ZpZW5ld3MvcmFuZ2EtcmFuZ2EtdmFpYmhhdmFuZ2Etc2lyaS1zaXJpLW11dnZhbGxvbmEtc29uZy10YWxrLXNvb3RoaW5nLWRzcC1tZWxvZHkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
