title,datetime,link
Judge grants temporary restraining order in Aon-WTW team lift case,2022-08-01 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5pbnNpZGVwYW5kYy5jb20vYXJ0aWNsZS8yYWZwZTJxMmM2aHJ6emNzZ2l5bzAvYnJva2Vycy9qdWRnZS1ncmFudHMtdGVtcG9yYXJ5LXJlc3RyYWluaW5nLW9yZGVyLWluLWFvbi13dHctdGVhbS1saWZ0LWNhc2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
Chinese fintech XTransfer plans expansion into wealth management ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnByaXZhdGViYW5rZXJpbnRlcm5hdGlvbmFsLmNvbS9uZXdzL3h0cmFuc2Zlci13ZWFsdGgtbWFuYWdlbWVudC1sZW5kaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
VFMC names head of equities,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmZpbmFuY2lhbHN0YW5kYXJkLmNvbS5hdS9uZXdzL3ZmbWMtbmFtZXMtaGVhZC1vZi1lcXVpdGllcy0xNzk3OTYxNjPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Lemonade sells Metromile’s EBS platform to EIS,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvbGVtb25hZGUtc2VsbHMtbWV0cm9taWxlcy1lYnMtcGxhdGZvcm0tdG8tZWlzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
CNA Financial sees fall in Q2 net income,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvY25hLWZpbmFuY2lhbC1zZWVzLWZhbGwtaW4tcTItbmV0LWluY29tZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Marco appoints Stefan Habereder as group chief actuary,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvbWFyY28tYXBwb2ludHMtc3RlZmFuLWhhYmVyZWRlci1hcy1ncm91cC1jaGllZi1hY3R1YXJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
AM Best revises outlooks to negative for WAICA Re,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYW0tYmVzdC1yZXZpc2VzLW91dGxvb2tzLXRvLW5lZ2F0aXZlLWZvci13YWljYS1yZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Climate change events increasing claims paid in Australia,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvY2xpbWF0ZS1jaGFuZ2UtZXZlbnRzLWluY3JlYXNpbmctY2xhaW1zLXBhaWQtaW4tYXVzdHJhbGlhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
BHSI hires Nicholas Ferrari to lead Australasia transactional liability ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYmhzaS1oaXJlcy1uaWNob2xhcy1mZXJyYXJpLXRvLWxlYWQtYXVzdHJhbGFzaWEtdHJhbnNhY3Rpb25hbC1saWFiaWxpdHktdGVhbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
British wealth manger Investec to purchase Murray Asset Management,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnByaXZhdGViYW5rZXJpbnRlcm5hdGlvbmFsLmNvbS9uZXdzL2ludmVzdGVjLW11cnJheS1hc3NldC1tYW5hZ2VtZW50L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
McGill appoints Cousar to build out APAC fac reinsurance growth,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvbWNnaWxsLWFwcG9pbnRzLWRhdmlkLWNvdXNhci10by1mYWMtcmVpbnN1cmFuY2UtdGVhbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
AXA tops list of largest EU insurers ranked by GPW,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYXhhLXRvcHMtbGlzdC1vZi1sYXJnZXN0LWV1LWluc3VyZXJzLXJhbmtlZC1ieS1ncHcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Allianz Commercial prevented £36.8m of insurance fraud in H1,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYWxsaWFuei1jb21tZXJjaWFsLXByZXZlbnRlZC0zNi04bS1vZi1pbnN1cmFuY2UtZnJhdWQtaW4taDEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Navigating a volatile market,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LnRoZWVkZ2VtYXJrZXRzLmNvbS9hcnRpY2xlL25hdmlnYXRpbmctdm9sYXRpbGUtbWFya2V0LTDSAQA?hl=en-US&gl=US&ceid=US%3Aen
ARPC announces new CFO appointment,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYXJwYy1hbm5vdW5jZXMtbmV3LWNmby1hcHBvaW50bWVudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
A Look At The Future Neiman Marcus Headquarters in Cityplace ...,2022-08-01 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnBlb3BsZW5ld3NwYXBlcnMuY29tLzIwMjIvMDgvMDEvYS1sb29rLWF0LXRoZS1mdXR1cmUtbmVpbWFuLW1hcmN1cy1oZWFkcXVhcnRlcnMtaW4tY2l0eXBsYWNlLXRvd2VyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Atrium appoints Peter Laidlaw as active underwriter,2022-08-01 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnJlaW5zdXJhbmNlbmUud3MvYXRyaXVtLWFwcG9pbnRzLXBldGVyLWxhaWRsYXctYXMtYWN0aXZlLXVuZGVyd3JpdGVyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
