title,datetime,link
Monthly 'Mailbox Money' So You Can Sleep Well At Night,2020-01-04 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTUxNjUtbW9udGhseS1tYWlsYm94LW1vbmV5LXlvdS1jYW4tc2xlZXAtd2VsbC1uaWdodNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Cramer's lightning round: I thought Luckin Coffee had peaked — 'I was dead wrong',2020-01-03 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDEvMDMvY3JhbWVyLWxpZ2h0bmluZy1yb3VuZC1pLXdhcy1kZWFkLXdyb25nLWFib3V0LWx1Y2tpbi1jb2ZmZWUuaHRtbNIBZGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIwLzAxLzAzL2NyYW1lci1saWdodG5pbmctcm91bmQtaS13YXMtZGVhZC13cm9uZy1hYm91dC1sdWNraW4tY29mZmVlLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
The Dark Side Of Mortgage REITs,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTQzMzktZGFyay1zaWRlLW9mLW1vcnRnYWdlLXJlaXRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Taxman Cometh: REIT Tax Myths,2020-02-10 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjI3NTMtdGF4bWFuLWNvbWV0aC1yZWl0LXRheC1teXRoc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Volunteer for a USA Triathlon Event,2020-02-27 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnRlYW11c2Eub3JnL3VzYS10cmlhdGhsb24vZXZlbnRzL25hdGlvbmFsLWNoYW1waW9uc2hpcHMvdm9sdW50ZWVy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Harriet Harriss,2020-02-08 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmFyY2hpdGVjdG1hZ2F6aW5lLmNvbS9hdXRob3IvaGFycmlldC1oYXJyaXNz0gEA?hl=en-US&gl=US&ceid=US%3Aen
London Fintech Startup Revolut Valued at $5.5 Billion,2020-02-25 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9sb25kb24tZmludGVjaC1zdGFydHVwLXJldm9sdXQtdmFsdWVkLTAwMDAwMDMyNS5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvbG9uZG9uLWZpbnRlY2gtc3RhcnR1cC1yZXZvbHV0LXZhbHVlZC0wMDAwMDAzMjUuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
How to Weigh Competing Law School Acceptances,2020-02-03 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93ZWlnaC1jb21wZXRpbmctbGF3LXNjaG9vbC1hY2NlcHRhbmNlcy0xNDQ4MTI1NzMuaHRtbNIBXGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3dlaWdoLWNvbXBldGluZy1sYXctc2Nob29sLWFjY2VwdGFuY2VzLTE0NDgxMjU3My5odG1s?hl=en-US&gl=US&ceid=US%3Aen
These are the top startup investment deals that got VCs interested in 2019,2020-02-19 00:00:00,https://news.google.com/./articles/CBMimQFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vYnVzaW5lc3Mvc3RhcnR1cHMvbmV3cy90aGVzZS1hcmUtdGhlLXRvcC1zdGFydHVwLWludmVzdG1lbnQtZGVhbHMtdGhhdC1nb3QtdmNzLWludGVyZXN0ZWQtaW4tMjAxOS9hcnRpY2xlc2hvdy83NDIwNDA2NS5jbXPSAZ0BaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmluL2J1c2luZXNzL3N0YXJ0dXBzL25ld3MvdGhlc2UtYXJlLXRoZS10b3Atc3RhcnR1cC1pbnZlc3RtZW50LWRlYWxzLXRoYXQtZ290LXZjcy1pbnRlcmVzdGVkLWluLTIwMTkvYW1wX2FydGljbGVzaG93Lzc0MjA0MDY1LmNtcw?hl=en-US&gl=US&ceid=US%3Aen
Fretting About the Worst Selloff Since 1987? 5 Safe Stocks,2020-03-17 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9mcmV0dGluZy13b3JzdC1zZWxsb2ZmLXNpbmNlLTE5ODctMTQwNDAyMDIzLmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9mcmV0dGluZy13b3JzdC1zZWxsb2ZmLXNpbmNlLTE5ODctMTQwNDAyMDIzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
