title,datetime,link
BLKB Promotes Ex-Credit Suisse Banker,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmZpbmV3cy5jb20vbmV3cy9lbmdsaXNoLW5ld3MvMzk0NzctYmxrYi1wcm9tb3Rlcy1leC1jcmVkaXQtc3Vpc3NlLWJhbmtlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
Why These Software and Internet Stocks Tumbled Today,2020-03-12 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAzLzEyL3doeS10aGVzZS1zb2Z0d2FyZS1hbmQtaW50ZXJuZXQtc3RvY2tzLXR1bWJsZWQtdG9kLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
6 Remote-Working Software Stocks to Ride on Virus-Led Lockdowns,2020-03-05 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9saWZlc3R5bGUvNi1yZW1vdGUtd29ya2luZy1zb2Z0d2FyZS1zdG9ja3MtMTMyOTAxMDM0Lmh0bWzSAVdodHRwczovL3d3dy55YWhvby5jb20vYW1waHRtbC9saWZlc3R5bGUvNi1yZW1vdGUtd29ya2luZy1zb2Z0d2FyZS1zdG9ja3MtMTMyOTAxMDM0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Wide-Moat Stocks On Sale - The April 2020 Heat Map,2020-04-26 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzNDAwODAtd2lkZS1tb2F0LXN0b2Nrcy1vbi1zYWxlLWFwcmlsLTIwMjAtaGVhdC1tYXDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Xavier beach volleyball team disappointed,2020-04-20 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vYXpwcmVwczM2NS5jb20vYXJ0aWNsZXMvMTE4MjkteGF2aWVyLWJlYWNoLXZvbGxleWJhbGwtdGVhbS1kaXNhcHBvaW50ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
14 Swiss Companies Make up 2020 WealthTech 100 List | Fintech ...,2020-04-29 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vZmludGVjaG5ld3MuY2gvcm9ib2Fkdmlzb3Jfb25saW5ld2VhbHRoLzE0LXN3aXNzLWNvbXBhbmllcy1tYWtlLXVwLTIwMjAtd2VhbHRodGVjaC0xMDAtbGlzdC8zNTIzNS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Bull Of The Day: Blackbaud (BLKB),2020-07-07 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9idWxsLWRheS1ibGFja2JhdWQtYmxrYi0xMDExMTAzOTMuaHRtbNIBTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2J1bGwtZGF5LWJsYWNrYmF1ZC1ibGtiLTEwMTExMDM5My5odG1s?hl=en-US&gl=US&ceid=US%3Aen
BAWAG Group: Austrian Front-runner Bank Applies Compassion During Coronavirus Crisis,2020-07-01 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vY2ZpLmNvL21lbnUvY29ycG9yYXRlLzIwMjAvMDcvYmF3YWctZ3JvdXAtYXVzdHJpYW4tZnJvbnQtcnVubmVyLWJhbmstYXBwbGllcy1jb21wYXNzaW9uLWR1cmluZy1jb3JvbmF2aXJ1cy1jcmlzaXMv0gF-aHR0cHM6Ly9jZmkuY28vbWVudS9jb3Jwb3JhdGUvMjAyMC8wNy9iYXdhZy1ncm91cC1hdXN0cmlhbi1mcm9udC1ydW5uZXItYmFuay1hcHBsaWVzLWNvbXBhc3Npb24tZHVyaW5nLWNvcm9uYXZpcnVzLWNyaXNpcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Baselland - 59-Jährige verliert IV-Rente – nach 25 Jahren,2020-07-05 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmJ6YmFzZWwuY2gvYmFzZWwvYmFzZWxsYW5kLzU5LWphaHJpZ2UtdmVybGllcnQtaXYtcmVudGUtbmFjaC0yNS1qYWhyZW4tbGQuMTMwMjI5N9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Blackbaud Appoints Michael Boulware Moore as First Diversity and ...,2020-08-18 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2JsYWNrYmF1ZC1hcHBvaW50cy1taWNoYWVsLWJvdWx3YXJlLW1vb3JlLWFzLWZpcnN0LWRpdmVyc2l0eS1hbmQtaW5jbHVzaW9uLWV4ZWN1dGl2ZS0zMDExMTQxNDIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Blackbaud (BLKB) Names Brandon Sharrett As President And General Manager For Faith Solutions,2020-08-08 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vcHVsc2UyLmNvbS9ibGFja2JhdWQtYmxrYi1icmFuZG9uLXNoYXJyZXR0LWZhaXRoLXNvbHV0aW9ucy_SAUdodHRwczovL3B1bHNlMi5jb20vYmxhY2tiYXVkLWJsa2ItYnJhbmRvbi1zaGFycmV0dC1mYWl0aC1zb2x1dGlvbnMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"Co-anchor of NBC News' TODAY, co-host of TODAY with Hoda ...",2020-09-18 00:00:00,https://news.google.com/./articles/CBMiuAFodHRwczovL3d3dy5uZXdzd2lyZS5jYS9uZXdzLXJlbGVhc2VzL2NvLWFuY2hvci1vZi1uYmMtbmV3cy10b2RheS1jby1ob3N0LW9mLXRvZGF5LXdpdGgtaG9kYS1hbXAtamVubmEtYW5kLWluc3BpcmF0aW9uYWwtYXV0aG9yLWhvZGEta290Yi1qb2lucy1iYmNvbi0yMDIwLXZpcnR1YWwtbGluZXVwLTgzMTc2MzkzMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Palantir's Secretive Business Is Priced For Perfection,2020-09-29 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ3JlYXRzcGVjdWxhdGlvbnMvMjAyMC8wOS8yOS9wYWxhbnRpcnMtc2VjcmV0aXZlLWJ1c2luZXNzLWlzLXByaWNlZC1mb3ItcGVyZmVjdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"The white core of Lindt’s new home, the world’s biggest chocolate museum",2020-09-23 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5kb211c3dlYi5pdC9lbi9hcmNoaXRlY3R1cmUvZ2FsbGVyeS8yMDIwLzA5LzIyL2NocmlzdC1nYW50ZW5iZWluLWNvbXBsZXRlLWEtbmV3LWJ1aWxkaW5nLXdpdGhpbi10aGUtbGluZHQtaGVhZHF1YXJ0ZXJzLWluLXp1cmljaC5odG1s0gGVAWh0dHBzOi8vd3d3LmRvbXVzd2ViLml0L2VuL2FyY2hpdGVjdHVyZS9nYWxsZXJ5LzIwMjAvMDkvMjIvY2hyaXN0LWdhbnRlbmJlaW4tY29tcGxldGUtYS1uZXctYnVpbGRpbmctd2l0aGluLXRoZS1saW5kdC1oZWFkcXVhcnRlcnMtaW4tenVyaWNoLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Back to School? How the Coronavirus Could Shape the Future of ...,2020-11-09 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm1vcm5pbmdzdGFyLmNvbS9hcnRpY2xlcy8xMDA5NDAxL2JhY2stdG8tc2Nob29sLWhvdy10aGUtY29yb25hdmlydXMtY291bGQtc2hhcGUtdGhlLWZ1dHVyZS1vZi1oaWdoZXItZWR1Y2F0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
Nationalrat - Sarah Wyss vertritt ab dem 18. Dezember die ...,2020-11-17 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5iemJhc2VsLmNoL2Jhc2VsL2Jhc2VsLXN0YWR0L3NhcmFoLXd5c3MtdmVydHJpdHQtYWItZGVtLTE4LWRlemVtYmVyLWRpZS1pbnRlcmVzc2VuLWRlci1zdGFkdGJhc2xlci1pbi1iZXJuLWxkLjEzMjUwODDSAQA?hl=en-US&gl=US&ceid=US%3Aen
BLKB: A New Digital Bank for Switzerland,2020-12-18 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmZpbmV3cy5jb20vbmV3cy9lbmdsaXNoLW5ld3MvNDQzMDAtYmxrYi1kaWdpdGFsLWJhbmstbWFyY28tcHJpbWF2ZXNpLWhlcmJlcnQta3VtYmFydHpraS1zdGVmYW4tbXVlaGxlbWFubtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Etops Has Acquired 100% of Evolute | Fintech Schweiz Digital ...,2020-12-10 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vZmludGVjaG5ld3MuY2gvcm9ib2Fkdmlzb3Jfb25saW5ld2VhbHRoL2V0b3BzLWhhcy1hY3F1aXJlZC0xMDAtc3Rha2UtaW4tZXZvbHV0ZS80MTEzMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
BKB Implements Executive Board Reshuffle,2021-01-27 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmZpbmV3cy5jb20vbmV3cy9lbmdsaXNoLW5ld3MvNDQ3ODAtYmtiLXJlZ3VsYS1iZXJnZXItam9lcmctdm9uLWZlbHRlbi1hbmRyZWFzLXJ1ZXNjaC1leGVjdXRpdmUtcmVzaHVmZmxl0gEA?hl=en-US&gl=US&ceid=US%3Aen
Consumers' Interest in Neobanks Cools Down | Fintech Schweiz ...,2021-01-18 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vZmludGVjaG5ld3MuY2gvdmlydHVhbC1iYW5raW5nL2NvbnN1bWVycy1pbnRlcmVzdC1pbi1uZW9iYW5rcy1jb29scy1kb3duLzQxOTQzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
