title,datetime,link
Get a 19-cent burger on Jan. 30 at Dick's in Kent,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmtlbnRyZXBvcnRlci5jb20vYnVzaW5lc3MvZ2V0LWEtMTktY2VudC1idXJnZXItb24tamFuLTMwLWF0LWRpY2tzLWluLWtlbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Iowa Gov. Kim Reynolds urges 1-cent sales tax hike, cut in income tax",2020-01-14 00:00:00,https://news.google.com/./articles/CBMirwFodHRwczovL3d3dy5kZXNtb2luZXNyZWdpc3Rlci5jb20vc3RvcnkvbmV3cy9wb2xpdGljcy8yMDIwLzAxLzE0L2tpbS1yZXlub2xkcy1jb25kaXRpb24tb2YtdGhlLXN0YXRlLXNhbGVzLXRheC1pbmNyZWFzZS13YXRlci1xdWFsaXR5LW1lbnRhbC1oZWFsdGgtaW5jb21lLXRheC1jdXRzLzQ0MzI1MzAwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Police called after Target manager refuses to sell 1 cent toothbrush,2020-01-18 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lmluc2lkZXIuY29tL2RhdmlkLWxlYXZpdHQtZ29mdW5kbWUtdGFyZ2V0LW1hbmFnZXItb25lLWNlbnQtdG9vdGhicnVzaC10d2l0dGVyLXRocmVhZC0yMDIwLTHSAWtodHRwczovL3d3dy5pbnNpZGVyLmNvbS9kYXZpZC1sZWF2aXR0LWdvZnVuZG1lLXRhcmdldC1tYW5hZ2VyLW9uZS1jZW50LXRvb3RoYnJ1c2gtdHdpdHRlci10aHJlYWQtMjAyMC0xP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Week's Most Read: 2020-W 5-cent coins planned,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmNvaW53b3JsZC5jb20vbmV3cy91cy1jb2lucy93ZWVrLXMtbW9zdC1yZWFkLTIwMjAtdy01LWNlbnQtY29pbnMtcGxhbm5lZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
EU eyes phasing out smallest euro cent coins,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvZXVyby1jb2lucy1jb21taXNzaW9uLWlkVVNMOE4yOVk0TTXSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Market Analysis: Top 1951-D cent brings $6,600",2020-01-28 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmNvaW53b3JsZC5jb20vbmV3cy91cy1jb2lucy9tYXJrZXQtYW5hbHlzaXMtdG9wLTE5NTEtZC1jZW50LWJyaW5ncy02NjAwLWRvbGxhcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"As half-cent tax funds critical school projects, St. Johns County ...",2020-01-15 00:00:00,https://news.google.com/./articles/CBMinwFodHRwczovL3d3dy5zdGF1Z3VzdGluZS5jb20vc3RvcnkvbmV3cy8yMDIwLzAxLzE1L2hhbGYtY2VudC1mdW5kcy1jcml0aWNhbC1zY2hvb2wtcHJvamVjdHMtam9obnMtY291bnR5LXNjaG9vbC1kaXN0cmljdC1sZWFkZXJzLWxvb2stYWhlYWQtcmVuZXdpbmcvMTg5MzEyMjAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Big volatility options trade points to mystery investor '50 Cent',2020-01-28 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtdXNhLXN0b2Nrcy12b2xhdGlsaXR5LWlkVVNLQk4xWlMwSFfSAQA?hl=en-US&gl=US&ceid=US%3Aen
Eminem Pays Tribute to 50 Cent at Hollywood Walk of Fame Ceremony,2020-01-31 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vbXVzaWMvbXVzaWMtbmV3cy9lbWluZW0tNTAtY2VudC10cmlidXRlLWhvbGx5d29vZC13YWxrLW9mLWZhbWUtY2VyZW1vbnktd2F0Y2gtOTQ1OTY0L9IBdmh0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vbXVzaWMvbXVzaWMtbmV3cy9lbWluZW0tNTAtY2VudC10cmlidXRlLWhvbGx5d29vZC13YWxrLW9mLWZhbWUtY2VyZW1vbnktd2F0Y2gtOTQ1OTY0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Hemingway's 'last red cent',2020-01-24 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnZjc3Rhci5jb20vc3Rvcnkvb3Bpbmlvbi9jb2x1bW5pc3RzLzIwMjAvMDEvMjQvaGVtaW5nd2F5cy1sYXN0LXJlZC1jZW50LzQ1NTc2NzcwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
