title,datetime,link
Flex-A-Seal moves headquarters to Williston,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vdmVybW9udGJpei5jb20vbmV3cy8yMDIwL2phbnVhcnkvMTQvZmxleC1zZWFsLW1vdmVzLWhlYWRxdWFydGVycy13aWxsaXN0b27SAQA?hl=en-US&gl=US&ceid=US%3Aen
Samsung Expands Computing Portfolio with Galaxy Book Flex α,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vbmV3cy5zYW1zdW5nLmNvbS91cy9zYW1zdW5nLWdhbGF4eS1ib29rLWZsZXgtYWxwaGEtY29tcHV0aW5nLXBvcnRmb2xpby_SAQA?hl=en-US&gl=US&ceid=US%3Aen
CBS All Access is coming to Xfinity X1 and Flex set-top boxes,2020-01-09 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDIwLTAxLTA5LWNicy1hbGwtYWNjZXNzLWNvbWNhc3QteGZpbml0eS14MS1mbGV4Lmh0bWzSAVNodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wLzIwMjAtMDEtMDktY2JzLWFsbC1hY2Nlc3MtY29tY2FzdC14ZmluaXR5LXgxLWZsZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Hands-on with the Lenovo Chromebook Flex 5 [Video],2020-01-09 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vY2hyb21ldW5ib3hlZC5jb20vbGVub3ZvLWNocm9tZWJvb2stZmxleC1maXZlLWFmZm9yZGFibGUtY29tZXQtbGFrZS1jZXMtMjAyMC1oYW5kcy1vbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"CDTA launches Flex, a cross between ride-hailing and the bus ...",2020-01-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9hbGJhbnkvbmV3cy8yMDIwLzAxLzAzL2NkdGEtbWljcm8tdHJhbnNpdC1mbGV4LXJpZGUtc2hhcmUtdmFucy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Baseball Introduces Flex Pack, Mini-Plan Ticket Options",2020-01-14 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vcmFtYmxpbndyZWNrLmNvbS9iYXNlYmFsbC1pbnRyb2R1Y2VzLWZsZXgtcGFjay1taW5pLXBsYW4tdGlja2V0LW9wdGlvbnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Samsung Galaxy Book Flex Alpha hands-on: Cheaper, with few sacrifices",2020-01-05 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDIwLTAxLTA1LXNhbXN1bmctZ2FsYXh5LWJvb2stZmxleC1hbHBoYS1oYW5kcy1vbi1xbGVkLmh0bWzSAVlodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wLzIwMjAtMDEtMDUtc2Ftc3VuZy1nYWxheHktYm9vay1mbGV4LWFscGhhLWhhbmRzLW9uLXFsZWQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"Samsung unveils cheaper, longer-lasting, Galaxy Book Flex α laptop ...",2020-01-03 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vbmV3cy9zYW1zdW5nLXVudmVpbHMtY2hlYXBlci1sb25nZXItbGFzdGluZy1nYWxheHktYm9vay1mbGV4LWEtbGFwdG9wLWFoZWFkLW9mLWNlcy0yMDIw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Lenovo debuts two new Chromebooks: IdeaPad Duet tablet and ...,2020-01-06 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5vdGVib29rY2hlY2submV0L0xlbm92by1kZWJ1dHMtdHdvLW5ldy1DaHJvbWVib29rcy1JZGVhUGFkLUR1ZXQtdGFibGV0LWFuZC1JZGVhUGFkLUZsZXgtNS40NDg3NDguMC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Flex Challenge Has People Trying to Master a Crazy Feat,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiKGh0dHBzOi8vdGltZS5jb20vNTc2MzcxMS9mbGV4LWNoYWxsZW5nZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Samsung Galaxy Book Flex Alpha price, specs, and release date",2020-01-06 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZ3VpZGVzL3RlY2gvc2Ftc3VuZy1nYWxheHktYm9vay1mbGV4LWFscGhhLXByaWNl0gFUaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS9ndWlkZXMvdGVjaC9zYW1zdW5nLWdhbGF4eS1ib29rLWZsZXgtYWxwaGEtcHJpY2U_YW1w?hl=en-US&gl=US&ceid=US%3Aen
"Former Hawkeye gymnast gets attention for new ""flex"" video",2020-01-09 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5kZXNtb2luZXNyZWdpc3Rlci5jb20vc3RvcnkvbmV3cy8yMDIwLzAxLzA5L2Zvcm1lci1oYXdrZXllLWd5bW5hc3QtZ2V0cy1hdHRlbnRpb24tbmV3LWZsZXgtdmlkZW8tdmlyYWwtYmxlYWNoZXItcmVwb3J0LzQ0MjEwMzcwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Amazon Flex launch raises concerns about public safety and liability,2020-01-22 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5zbWguY29tLmF1L2J1c2luZXNzL3dvcmtwbGFjZS9hbWF6b24tZmxleC1sYXVuY2gtcmFpc2VzLWNvbmNlcm5zLWFib3V0LXB1YmxpYy1zYWZldHktYW5kLWxpYWJpbGl0eS0yMDIwMDEyMi1wNTN0cWcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Samsung adds a cheaper model to its Galaxy Book QLED laptop line,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS8yMDIwLTAxLTAyLXNhbXN1bmctZ2FsYXh5LWJvb2stZmxleC1hbHBoYS1xbGVkLWxhcHRvcC1wcmljZS1zcGVjcy1hdmFpbGFiaWxpdHktZ2FsYXh5LWJvb2stcy5odG1s0gF-aHR0cHM6Ly93d3cuZW5nYWRnZXQuY29tL2FtcC8yMDIwLTAxLTAyLXNhbXN1bmctZ2FsYXh5LWJvb2stZmxleC1hbHBoYS1xbGVkLWxhcHRvcC1wcmljZS1zcGVjcy1hdmFpbGFiaWxpdHktZ2FsYXh5LWJvb2stcy5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Students: Flex your political power. It starts by registering to vote.,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnVuaXZlcnNpdHlvZmNhbGlmb3JuaWEuZWR1L25ld3Mvc3R1ZGVudHMtZmxleC15b3VyLXBvbGl0aWNhbC1wb3dlci1pdC1zdGFydHMtcmVnaXN0ZXJpbmctdm90ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Flex sets Industry 4.0 Tech Priorities,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vZXBzbmV3cy5jb20vMjAyMC8wMS8xNy9mbGV4LXNldHMtaW5kdXN0cnktNC0wLXRlY2gtcHJpb3JpdGllcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Megan Thee Stallion playing a Tunnel reunion with Funk Flex ...,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmJyb29rbHludmVnYW4uY29tL21lZ2FuLXRoZWUtc3RhbGxpb24tcGxheWluZy1hLXR1bm5lbC1yZXVuaW9uLXdpdGgtZnVuay1mbGV4LXN1cGVyLWJvd2wtc2hvd3MtZmVzdHMtYW5kLW1vcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
IFBB legend Wheeler begins recovery after losing leg,2020-01-25 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lmluc2lkZXRoZWdhbWVzLmJpei9hcnRpY2xlcy8xMDg5NjI5L2lmYmItZmxleC13aGVlbGVyLWJlZ2lucy1yZWNvdmVyedIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Lenovo Chromebook Flex 5 pricing, specs and release date",2020-01-14 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vY2hyb21ldW5ib3hlZC5jb20vbGVub3ZvLWNocm9tZWJvb2stZmxleC01LXByaWNpbmctc3BlY3MtYW5kLXJlbGVhc2UtZGF0ZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Lansing Eastern High's 'Flex Academy' Reflects 21st Century Work ...,2020-01-24 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LndrYXIub3JnL2VkdWNhdGlvbi8yMDIwLTAxLTI0L2xhbnNpbmctZWFzdGVybi1oaWdocy1mbGV4LWFjYWRlbXktcmVmbGVjdHMtMjFzdC1jZW50dXJ5LXdvcmstbW9kZWxz0gF4aHR0cHM6Ly93d3cud2thci5vcmcvZWR1Y2F0aW9uLzIwMjAtMDEtMjQvbGFuc2luZy1lYXN0ZXJuLWhpZ2hzLWZsZXgtYWNhZGVteS1yZWZsZWN0cy0yMXN0LWNlbnR1cnktd29yay1tb2RlbHM_X2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen
