title,datetime,link
"Nasdaq 100 Movers: AAL, ISRG",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbmFzZGFxLTEwMC1tb3ZlcnM6LWFhbC1pc3JnLTIwMjAtMDEtMTDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Tracking Warren Buffett's Berkshire Hathaway Portfolio - Q4 2019 ...,2020-02-17 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjQ2NTMtdHJhY2tpbmctd2FycmVuLWJ1ZmZldHRzLWJlcmtzaGlyZS1oYXRoYXdheS1wb3J0Zm9saW8tcTQtMjAxOS11cGRhdGXSAQA?hl=en-US&gl=US&ceid=US%3Aen
A look at the $17B stock portfolio of the Bill and Melinda Gates ...,2020-05-26 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vdGhlbmV4dHdlYi5jb20vbmV3cy9iaWxsLWdhdGVzLWZvdW5kYXRpb24tdGVjaC1zdG9ja3MtcG9ydGZvbGlvLWFtYXpvbi10d2l0dGVyLWFsaWJhYmEtYXBwbGUtc2Nocm9kaW5nZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Top New Portfolio Additions of Howard Marks' Oaktree,2020-05-15 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90b3AtcG9ydGZvbGlvLWFkZGl0aW9ucy1ob3dhcmQtbWFya3MtMjI1NTI2MjUxLmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy90b3AtcG9ydGZvbGlvLWFkZGl0aW9ucy1ob3dhcmQtbWFya3MtMjI1NTI2MjUxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Liberty Global and Telefonica to Merge Their U.K. Operations ...,2020-05-07 00:00:00,https://news.google.com/./articles/CBMirwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDUwNjAwNjE2My9lbi9MaWJlcnR5LUdsb2JhbC1hbmQtVGVsZWZvbmljYS10by1NZXJnZS1UaGVpci1VLksuLU9wZXJhdGlvbnMtQ3JlYXRpbmctdGhlLUxlYWRpbmctRml4ZWQtTW9iaWxlLVByb3ZpZGVyLWluLXRoZS1Db3VudHJ50gEA?hl=en-US&gl=US&ceid=US%3Aen
Tracking Warren Buffett's Berkshire Hathaway Portfolio - Q1 2020 ...,2020-05-17 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzNDgyODgtdHJhY2tpbmctd2FycmVuLWJ1ZmZldHRzLWJlcmtzaGlyZS1oYXRoYXdheS1wb3J0Zm9saW8tcTEtMjAyMC11cGRhdGXSAQA?hl=en-US&gl=US&ceid=US%3Aen
21 Stocks Warren Buffett Is Selling (And 1 He's Buying),2020-05-18 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmtpcGxpbmdlci5jb20vc2xpZGVzaG93L2ludmVzdGluZy90MDUyLXMwMDEtMjEtc3RvY2tzLXdhcnJlbi1idWZmZXR0LWlzLXNlbGxpbmctMS1oZS1ib3VnaHQvaW5kZXguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Liberty Global to Acquire 100% of Sunrise Communications Group ...,2020-08-12 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDgxMTAwNTg5MS9lbi9MaWJlcnR5LUdsb2JhbC10by1BY3F1aXJlLTEwMC1vZi1TdW5yaXNlLUNvbW11bmljYXRpb25zLUdyb3VwLWJ5LVRlbmRlci1PZmZlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Baupost hedge fund sheds Cheniere Energy, trims stakes in Colony ...",2020-08-14 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM2MDU5MDgtYmF1cG9zdC1oZWRnZS1mdW5kLXNoZWRzLWNoZW5pZXJlLWVuZXJneS10cmltcy1zdGFrZXMtaW4tY29sb255LWNhcGl0YWwtcGctYW5kLWUtdW5pdmFy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Tracking Warren Buffett's Berkshire Hathaway Portfolio - Q2 2020 ...,2020-08-16 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzNjkwMjQtdHJhY2tpbmctd2FycmVuLWJ1ZmZldHRzLWJlcmtzaGlyZS1oYXRoYXdheS1wb3J0Zm9saW8tcTItMjAyMC11cGRhdGXSAQA?hl=en-US&gl=US&ceid=US%3Aen
