title,datetime,link
RPD chief on incident involving officer: 'This was an attack',2020-01-27 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vMTN3aGFtLmNvbS9uZXdzL2xvY2FsL3N1c3BlY3QtaW4tcm9jaGVzdGVyLXBvbGljZS1vZmZpY2VyLXN0YWJiaW5nLWlkZW50aWZpZWTSAVlodHRwczovLzEzd2hhbS5jb20vYW1wL25ld3MvbG9jYWwvc3VzcGVjdC1pbi1yb2NoZXN0ZXItcG9saWNlLW9mZmljZXItc3RhYmJpbmctaWRlbnRpZmllZA?hl=en-US&gl=US&ceid=US%3Aen
Adam Interviews RPD officer Denny Wright,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnJvY2hlc3RlcmZpcnN0LmNvbS9hZGFtLWludGVydmlld3MvYWRhbS1pbnRlcnZpZXdzLXJwZC1vZmZpY2VyLWRlbm55LXdyaWdodC_SAVxodHRwczovL3d3dy5yb2NoZXN0ZXJmaXJzdC5jb20vYWRhbS1pbnRlcnZpZXdzL2FkYW0taW50ZXJ2aWV3cy1ycGQtb2ZmaWNlci1kZW5ueS13cmlnaHQvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
RPD: Man suspected of dumping dirty adult diapers in playground,2020-01-28 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vcmljaG1vbmRzdGFuZGFyZC5jb20vcmljaG1vbmQvMjAyMC8wMS8yOC9ycGQtbWFuLWhhcy1iZWVuLWR1bXBpbmctZGlydHktYWR1bHQtZGlhcGVycy1pbi1wbGF5Z3JvdW5kL9IBcGh0dHBzOi8vcmljaG1vbmRzdGFuZGFyZC5jb20vcmljaG1vbmQvMjAyMC8wMS8yOC9ycGQtbWFuLWhhcy1iZWVuLWR1bXBpbmctZGlydHktYWR1bHQtZGlhcGVycy1pbi1wbGF5Z3JvdW5kL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
1st Cuffs of 2020 highlights 10 people wanted by RPD on arrest ...,2020-01-30 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnBhbC1pdGVtLmNvbS9zdG9yeS9uZXdzL2NyaW1lLzIwMjAvMDEvMzAvMXN0LWN1ZmZzLTIwMjAtZmVhdHVyZXMtMTAtcGVvcGxlLXdhbnRlZC1ycGQtYXJyZXN0LXdhcnJhbnRzLzI4NTM4OTgwMDEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"NAACP acknowledges actions of suspect, officers but thinks RPD still crossed line in arrest",2020-01-18 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vYWJjMTEuY29tL3JhbGVpZ2gtYXJyZXN0LXJwZC1ib2R5LWNhbS12aWRlby81ODYxNzI1L9IBQGh0dHBzOi8vYWJjMTEuY29tL2FtcC9yYWxlaWdoLWFycmVzdC1ycGQtYm9keS1jYW0tdmlkZW8vNTg2MTcyNS8?hl=en-US&gl=US&ceid=US%3Aen
RPD: Owner of West Ridge Road Boost Mobile shot during robbery attempt,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnJvY2hlc3RlcmZpcnN0LmNvbS9jcmltZS9ycGQtb3duZXItb2Ytd2VzdC1yaWRnZS1yZC1ib29zdC1tb2JpbGUtc2hvdC1ob3NwaXRhbGl6ZWQv0gFjaHR0cHM6Ly93d3cucm9jaGVzdGVyZmlyc3QuY29tL2NyaW1lL3JwZC1vd25lci1vZi13ZXN0LXJpZGdlLXJkLWJvb3N0LW1vYmlsZS1zaG90LWhvc3BpdGFsaXplZC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Woman alleges man in controversial RPD arrest video guilty of hit and run,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LndyYWwuY29tL3dvbWFuLWFsbGVnZXMtbWFuLWluLWNvbnRyb3ZlcnNpYWwtcnBkLWFycmVzdC12aWRlby1ndWlsdHktb2YtaGl0LWFuZC1ydW4vMTg4OTE3NTMv0gFsaHR0cHM6Ly93d3cud3JhbC5jb20vYW1wL3dvbWFuLWFsbGVnZXMtbWFuLWluLWNvbnRyb3ZlcnNpYWwtcnBkLWFycmVzdC12aWRlby1ndWlsdHktb2YtaGl0LWFuZC1ydW4vMTg4OTE3NTMv?hl=en-US&gl=US&ceid=US%3Aen
Glen Miller Park reopened after investigation of detonated explosive ...,2020-01-14 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5wYWwtaXRlbS5jb20vc3RvcnkvbmV3cy9jcmltZS8yMDIwLzAxLzE0L2dsZW4tbWlsbGVyLXBhcmstY2xvc2VkLWludmVzdGlnYXRpb24tZGV0b25hdGVkLWV4cGxvc2l2ZS1kZXZpY2UvNDQ2NTk2NTAwMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
New Richmond police officer Jared Smith excited to serve his ...,2020-01-17 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5wYWwtaXRlbS5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDIwLzAxLzE3L25ldy1yaWNobW9uZC1wb2xpY2Utb2ZmaWNlci1qYXJlZC1zbWl0aC1leGNpdGVkLXNlcnZlLWhpcy1ob21ldG93bi80NDg4MTc5MDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Sequoia Middle School put on lockdown,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8va3JjcnR2LmNvbS9uZXdzL2xvY2FsL3NlcXVvaWEtbWlkZGxlLXNjaG9vbC1wdXQtb24tbG9ja2Rvd27SAUdodHRwczovL2tyY3J0di5jb20vYW1wL25ld3MvbG9jYWwvc2VxdW9pYS1taWRkbGUtc2Nob29sLXB1dC1vbi1sb2NrZG93bg?hl=en-US&gl=US&ceid=US%3Aen
Pirate: Violent sexual offender returns to Redding area,2020-01-21 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnJlZGRpbmcuY29tL3N0b3J5L25ld3MvbG9jYWwvMjAyMC8wMS8yMS9yZWRkaW5nLXBvbGljZS1zZXgtb2ZmZW5kZXItcGlyYXRlLWxpdmluZy1ub3J0aGVybi1jYWxpZm9ybmlhLzQ1MzI5NjcwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Reid Health to form Wayne County's 3rd-largest police force,2020-01-29 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnBhbC1pdGVtLmNvbS9zdG9yeS9uZXdzL2NyaW1lLzIwMjAvMDEvMjkvcmVpZC1oZWFsdGgtcG9saWNlLWZvcmNlLXJlYWwtd2F5bmUtY291bnR5LzQ1OTc3NTAwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Raleigh police releases body cam video showing traffic stop arrest of man who claimed excessive force,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vYWJjMTEuY29tL3JhbGVpZ2gtYXJyZXN0LXJwZC1ib2R5LWNhbS12aWRlby81ODU4NjM4L9IBQGh0dHBzOi8vYWJjMTEuY29tL2FtcC9yYWxlaWdoLWFycmVzdC1ycGQtYm9keS1jYW0tdmlkZW8vNTg1ODYzOC8?hl=en-US&gl=US&ceid=US%3Aen
Suspect in Wedekind Road shooting arrested in New Mexico,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmtvbG90di5jb20vY29udGVudC9uZXdzL1JQRC1pbnZlc3RpZ2F0aW5nLS01NjcxNTAwMzEuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Reno Police identify, arrest suspect responsible for 581 separate counts of graffiti",2020-01-02 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vbXluZXdzNC5jb20vbmV3cy9sb2NhbC9yZW5vLXBvbGljZS1pZGVudGlmeS1hcnJlc3Qtc3VzcGVjdC1yZXNwb25zaWJsZS1mb3ItNTgxLXNlcGFyYXRlLWNvdW50cy1vZi1ncmFmZml0adIBdmh0dHBzOi8vbXluZXdzNC5jb20vYW1wL25ld3MvbG9jYWwvcmVuby1wb2xpY2UtaWRlbnRpZnktYXJyZXN0LXN1c3BlY3QtcmVzcG9uc2libGUtZm9yLTU4MS1zZXBhcmF0ZS1jb3VudHMtb2YtZ3JhZmZpdGk?hl=en-US&gl=US&ceid=US%3Aen
Homicide suspect found by K9 unit in Richmond’s southside,2020-01-26 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lm5iYzEyLmNvbS8yMDIwLzAxLzI3L2hvbWljaWRlLXN1c3BlY3QtY2FwdHVyZWQtYnktcnBkLWstdW5pdC_SAVhodHRwczovL3d3dy5uYmMxMi5jb20vMjAyMC8wMS8yNy9ob21pY2lkZS1zdXNwZWN0LWNhcHR1cmVkLWJ5LXJwZC1rLXVuaXQvP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
Amber Alert issued for missing 3-year-old boy after mother found dead,2020-01-08 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmtndW45LmNvbS9uZXdzL2xvY2FsLW5ld3MvYW1iZXItYWxlcnQtaXNzdWVkLWZvci1taXNzaW5nLTMteWVhci1vbGQtYm95LWFmdGVyLW1vdGhlci1mb3VuZC1kZWFk0gF1aHR0cHM6Ly93d3cua2d1bjkuY29tL25ld3MvbG9jYWwtbmV3cy9hbWJlci1hbGVydC1pc3N1ZWQtZm9yLW1pc3NpbmctMy15ZWFyLW9sZC1ib3ktYWZ0ZXItbW90aGVyLWZvdW5kLWRlYWQ_X2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen
"UPDATE: Authorities find man, van linked to Redding woman's ...",2020-01-16 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnJlZGRpbmcuY29tL3N0b3J5L25ld3MvMjAyMC8wMS8xNi9zZWFyY2gtZGFuaWVsbGUtYmlzbmVsbC1taXNzaW5nLW91dC1yZWRkaW5nLWV4cGFuZHMtb3JlZ29uLzQ0OTU2ODkwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Man already jailed arrested in connection with Friday shooting on ...,2020-01-13 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnBhbC1pdGVtLmNvbS9zdG9yeS9uZXdzL2NyaW1lLzIwMjAvMDEvMTMvbWFuLWFscmVhZHktamFpbGVkLWFycmVzdGVkLWNvbm5lY3Rpb24tZnJpZGF5LXNob290aW5nLzQ0NTQ3NjAwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Amazon van stolen, recovered in Gilpin Court with missing packages",2020-01-23 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm5iYzEyLmNvbS8yMDIwLzAxLzIzL2FtYXpvbi12YW4tc3RvbGVuLXJlY292ZXJlZC1naWxwaW4tY291cnQtd2l0aC1taXNzaW5nLXBhY2thZ2VzL9IBb2h0dHBzOi8vd3d3Lm5iYzEyLmNvbS8yMDIwLzAxLzIzL2FtYXpvbi12YW4tc3RvbGVuLXJlY292ZXJlZC1naWxwaW4tY291cnQtd2l0aC1taXNzaW5nLXBhY2thZ2VzLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen
Police: Man dies after being shot in the neck at Midlothian Inn,2020-01-18 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LndyaWMuY29tL25ld3MvbG9jYWwtbmV3cy9yaWNobW9uZC9yaWNobW9uZC1wb2xpY2UtcmVzcG9uZC10by1zaG9vdGluZy1hdC1taWRsb3RoaWFuLWlubi_SAWhodHRwczovL3d3dy53cmljLmNvbS9uZXdzL2xvY2FsLW5ld3MvcmljaG1vbmQvcmljaG1vbmQtcG9saWNlLXJlc3BvbmQtdG8tc2hvb3RpbmctYXQtbWlkbG90aGlhbi1pbm4vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
