title,datetime,link
L’Alaska celebra i due cani “eroi” Togo e Balto vinsero la difterite,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNyb25hY2FkaXZlcm9uYS5jb20vbGFsYXNrYS1jZWxlYnJhLWktZHVlLWNhbmktZXJvaS10b2dvLWUtYmFsdG8tdmluc2Vyby1sYS1kaWZ0ZXJpdGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Xenon Pharmaceuticals Is Poised For Significant Progress In 2020 ...,2020-02-06 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjIwNzIteGVub24tcGhhcm1hY2V1dGljYWxzLWlzLXBvaXNlZC1mb3Itc2lnbmlmaWNhbnQtcHJvZ3Jlc3MtaW4tMjAyMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"The Daily Biotech Pulse: Pfizer's Eczema Drug Aces Latestage Study, Orphan Drug Designation For Dicerna, Dyadic's COVID-19 Connection",2020-03-19 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kYWlseS1iaW90ZWNoLXB1bHNlLXBmaXplcnMtZWN6ZW1hLTExMzcxNTEzNy5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZGFpbHktYmlvdGVjaC1wdWxzZS1wZml6ZXJzLWVjemVtYS0xMTM3MTUxMzcuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Xenon Remains Well-Positioned And Well-Funded Despite COVID ...,2020-04-20 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMzg1MzIteGVub24tcmVtYWlucy13ZWxsLXBvc2l0aW9uZWQtYW5kLXdlbGwtZnVuZGVkLWRlc3BpdGUtY292aWRtaW51cy0xOS1yZWxhdGVkLXNldGJhY2tz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Bio Roundup: J&J Buyout, BioMarin Rebuffed, Poseida on Hold & ...",2020-08-21 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8veGNvbm9teS5jb20vbmF0aW9uYWwvMjAyMC8wOC8yMS9iaW8tcm91bmR1cC1qai1idXlvdXQtYmlvbWFyaW4tcmVidWZmZWQtcG9zZWlkYS1vbi1ob2xkLW1vcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
The politics of punk in the era of Trump,2020-10-24 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vYmxvZy5vdXAuY29tLzIwMjAvMTAvdGhlLXBvbGl0aWNzLW9mLXB1bmstaW4tdGhlLWVyYS1vZi10cnVtcC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
GWPH Stock Rockets On $7.2 Billion Jazz Pharma Takeover ...,2021-02-03 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2d3cGgtc3RvY2stcm9rZXRzLWphenotcGhhcm1hLXRha2VvdmVyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Xenon Pharmaceuticals Announces Promising New Pre-Clinical ...,2021-02-22 00:00:00,https://news.google.com/./articles/CBMi0gFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8wMi8yMi8yMTc5OTEzLzMzNDg1L2VuL1hlbm9uLVBoYXJtYWNldXRpY2Fscy1Bbm5vdW5jZXMtUHJvbWlzaW5nLU5ldy1QcmUtQ2xpbmljYWwtRGF0YS1hbmQtUHJvdmlkZXMtQ2xpbmljYWwtT3ZlcnZpZXctb2YtaXRzLVhFTjExMDEtUHJvZ3JhbS1hdC1BU0VOVC0yMDIxLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Xenon Pharmaceuticals Announces Closing of $115 Million Public ...,2021-03-12 00:00:00,https://news.google.com/./articles/CBMi2QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMS8wMy8xMi8yMTkyMjcwLzAvZW4vWGVub24tUGhhcm1hY2V1dGljYWxzLUFubm91bmNlcy1DbG9zaW5nLW9mLTExNS1NaWxsaW9uLVB1YmxpYy1PZmZlcmluZy1hbmQtRnVsbC1FeGVyY2lzZS1vZi10aGUtVW5kZXJ3cml0ZXJzLU9wdGlvbi10by1QdXJjaGFzZS1BZGRpdGlvbmFsLVNoYXJlcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
62 Musicians Predict the 2021 Baseball Season,2021-03-29 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50LzYyLW11c2ljaWFucy1wcmVkaWN0LTIwMjEtYmFzZWJhbGwtMTQwMDU1MTA2Lmh0bWzSAV1odHRwczovL3d3dy55YWhvby5jb20vYW1waHRtbC9lbnRlcnRhaW5tZW50LzYyLW11c2ljaWFucy1wcmVkaWN0LTIwMjEtYmFzZWJhbGwtMTQwMDU1MTA2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
