title,datetime,link
ZG Capital Partners Acquires Bronx’s Bruckner Building,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3Lmdsb2Jlc3QuY29tLzIwMjAvMDEvMTcvemctY2FwaXRhbC1wYXJ0bmVycy1hY3F1aXJlcy1icm9ueHMtYnJ1Y2tuZXItYnVpbGRpbmcv0gFfaHR0cHM6Ly93d3cuZ2xvYmVzdC5jb20vMjAyMC8wMS8xNy96Zy1jYXBpdGFsLXBhcnRuZXJzLWFjcXVpcmVzLWJyb254cy1icnVja25lci1idWlsZGluZy8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
ZG Capital Places Bets on South Bronx Creative Office Development,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3Lmdsb2Jlc3QuY29tLzIwMjAvMDEvMDYvemctY2FwaXRhbC1wbGFjZXMtYmV0cy1vbi1zb3V0aC1icm9ueC1jcmVhdGl2ZS1vZmZpY2UtZGV2ZWxvcG1lbnQv0gFraHR0cHM6Ly93d3cuZ2xvYmVzdC5jb20vMjAyMC8wMS8wNi96Zy1jYXBpdGFsLXBsYWNlcy1iZXRzLW9uLXNvdXRoLWJyb254LWNyZWF0aXZlLW9mZmljZS1kZXZlbG9wbWVudC8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
"Hotel BOAT&CO Review, Amsterdam, Netherlands | Telegraph Travel",2020-01-07 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay90cmF2ZWwvZGVzdGluYXRpb25zL2V1cm9wZS9uZXRoZXJsYW5kcy9hbXN0ZXJkYW0vaG90ZWxzL2hvdGVsLWJvYXQtY28v0gEA?hl=en-US&gl=US&ceid=US%3Aen
JLL Sells Bruckner Building in the Bronx for $65 Million,2020-01-22 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LnByb3BlcnR5c2hhcmsuY29tL1JlYWwtRXN0YXRlLVJlcG9ydHMvMjAyMC8wMS8yMi9qbGwtc2VsbHMtYnJ1Y2tuZXItYnVpbGRpbmctaW4tdGhlLWJyb254LWZvci02NS1taWxsaW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Zillow Expands Efforts to Simplify New Construction Home Buying,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAxLzIzL2hvdy16aWxsb3ctc2ltcGxpZmllZC1uZXctY29uc3RydWN0aW9uLWhvbWUtYnV5LmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Are Gigi Hadid & Zayn Malik Back Together? All Signs Point to Yes!,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vc3R5bGVjYXN0ZXIuY29tL2dpZ2ktaGFkaWQtemF5bi1tYWxpay1iYWNrLXRvZ2V0aGVyLWJpcnRoZGF5LTIwMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Dematic expands micro-fulfillment application for retail,2020-01-13 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnNkY2V4ZWMuY29tL3dhcmVob3VzaW5nL25ld3MvMjExMTAwOTQvZGVtYXRpYy1jb3JwLWRlbWF0aWMtZXhwYW5kcy1taWNyb2Z1bGZpbGxtZW50LWFwcGxpY2F0aW9uLWZvci1yZXRhaWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
8 Quirky ETFs for Not-So-Quirky Profits,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvOC1xdWlya3ktZXRmcy1mb3Itbm90LXNvLXF1aXJreS1wcm9maXRzLTIwMjAtMDEtMTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Fester: The new free beauty newspaper from CSM students,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vaS1kLnZpY2UuY29tL2VuL2FydGljbGUvZHlnOG5qL2Zlc3Rlci1uZXctY3NtLXN0dWRlbnRzLWJlYXV0eS1uZXdzcGFwZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Warriors players react to Kobe Bryant's tragic death in helicopter crash,2020-01-26 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lm5iY3Nwb3J0cy5jb20vYmF5YXJlYS93YXJyaW9ycy93YXJyaW9ycy1wbGF5ZXJzLXJlYWN0LWtvYmUtYnJ5YW50cy10cmFnaWMtZGVhdGgtaGVsaWNvcHRlci1jcmFzaNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"As we act on climate, we mustn't neglect nature (commentary)",2020-01-14 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAyMC8wMS9hcy13ZS1hY3Qtb24tY2xpbWF0ZS13ZS1tdXN0bnQtbmVnbGVjdC1uYXR1cmUtY29tbWVudGFyeS_SAV9odHRwczovL25ld3MubW9uZ2FiYXkuY29tLzIwMjAvMDEvYXMtd2UtYWN0LW9uLWNsaW1hdGUtd2UtbXVzdG50LW5lZ2xlY3QtbmF0dXJlLWNvbW1lbnRhcnkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Guyana National Bureau of Standards announces preparedness for ...,2020-01-09 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmJuYW1lcmljYXMuY29tL2VuL25ld3MvZ3V5YW5hLW5hdGlvbmFsLWJ1cmVhdS1vZi1zdGFuZGFyZHMtYW5ub3VuY2VzLXByZXBhcmVkbmVzcy1mb3Itcm9sZS1pbi1vaWwtYW5kLWdhcy1zZWN0b3LSAQA?hl=en-US&gl=US&ceid=US%3Aen
Stock Picks & Analyst Ratings from Piper Sandler,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL3JhdGluZ3MvYnktaXNzdWVyL3BpcGVyLXNhbmRsZXItc3RvY2stcmVjb21tZW5kYXRpb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
