sector,name,rate,market cap
Consumer Discretionary,AAL,8.76,10.644510662
Industrials,AAON,9.95,4.25596296
Technology,AAPL,16.25,2644.811217
Consumer Discretionary,AAWW,38.38,2.891729986
Finance,ABCB,16.21,3.393533926
Health Care,ABCL,-4.65,2.743703095
Health Care,ABCM,1.77,3.308393618
Consumer Discretionary,ABNB,21.65,78.486109321
Health Care,ACAD,-1.81,3.136603354
Finance,ACGL,-5.35,25.113162057
Health Care,ACHC,14.46,7.464639302
Technology,ACIW,10.71,2.920603717
Technology,ACLS,46.38,3.99625575
Finance,ACT,7.0,4.005928304
Technology,ADBE,11.56,163.36593
Technology,ADI,19.98,97.482835082
Consumer Discretionary,ADP,13.17,94.760125898
Technology,ADSK,25.47,47.46453333
Consumer Discretionary,AEIS,31.84,3.631395791
Utilities,AEP,1.17,47.486142484
Technology,AFRM,58.06,3.816052192
Real Estate,AGNC,10.37,6.545833
Technology,AGYS,-1.56,2.08878443
Health Care,AHCO,22.73,2.999126863
Industrials,AIMC,13.92,4.010146437
Consumer Discretionary,AKAM,3.48,12.0588
Health Care,AKRO,4.83,2.103875738
Technology,ALGM,26.15,8.522118104
Health Care,ALGN,14.34,24.481683
Health Care,ALHC,26.87,2.07297906
Health Care,ALKS,-17.56,4.612247833
Health Care,ALNY,-5.6,27.409460253
Technology,ALRM,12.95,2.648268321
Technology,ALTR,13.69,4.452712744
Health Care,ALVO,-18.85,3.304551921
Technology,AMAT,23.33,97.324948909
Technology,AMBA,36.02,3.609038896
Technology,AMD,31.37,127.748150538
Health Care,AMED,15.39,3.15947589
Health Care,AMGN,0.04,128.437304526
Technology,AMKR,32.58,6.494278078
Health Care,AMLX,32.56,2.460093374
Consumer Discretionary,AMZN,23.58,989.19353304
Technology,ANSS,16.25,23.586508749
Energy,APA,1.87,12.2463845
Health Care,APLS,22.74,6.135837103
Technology,APP,-2.32,5.604366508
Technology,APPF,9.33,4.655297308
Technology,APPN,4.5,3.33428765
Industrials,ARCB,24.1,2.475753246
Finance,ARCC,4.98,10.457347647
Health Care,ARGX,-5.87,20.635918274
Consumer Discretionary,ARHS,25.5,2.004304635
Energy,ARLP,22.42,2.723249639
Technology,ARRY,43.69,3.057967305
Health Care,ARWR,16.16,3.655468001
Technology,ASML,28.53,262.817903676
Health Care,ASND,-9.25,6.652227546
Consumer Discretionary,ASO,25.35,4.896558995
Consumer Discretionary,ATAT,0.0,3.103682268
Consumer Discretionary,ATVI,1.92,60.708245995
Technology,AUR,30.61,2.0988
Industrials,AVAV,2.06,2.207051333
Technology,AVDX,11.16,2.014868223
Technology,AVGO,12.25,248.888806123
Technology,AVT,13.91,4.242749396
Health Care,AXNX,15.01,2.843515635
Consumer Discretionary,AXON,19.06,13.468754898
Health Care,AXSM,-11.27,2.893050912
Utilities,AY,4.38,3.006988315
Health Care,AZN,-0.45,213.781953131
Technology,AZPN,7.43,13.857813644
Health Care,AZTA,-4.49,3.2098507
Finance,BANF,11.0,2.948608976
Finance,BANR,5.91,2.196965657
Industrials,BCPC,-1.93,4.438503051
Health Care,BEAM,47.88,3.042145046
Consumer Discretionary,BECN,16.98,3.993502123
Health Care,BGNE,-2.67,24.165136468
Finance,BHF,1.41,4.039330503
Technology,BIDU,-10.88,48.967963197
Health Care,BIIB,-0.65,40.221914133
Technology,BILI,-12.79,8.904349739
Consumer Discretionary,BKNG,7.84,95.49986115
Energy,BKR,-15.23,30.933149596
Technology,BL,-6.88,4.287197332
Technology,BLKB,6.89,3.110363189
Consumer Discretionary,BLMN,20.04,2.415203146
Technology,BMBL,22.41,2.948853547
Health Care,BMRN,0.51,20.129295984
Health Care,BNTX,3.8,33.641050287
Finance,BOKF,14.85,6.995168494
Health Care,BPMC,1.34,2.76537084
Finance,BPOP,-0.82,5.248195709
Industrials,BRKR,8.66,10.844409241
Technology,BRZE,13.25,2.979340357
Technology,BSY,16.71,11.792378035
Technology,BZ,-20.95,9.832025586
Finance,CACC,17.35,6.007437257
Consumer Discretionary,CAKE,4.15,2.061947454
Consumer Staples,CALM,0.8,3.002353943
Consumer Discretionary,CAR,20.0,9.986770666
nan,CARG,9.9,2.03022692
Miscellaneous,CASY,10.17,8.096671147
Finance,CATY,5.12,3.261758051
Consumer Discretionary,CBRL,13.44,2.455002282
Finance,CBSH,5.73,8.377439682
Technology,CCCS,7.7,5.685716928
Consumer Staples,CCEP,1.5,25.703513922
Consumer Discretionary,CCOI,3.97,3.266123157
Finance,CD,-24.34,2.908473657
Technology,CDNS,23.66,53.0704536
Consumer Discretionary,CDW,15.61,28.964192779
Utilities,CEG,13.37,27.649363022
Consumer Staples,CELH,49.89,7.229198063
