title,datetime,link
'It's a piece of history': American Electric Power plant's legacy will ...,2020-01-11 00:00:00,https://news.google.com/./articles/CBMimAFodHRwczovL3d3dy5jb3Nob2N0b250cmlidW5lLmNvbS9zdG9yeS9uZXdzL2xvY2FsLzIwMjAvMDEvMTEvYW1lcmljYW4tZWxlY3RyaWMtcG93ZXItcGxhbnQtYWVwLWNvbmVzdmlsbGUtbGVnYWN5LWpvaG5zb24taHVtcmlja2hvdXNlLW11c2V1bS80MzgzNjIyMDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Retirees help AEP Conesville plant reach end of the line,2020-01-04 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmNvc2hvY3RvbnRyaWJ1bmUuY29tL3N0b3J5L25ld3MvbG9jYWwvMjAyMC8wMS8wNC9yZXRpcmVlcy1oZWxwLWFlcC1jb25lc3ZpbGxlLXBsYW50LXJlYWNoLWVuZC1saW5lLzQzODM1ODcwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Renewable energy is growing fast in the U.S., but fossil fuels still ...",2020-01-15 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnBld3Jlc2VhcmNoLm9yZy9mYWN0LXRhbmsvMjAyMC8wMS8xNS9yZW5ld2FibGUtZW5lcmd5LWlzLWdyb3dpbmctZmFzdC1pbi10aGUtdS1zLWJ1dC1mb3NzaWwtZnVlbHMtc3RpbGwtZG9taW5hdGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"SWEPCO to shut Louisiana coal plant by end of 2026, explore ...",2020-01-09 00:00:00,https://news.google.com/./articles/CBMisQFodHRwczovL3d3dy5zcGdsb2JhbC5jb20vY29tbW9kaXR5aW5zaWdodHMvZW4vbWFya2V0LWluc2lnaHRzL2xhdGVzdC1uZXdzL2VsZWN0cmljLXBvd2VyLzAxMDkyMC1zd2VwY28tdG8tc2h1dC1sb3Vpc2lhbmEtY29hbC1wbGFudC1ieS1lbmQtb2YtMjAyNi1leHBsb3JlLXJldGlyZW1lbnQtb2YtMi1vdGhlcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Japanese and U.S. firms tie up in bid to use old EV batteries to slash ...,2020-01-28 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmphcGFudGltZXMuY28uanAvbmV3cy8yMDIwLzAxLzI4L2J1c2luZXNzL29sZC1ldi1iYXR0ZXJpZXMtcG93ZXItc3RvcmFnZS1jb3N0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
How 4 Top US Utilities Are Grappling With Climate Change and the Energy Transition (or Not),2020-01-22 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmdyZWVudGVjaG1lZGlhLmNvbS9hcnRpY2xlcy9yZWFkL2hvdy00LXRvcC11LXMtdXRpbGl0aWVzLWFyZS1ncmFwcGxpbmctd2l0aC10aGUtZW5lcmd5LXRyYW5zaXRpb27SAWtodHRwczovL3d3dy5ncmVlbnRlY2htZWRpYS5jb20vYW1wL2FydGljbGUvaG93LTQtdG9wLXUtcy11dGlsaXRpZXMtYXJlLWdyYXBwbGluZy13aXRoLXRoZS1lbmVyZ3ktdHJhbnNpdGlvbg?hl=en-US&gl=US&ceid=US%3Aen
"To Store Renewable Energy, Try Freezing Air",2020-01-02 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnNjaWVudGlmaWNhbWVyaWNhbi5jb20vYXJ0aWNsZS90by1zdG9yZS1yZW5ld2FibGUtZW5lcmd5LXRyeS1mcmVlemluZy1haXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Old Electric Car Batteries May Help Cut Costs of Storing Power,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9vbGQtZWxlY3RyaWMtY2FyLWJhdHRlcmllcy1tYXktMjAwMDAwNjE0Lmh0bWzSAVRodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9vbGQtZWxlY3RyaWMtY2FyLWJhdHRlcmllcy1tYXktMjAwMDAwNjE0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Power Grid Components Acquires Royal Switchgear Manufacturing ...,2020-01-14 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5pbmRkaXN0LmNvbS9tZXJnZXJzLWFjcXVpc2l0aW9ucy9uZXdzLzIxMTEwMTg5L3Bvd2VyLWdyaWQtY29tcG9uZW50cy1hY3F1aXJlcy1yb3lhbC1zd2l0Y2hnZWFyLW1hbnVmYWN0dXJpbmctY29tcGFuedIBAA?hl=en-US&gl=US&ceid=US%3Aen
Appalachian Power renews search for 200 MW of solar,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vcHYtbWFnYXppbmUtdXNhLmNvbS8yMDIwLzAxLzI5L2FwcGFsYWNoaWFuLXBvd2VyLXJlbmV3cy1zZWFyY2gtZm9yLTIwMC1tdy1vZi1zb2xhci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
