title,datetime,link
eConnect Demonstrates its Hospitality Solutions at Agilysys Inspire ...,2020-01-29 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy9lY29ubmVjdF9kZW1vbnN0cmF0ZXNfaXRzX2hvc3BpdGFsaXR5X3NvbHV0aW9uc19hdF9hZ2lseXN5c19pbnNwaXJlXzIwMjAvcHJ3ZWIxNjg2MjAzMy5odG3SAQA?hl=en-US&gl=US&ceid=US%3Aen
How To Help Your Front Desk Colleagues Overcome “Compassion ...,2020-01-15 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmhvdGVsLW9ubGluZS5jb20vcHJlc3NfcmVsZWFzZXMvcmVsZWFzZS9ob3ctdG8taGVscC15b3VyLWZyb250LWRlc2stY29sbGVhZ3Vlcy1vdmVyY29tZS1jb21wYXNzaW9uLWZhdGlndWUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
City Center Hotels Opens Dual-Branded Marriott Hotels and ...,2020-01-29 00:00:00,https://news.google.com/./articles/CBMimwFodHRwczovL3d3dy5ob3RlbC1vbmxpbmUuY29tL3ByZXNzX3JlbGVhc2VzL3JlbGVhc2UvY2l0eS1jZW50ZXItaG90ZWxzLW9wZW5zLWR1YWwtYnJhbmRlZC1tYXJyaW90dC1ob3RlbHMtYW5kLXJlc2lkZW5jZS1pbm4taW4tZG93bnRvd24tbGV4aW5ndG9uLWtlbnR1Y2t5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The future of medtech: how radio could transform in-hospital connectivity,2020-02-11 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lm1lZC10ZWNobmV3cy5jb20vbWVkdGVjaC1pbnNpZ2h0cy90aGUtZnV0dXJlLW9mLW1lZHRlY2gtaG93LXJhZGlvLWNvdWxkLXRyYW5zZm9ybS1pbi1ob3NwaXRhbC0v0gFzaHR0cHM6Ly93d3cubWVkLXRlY2huZXdzLmNvbS9hcGkvYW1wL21lZHRlY2gtaW5zaWdodHMvdGhlLWZ1dHVyZS1vZi1tZWR0ZWNoLWhvdy1yYWRpby1jb3VsZC10cmFuc2Zvcm0taW4taG9zcGl0YWwtLw?hl=en-US&gl=US&ceid=US%3Aen
Seaside Finolhu becomes the first luxury resort in Maldives to be ...,2020-02-26 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy50cmF2ZWxkYWlseW5ld3MuY29tL3Bvc3Qvc2Vhc2lkZS1maW5vbGh1LWJlY29tZXMtdGhlLWZpcnN0LWx1eHVyeS1yZXNvcnQtaW4tbWFsZGl2ZXMtdG8tYmUtYWNjZXB0ZWQtYXMtYS1tZW1iZXItb2YtZGVzaWduLWhvdGVsc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Al Kalbani Group announces the opening of Royal Tulip Muscat Hotel,nan,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LnRyYXZlbGRhaWx5bmV3cy5jb20vdW5jYXRlZ29yaXplZC9hbC1rYWxiYW5pLWdyb3VwLWFubm91bmNlcy10aGUtb3BlbmluZy1vZi1yb3lhbC10dWxpcC1tdXNjYXQtaG90ZWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Market Sentiment Around Loss-Making Agilysys, Inc. (NASDAQ:AGYS)",2020-03-01 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9tYXJrZXQtc2VudGltZW50LWFyb3VuZC1sb3NzLW1ha2luZy0xMzI3MzYxMDYuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL21hcmtldC1zZW50aW1lbnQtYXJvdW5kLWxvc3MtbWFraW5nLTEzMjczNjEwNi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Wyndham Destinations Provides Update On Liquidity And 2020 ...,2020-03-26 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3Lmhvc3BpdGFsaXR5bmV0Lm9yZy9uZXdzLzQwOTc3ODQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Dr Isaac Mathai residence announced for Mandarin Oriental London ...,2020-03-04 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnNwYW9wcG9ydHVuaXRpZXMuY29tL2luZGV4LmNmbT9wYWdldHlwZT1uZXdzJmNvZGVJRD0zNDQ4MTnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Accor shelters Australia in fight Against COVID-19,2020-04-08 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmhvdGVsLW9ubGluZS5jb20vcHJlc3NfcmVsZWFzZXMvcmVsZWFzZS9hY2Nvci1zaGVsdGVycy1hdXN0cmFsaWEtaW4tZmlnaHQtYWdhaW5zdC1jb3ZpZC0xOS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Caesars Merger with Eldorado Moving Forward – European Gaming ...,2020-04-03 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vZXVyb3BlYW5nYW1pbmcuZXUvcG9ydGFsL2xhdGVzdC1uZXdzLzIwMjAvMDQvMDMvNjc3MzAvY2Flc2Fycy1tZXJnZXItd2l0aC1lbGRvcmFkby1tb3ZpbmctZm9yd2FyZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
IGT Signs Deal with Circa Sports – European Gaming Industry News,2020-04-17 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vZXVyb3BlYW5nYW1pbmcuZXUvcG9ydGFsL2xhdGVzdC1uZXdzLzIwMjAvMDQvMTcvNjg3MzQvaWd0LXNpZ25zLWRlYWwtd2l0aC1jaXJjYS1zcG9ydHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Dave Wood has been promoted Chief Financial Officer at Agilysys, Inc.",2020-05-27 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3Lmhvc3BpdGFsaXR5bmV0Lm9yZy9hcHBvaW50bWVudC83OTAyMDM3Mi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Agilysys Announces $35 Million Convertible Preferred Investment by ...,2020-05-11 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDUxMTAwNTU3Mi9lbi9BZ2lseXN5cy1Bbm5vdW5jZXMtMzUtTWlsbGlvbi1Db252ZXJ0aWJsZS1QcmVmZXJyZWQtSW52ZXN0bWVudC1ieS1NQUstQ2FwaXRhbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Domio Develops Apart-Hotel Industry's Most Comprehensive ...,2020-05-08 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3Lmhvc3BpdGFsaXR5bmV0Lm9yZy9uZXdzLzQwOTg1NTEuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Inchcape appoints former Fujitsu director Duncan Tait as Group CEO,2020-05-04 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmFtLW9ubGluZS5jb20vbmV3cy9wZW9wbGUtbmV3cy8yMDIwLzA1LzA0L2luY2hjYXBlLWFwcG9pbnRzLWZvcm1lci1mdWppdHN1LWRpcmVjdG9yLWR1bmNhbi10YWl0LWFzLWdyb3VwLWNlb9IBfGh0dHBzOi8vd3d3LmFtLW9ubGluZS5jb20vYW1wL25ld3MvcGVvcGxlLW5ld3MvMjAyMC8wNS8wNC9pbmNoY2FwZS1hcHBvaW50cy1mb3JtZXItZnVqaXRzdS1kaXJlY3Rvci1kdW5jYW4tdGFpdC1hcy1ncm91cC1jZW8?hl=en-US&gl=US&ceid=US%3Aen
Scarlet Nexus From Bandai Namco Entertainment Inc Announced ...,2020-05-08 00:00:00,https://news.google.com/./articles/CBMilwFodHRwczovL3d3dy5maW5hbmNpYWxidXp6LmNvbS9zY2FybGV0LW5leHVzLWZyb20tYmFuZGFpLW5hbWNvLWVudGVydGFpbm1lbnQtaW5jLWFubm91bmNlZC1mb3IteGJveC1zZXJpZXMteC1jdXJyZW50LW5leHQtZ2VuLWhvbWUtZ2FtZS1jb25zb2xlcy1hbmQtcGMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Hedge Funds Are Selling Verso Corporation (VRS),2020-06-22 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZWRnZS1mdW5kcy1zZWxsaW5nLXZlcnNvLWNvcnBvcmF0aW9uLTE1MzgzMjEzMi5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvaGVkZ2UtZnVuZHMtc2VsbGluZy12ZXJzby1jb3Jwb3JhdGlvbi0xNTM4MzIxMzIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Design Hotels Reports Significant negative financial impact through ...,2020-06-23 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3Lmhvc3BpdGFsaXR5bmV0Lm9yZy9uZXdzLzQwOTkzMTAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
EMpower Top 100 Ethnic Minority Future Leaders 2020,2020-06-17 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vdWsuZmluYW5jZS55YWhvby5jb20vbmV3cy95YWhvby1maW5hbmNlLWVtcG93ZXItdG9wLTEwMC1ldGhuaWMtbWlub3JpdHktZnV0dXJlLWxlYWRlcnMtMjAyMC0yMzAxMDkzNzQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Diabetes and the role of digital health,2020-06-03 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3Lm1lZC10ZWNobmV3cy5jb20vbWVkdGVjaC1pbnNpZ2h0cy9kaWFiZXRlcy1hbmQtdGhlLXJvbGUtb2YtZGlnaXRhbC1oZWFsdGgv0gFeaHR0cHM6Ly93d3cubWVkLXRlY2huZXdzLmNvbS9hcGkvYW1wL21lZHRlY2gtaW5zaWdodHMvZGlhYmV0ZXMtYW5kLXRoZS1yb2xlLW9mLWRpZ2l0YWwtaGVhbHRoLw?hl=en-US&gl=US&ceid=US%3Aen
Greece to Receive 350 Bradley IFVs from US Surplus,2020-06-05 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAyMC8wNi8wNS9ncmVlY2UtdG8tcmVjZWl2ZS0zNTAtYnJhZGxleS1pZnZzLWZyb20tdXMtc3VycGx1cy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Rent the Runway hires new chief technology, people officers",2020-07-23 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvcmVudC10aGUtcnVud2F5LWhpcmVzLW5ldy1jaGllZi10ZWNobm9sb2d5LXBlb3BsZS1vZmZpY2Vycy81ODIxNzkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
