title,datetime,link
"DI People: AECOM, American Airlines, Michaels, and Aventiv Make ...",2020-01-07 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vZGFsbGFzaW5ub3ZhdGVzLmNvbS9kaS1wZW9wbGUtYWVjb20tYW1lcmljYW4tYWlybGluZXMtbWljaGFlbHMtYW5kLWF2ZW50aXYtbWFrZS1leGVjdXRpdmUtbW92ZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Were Hedge Funds Right About Apollo Investment Corp. (AINV)?,2020-05-06 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93ZXJlLWhlZGdlLWZ1bmRzLWFwb2xsby1pbnZlc3RtZW50LTE3MjUwNTE2MS5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3Mvd2VyZS1oZWRnZS1mdW5kcy1hcG9sbG8taW52ZXN0bWVudC0xNzI1MDUxNjEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Meet the Finalists in D CEO's Financial Executives Awards,2020-06-01 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmRtYWdhemluZS5jb20vcHVibGljYXRpb25zL2QtY2VvLzIwMjAvbWF5L21lZXQtdGhlLWZpbmFsaXN0cy1kLWNlb3MtZmluYW5jaWFsLWV4ZWN1dGl2ZXMtYXdhcmRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
CSW Industrials Announces Definitive Agreement to Acquire ...,2020-11-05 00:00:00,https://news.google.com/./articles/CBMioAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8xMS8wNS8yMTIwOTE4LzM3MDc1L2VuL0NTVy1JbmR1c3RyaWFscy1Bbm5vdW5jZXMtRGVmaW5pdGl2ZS1BZ3JlZW1lbnQtdG8tQWNxdWlyZS1UUlVhaXJlLWZvci0zNjAtTWlsbGlvbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
CSW Industrials Completes Previously Announced Acquisition of ...,2020-12-15 00:00:00,https://news.google.com/./articles/CBMijQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMC8xMi8xNS8yMTQ1ODEzLzAvZW4vQ1NXLUluZHVzdHJpYWxzLUNvbXBsZXRlcy1QcmV2aW91c2x5LUFubm91bmNlZC1BY3F1aXNpdGlvbi1vZi1UUlVhaXJlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Whitmore and Shell Lubricants Announce Definitive Agreement to ...,2021-01-22 00:00:00,https://news.google.com/./articles/CBMigwJodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8wMS8yMi8yMTYyNzg0LzM3MDc1L2VuL1doaXRtb3JlLWFuZC1TaGVsbC1MdWJyaWNhbnRzLUFubm91bmNlLURlZmluaXRpdmUtQWdyZWVtZW50LXRvLUZvcm0tSm9pbnQtVmVudHVyZS10by1Qcm92aWRlLUluZHVzdHJpYWwtUHJvZHVjdHMtYW5kLVNlcnZpY2VzLXRvLU5vcnRoLUFtZXJpY2EtUmFpbC1hbmQtVW5pdGVkLVN0YXRlcy1NaW5pbmctQ3VzdG9tZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Shell Lubricants and Whitmore Announce Definitive Agreement to ...,2021-01-22 00:00:00,https://news.google.com/./articles/CBMitAFodHRwczovL3d3dy5zaGVsbC5jb20vYnVzaW5lc3MtY3VzdG9tZXJzL2x1YnJpY2FudHMtZm9yLWJ1c2luZXNzL25ld3MtYW5kLW1lZGlhLXJlbGVhc2VzLzIwMjEvc2hlbGwtbHVicmljYW50cy1hbmQtd2hpdG1vcmUtYW5ub3VuY2UtZGVmaW5pdGl2ZS1hZ3JlZW1lbnQtdG8tZm9ybS1qb2ludC12ZW50dXJlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
CSW's Whitmore to manufacture & supply Shell lubricants for US ...,2021-01-22 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vaW0tbWluaW5nLmNvbS8yMDIxLzAxLzIyL2Nzd3Mtd2hpdG1vcmUtbWFudWZhY3R1cmUtc3VwcGx5LXNoZWxsLWx1YnJpY2FudHMtdXMtbWluaW5nLW5ldy1qdi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Vernon Bitzer Associates now offering RectorSeal products | 2021 ...,2021-01-12 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnN1cHBseWh0LmNvbS9hcnRpY2xlcy8xMDM2OTItdmVybm9uLWJpdHplci1hc3NvY2lhdGVzLW5vdy1vZmZlcmluZy1yZWN0b3JzZWFsLXByb2R1Y3Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Canoo Announces Its Board Of Directors,2021-01-13 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvY2Fub28tYW5ub3VuY2VzLWl0cy1ib2FyZC1vZi1kaXJlY3RvcnMtMzAxMjA3OTYwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Whitmore and Shell Lubricants Form Previously Announced Joint ...,2021-04-01 00:00:00,https://news.google.com/./articles/CBMigwJodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8wNC8wMS8yMjAzNjcxLzM3MDc1L2VuL1doaXRtb3JlLWFuZC1TaGVsbC1MdWJyaWNhbnRzLUZvcm0tUHJldmlvdXNseS1Bbm5vdW5jZWQtSm9pbnQtVmVudHVyZS10by1Qcm92aWRlLUx1YnJpY2FudC1hbmQtUmVsaWFiaWxpdHktUHJvZHVjdHMtYW5kLVNlcnZpY2VzLXRvLU5vcnRoLUFtZXJpY2EtUmFpbC1hbmQtVW5pdGVkLVN0YXRlcy1NaW5pbmctQ3VzdC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Supply Side: Cando Rail, Consolidated Chassis Management ...",2021-04-07 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnJhaWx3YXlhZ2UuY29tL2ludGVybW9kYWwvc3VwcGx5LXNpZGUtY2FuZG8tcmFpbC1jb25zb2xpZGF0ZWQtY2hhc3Npcy1tYW5hZ2VtZW50LXdoaXRtb3JlLXNoZWxsLWx1YnJpY2FudHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Aspen Manufacturing Hires New Vice President of Sales and ...,2021-05-19 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmFjaHJuZXdzLmNvbS9hcnRpY2xlcy8xNDQ5MjEtYXNwZW4tbWFudWZhY3R1cmluZy1oaXJlcy1uZXctdmljZS1wcmVzaWRlbnQtb2Ytc2FsZXMtYW5kLW1hcmtldGluZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Ex-Dividend Reminder: First Republic Bank, Marsh & McLennan ...",2021-07-26 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZXgtZGl2aWRlbmQtcmVtaW5kZXI6LWZpcnN0LXJlcHVibGljLWJhbmstbWFyc2gtbWNsZW5uYW4tY29tcGFuaWVzLWFuZC1jc3ctaW5kdXN0cmlhbHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX NEW COVENANT FUNDS For: Jun 30,2021-08-25 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtORVcrQ09WRU5BTlQrRlVORFMrRm9yJTNBK0p1biszMC8xODg2Mzg2OS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX VANGUARD SCOTTSDALE FUND For: Jun 30,2021-08-27 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtWQU5HVUFSRCtTQ09UVFNEQUxFK0ZVTkQrRm9yJTNBK0p1biszMC8xODg3NDA1Ny5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Workspace Innovation Company Vari Forms Advisory Board of ...,2021-09-15 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vZGFsbGFzaW5ub3ZhdGVzLmNvbS93b3Jrc3BhY2UtaW5ub3ZhdGlvbi1jb21wYW55LXZhcmktZm9ybXMtYWR2aXNvcnktYm9hcmQtb2YtaW5kdXN0cnktbGVhZGVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Patent Filings Roundup: Samsung Seeks Declaratory Judgment ...,2021-09-01 00:00:00,https://news.google.com/./articles/CBMi5QFodHRwczovL2lwd2F0Y2hkb2cuY29tLzIwMjEvMDkvMDEvcGF0ZW50LWZpbGluZ3Mtcm91bmR1cC1zYW1zdW5nLXNlZWtzLWRlY2xhcmF0b3J5LWp1ZGdtZW50LWFnYWluc3QtbWFnZW50YXItZW50aXRpZXMtYWZ0ZXItc2V0dGxlbWVudC1wdGFiLTMyNWQtZGlzY3JldGlvbi1oaWdobGlnaHRlZC13aXRoLWZvdXItZGVuaWFscy1kaXN0cmljdC1jb3VydC1saXRpZ2F0aW9uLXNwaWtlcy9pZD0xMzcyODIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
CSW Industrials Completes Acquisition of Shoemaker ...,2021-12-15 00:00:00,https://news.google.com/./articles/CBMioAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMS8xMi8xNS8yMzUyNjg4LzM3MDc1L2VuL0NTVy1JbmR1c3RyaWFscy1Db21wbGV0ZXMtQWNxdWlzaXRpb24tb2YtU2hvZW1ha2VyLU1hbnVmYWN0dXJpbmctZm9yLTQxLTMtTWlsbGlvbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Whitmore Manufacturing hires Vice President of Sales,2022-01-13 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3Lmdsb2JhbG1pbmluZ3Jldmlldy5jb20vZmluYW5jZS1idXNpbmVzcy8xMzAxMjAyMi93aGl0bW9yZS1tYW51ZmFjdHVyaW5nLWhpcmVzLXZpY2UtcHJlc2lkZW50LW9mLXNhbGVzL9IBdmh0dHBzOi8vd3d3Lmdsb2JhbG1pbmluZ3Jldmlldy5jb20vZmluYW5jZS1idXNpbmVzcy8xMzAxMjAyMi93aGl0bW9yZS1tYW51ZmFjdHVyaW5nLWhpcmVzLXZpY2UtcHJlc2lkZW50LW9mLXNhbGVzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
These 15 high-yielding TSX dividend stocks have sustainable payouts,2022-01-12 00:00:00,https://news.google.com/./articles/CBMilwFodHRwczovL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2ludmVzdGluZy9pbnZlc3RtZW50LWlkZWFzL251bWJlci1jcnVuY2hlci9hcnRpY2xlLXRoZXNlLTE1LWhpZ2gteWllbGRpbmctdHN4LWRpdmlkZW5kLXN0b2Nrcy1oYXZlLXN1c3RhaW5hYmxlLXBheW91dHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Anti-seize Compounds Market is expected to reach a valuation of ...,2022-02-16 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmRpZ2l0YWxqb3VybmFsLmNvbS9wci9hbnRpLXNlaXplLWNvbXBvdW5kcy1tYXJrZXQtaXMtZXhwZWN0ZWQtdG8tcmVhY2gtYS12YWx1YXRpb24tb2YtdXMtMjM2LW1uLWJ5LTIwMjnSAQA?hl=en-US&gl=US&ceid=US%3Aen
