title,datetime,link
"PTAB declares MRI machine an abstract idea, patent ineligible ...",2017-01-03 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vaXB3YXRjaGRvZy5jb20vMjAxNy8wMS8wMy9wdGFiLW1yaS1tYWNoaW5lLWFic3RyYWN0LWlkZWEtcGF0ZW50LWluZWxpZ2libGUvaWQ9NzY1NTQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Mozilla gets a makeover with new logo, font and more",2017-01-19 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmNpb2wuY29tL21vemlsbGEtZ2V0cy1hLW1ha2VvdmVyLXdpdGgtbmV3LWxvZ28tZm9udC1hbmQtbW9yZS_SAU1odHRwczovL3d3dy5jaW9sLmNvbS9tb3ppbGxhLWdldHMtYS1tYWtlb3Zlci13aXRoLW5ldy1sb2dvLWZvbnQtYW5kLW1vcmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
NetApp opens global CoE in Bangalore; announces accelerator for data management startups,2017-01-19 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNpb2wuY29tL25ldGFwcC1vcGVucy1nbG9iYWwtY29lLWluLWJhbmdhbG9yZS1hbm5vdW5jZXMtYWNjZWxlcmF0b3ItZm9yLWRhdGEtbWFuYWdlbWVudC1zdGFydHVwcy_SAXFodHRwczovL3d3dy5jaW9sLmNvbS9uZXRhcHAtb3BlbnMtZ2xvYmFsLWNvZS1pbi1iYW5nYWxvcmUtYW5ub3VuY2VzLWFjY2VsZXJhdG9yLWZvci1kYXRhLW1hbmFnZW1lbnQtc3RhcnR1cHMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Swiggy launches its cloud kitchen- ‘The Bowl Company’,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmNpb2wuY29tL3N3aWdneS1sYXVuY2hlcy1pdHMtY2xvdWQta2l0Y2hlbi10aGUtYm93bC1jb21wYW55L9IBTGh0dHBzOi8vd3d3LmNpb2wuY29tL3N3aWdneS1sYXVuY2hlcy1pdHMtY2xvdWQta2l0Y2hlbi10aGUtYm93bC1jb21wYW55L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
‘Rajakaluve’ tracker to check if your property on storm-water drains,2017-01-13 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmNpb2wuY29tL2lpbWItcmVyaS1sYXVuY2hlcy1yYWphLWthbHV2ZS1hbi1lbmNyb2FjaG1lbnQtdHJhY2tlci10by1maW5kLWRldGFpbHMtb24tc3Rvcm0td2F0ZXItZHJhaW5zL9IBdmh0dHBzOi8vd3d3LmNpb2wuY29tL2lpbWItcmVyaS1sYXVuY2hlcy1yYWphLWthbHV2ZS1hbi1lbmNyb2FjaG1lbnQtdHJhY2tlci10by1maW5kLWRldGFpbHMtb24tc3Rvcm0td2F0ZXItZHJhaW5zL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Rimini Street Appoints Thomas Sabol as CFO,2017-02-02 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMjAyMDA2MjU1L2VuL1JpbWluaS1TdHJlZXQtQXBwb2ludHMtVGhvbWFzLVNhYm9sLWFzLUNGT9IBAA?hl=en-US&gl=US&ceid=US%3Aen
EarthWater Expands to Middle East at Gulf Food Expo the Largest Food & Beverage Show in the World,2017-02-27 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9lYXJ0aHdhdGVyLWV4cGFuZHMtbWlkZGxlLWVhc3QtZ3VsZi0xNTAwMDAyNzQuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2VhcnRod2F0ZXItZXhwYW5kcy1taWRkbGUtZWFzdC1ndWxmLTE1MDAwMDI3NC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Nokia to buy Comptel for $370M as it pushes deeper into carrier software,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMi8wOC9ub2tpYS10by1idXktY29tcHRlbC1mb3ItMzcwbS1hcy1pdC1wdXNoZXMtZGVlcGVyLWludG8tY2Fycmllci1zb2Z0d2FyZS_SAW5odHRwczovL3RlY2hjcnVuY2guY29tLzIwMTcvMDIvMDgvbm9raWEtdG8tYnV5LWNvbXB0ZWwtZm9yLTM3MG0tYXMtaXQtcHVzaGVzLWRlZXBlci1pbnRvLWNhcnJpZXItc29mdHdhcmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
2017 Intellectual Property Law Year In Review | McDermott Will ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lmpkc3VwcmEuY29tL2xlZ2FsbmV3cy8yMDE3LWludGVsbGVjdHVhbC1wcm9wZXJ0eS1sYXcteWVhci1pbi0xNzQzNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Hutchison's 3UK and Google push 3.5 GHz on both sides of the ...,2017-02-14 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vcmV0aGlua3Jlc2VhcmNoLmJpei9hcnRpY2xlcy9odXRjaGlzb25zLTN1ay1nb29nbGUtcHVzaC0zLTUtZ2h6LXNpZGVzLXBvbmQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Tesla CFO Jason Wheeler quits, former CFO Deepak Ahuja makes a comeback",2017-02-23 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmNpb2wuY29tL3Rlc2xhLWNmby1qYXNvbi13aGVlbGVyLXF1aXRzLWZvcm1lci1jZm8tZGVlcGFrLWFodWphLW1ha2VzLWEtY29tZWJhY2sv0gFgaHR0cHM6Ly93d3cuY2lvbC5jb20vdGVzbGEtY2ZvLWphc29uLXdoZWVsZXItcXVpdHMtZm9ybWVyLWNmby1kZWVwYWstYWh1amEtbWFrZXMtYS1jb21lYmFjay9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Redknee Solutions And ESW Capital: An Attractive Special Situation ...,2017-03-09 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNTM3MjktcmVka25lZS1zb2x1dGlvbnMtYW5kLWVzdy1jYXBpdGFsLWF0dHJhY3RpdmUtc3BlY2lhbC1zaXR1YXRpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
LivePerson Faces Profit Challenges In Crowded Market,2017-03-30 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ3JlYXRzcGVjdWxhdGlvbnMvMjAxNy8wMy8zMC9saXZlcGVyc29uLWZhY2VzLXByb2ZpdC1jaGFsbGVuZ2VzLWluLWNyb3dkZWQtbWFya2V0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Idea Cellular Is Silently Improving Its Postpaid Plans, Offers More Data Benefits Through My Idea App | Te ...",2017-04-20 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vdGVsZWNvbXRhbGsuaW5mby9pZGVhLWNlbGx1bGFyLXNpbGVudGx5LWltcHJvdmluZy1wb3N0cGFpZC1wbGFucy1kYXRhLWlkZWEtYXBwLzE2Mjg0My_SAWJodHRwczovL3RlbGVjb210YWxrLmluZm8vaWRlYS1jZWxsdWxhci1zaWxlbnRseS1pbXByb3ZpbmctcG9zdHBhaWQtcGxhbnMtZGF0YS1pZGVhLWFwcC8xNjI4NDMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Idea Cellular is Now Offering ‘Idea Chat’ Customer Support from Idea Self Care Portal | TelecomTalk,2017-04-12 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vdGVsZWNvbXRhbGsuaW5mby9pZGVhLWNoYXQtaWRlYS1zZWxmLWNhcmUtcG9ydGFsLzE2MjQ4My_SAURodHRwczovL3RlbGVjb210YWxrLmluZm8vaWRlYS1jaGF0LWlkZWEtc2VsZi1jYXJlLXBvcnRhbC8xNjI0ODMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"Reliance Jio to work with AT&T, Linux Foundation to drive SDN, NFV innovation",2017-04-04 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3RlbGVjb20uZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL3JlbGlhbmNlLWppby10by13b3JrLXdpdGgtYXR0LWxpbnV4LWZvdW5kYXRpb24tdG8tZHJpdmUtc2RuLW5mdi1pbm5vdmF0aW9uLzU4MDAyMDY00gGJAWh0dHBzOi8vdGVsZWNvbS5lY29ub21pY3RpbWVzLmluZGlhdGltZXMuY29tL2FtcC9uZXdzL3JlbGlhbmNlLWppby10by13b3JrLXdpdGgtYXR0LWxpbnV4LWZvdW5kYXRpb24tdG8tZHJpdmUtc2RuLW5mdi1pbm5vdmF0aW9uLzU4MDAyMDY0?hl=en-US&gl=US&ceid=US%3Aen
