title,datetime,link
"Genstar, HGGC and Thoma Bravo are among notable buyers that ...",2020-01-27 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9nZW5zdGFyLWhnZ2MtYW5kLXRob21hLWJyYXZvLWFyZS1hbW9uZy1ub3RhYmxlLWJ1eWVycy10aGF0LWNsb3NlZC1kZWFscy1pbi0yMDE50gEA?hl=en-US&gl=US&ceid=US%3Aen
IDFC First Bank reports q3 net loss of ₹1639 crore | Mint,2020-01-29 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2lkZmMtZmlyc3QtYmFuay1yZXBvcnRzLXEzLW5ldC1sb3NzLW9mLXJzLTE2MzktY3JvcmUtMTE1ODAzMTc3NDY1OTQuaHRtbNIBf2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2lkZmMtZmlyc3QtYmFuay1yZXBvcnRzLXEzLW5ldC1sb3NzLW9mLXJzLTE2MzktY3JvcmUvYW1wLTExNTgwMzE3NzQ2NTk0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Alta Vista Receives Irwin Academic Award,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vdGhlcHJvd2Vyc2pvdXJuYWwuY29tLzIwMjAvMDEvYWx0YS12aXN0YS1yZWNlaXZlcy1pcndpbi1hY2FkZW1pYy1hd2FyZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Apple can make 2020 its strongest year in India, say experts | Mint",2020-01-05 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS90ZWNobm9sb2d5L3RlY2gtbmV3cy9hcHBsZS1jYW4tbWFrZS0yMDIwLWl0cy1zdHJvbmdlc3QteWVhci1pbi1pbmRpYS1zYXktZXhwZXJ0cy0xMTU3ODE5NjA3NzA5NC5odG1s0gGBAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS90ZWNobm9sb2d5L3RlY2gtbmV3cy9hcHBsZS1jYW4tbWFrZS0yMDIwLWl0cy1zdHJvbmdlc3QteWVhci1pbi1pbmRpYS1zYXktZXhwZXJ0cy9hbXAtMTE1NzgxOTYwNzcwOTQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Cable maker KEI Industries to raise ₹600 crore via QIP route | Mint,2020-01-12 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy9jYWJsZS1tYWtlci1rZWktaW5kdXN0cmllcy10by1yYWlzZS02MDAtY3JvcmUtdmlhLXFpcC1yb3V0ZS0xMTU3ODg0NjA5MDY3Mi5odG1s0gF7aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL2NhYmxlLW1ha2VyLWtlaS1pbmR1c3RyaWVzLXRvLXJhaXNlLTYwMC1jcm9yZS12aWEtcWlwLXJvdXRlL2FtcC0xMTU3ODg0NjA5MDY3Mi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Heavy hitters,2020-03-01 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3LnZpcmdpbmlhYnVzaW5lc3MuY29tL2FydGljbGUvaGVhdnktaGl0dGVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
The S&P 500's Increasingly Volatile Roller Coaster Ride,2020-03-17 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMzIzODctcy1hbmQtcC01MDBzLWluY3JlYXNpbmdseS12b2xhdGlsZS1yb2xsZXItY29hc3Rlci1yaWRl0gEA?hl=en-US&gl=US&ceid=US%3Aen
What the Yes Bank crisis means for its customers and investors | Mint,2020-03-09 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5saXZlbWludC5jb20vbW9uZXkvcGVyc29uYWwtZmluYW5jZS93aGF0LXRoZS15ZXMtYmFuay1jcmlzaXMtbWVhbnMtZm9yLWl0cy1jdXN0b21lcnMtYW5kLWludmVzdG9ycy0xMTU4MzY3MDkxODQ4Ny5odG1s0gGGAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tb25leS9wZXJzb25hbC1maW5hbmNlL3doYXQtdGhlLXllcy1iYW5rLWNyaXNpcy1tZWFucy1mb3ItaXRzLWN1c3RvbWVycy1hbmQtaW52ZXN0b3JzL2FtcC0xMTU4MzY3MDkxODQ4Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Billionaire Richard Branson says Virgin’s airlines need state aid to survive | Mint,2020-04-20 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvYmlsbGlvbmFpcmUtcmljaGFyZC1icmFuc29uLXNheXMtdmlyZ2luLXMtYWlybGluZXMtbmVlZC1zdGF0ZS1haWQtdG8tc3Vydml2ZS0xMTU4NzM4MTY3ODEzOS5odG1s0gGMAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvbmV3cy9iaWxsaW9uYWlyZS1yaWNoYXJkLWJyYW5zb24tc2F5cy12aXJnaW4tcy1haXJsaW5lcy1uZWVkLXN0YXRlLWFpZC10by1zdXJ2aXZlL2FtcC0xMTU4NzM4MTY3ODEzOS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"As govt transfers cash to the poor, experts say more help needed for rural areas | Mint",2020-04-13 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5saXZlbWludC5jb20vcG9saXRpY3MvcG9saWN5L2FzLWdvdnQtdHJhbnNmZXJzLWNhc2gtdG8tdGhlLXBvb3ItZXhwZXJ0cy1zYXktbW9yZS1oZWxwLW5lZWRlZC1mb3ItcnVyYWwtYXJlYXMtMTE1ODY4MDEzOTExODguaHRtbNIBkAFodHRwczovL3d3dy5saXZlbWludC5jb20vcG9saXRpY3MvcG9saWN5L2FzLWdvdnQtdHJhbnNmZXJzLWNhc2gtdG8tdGhlLXBvb3ItZXhwZXJ0cy1zYXktbW9yZS1oZWxwLW5lZWRlZC1mb3ItcnVyYWwtYXJlYXMvYW1wLTExNTg2ODAxMzkxMTg4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
iPhone SE 2020 vs iPhone XR: Which affordable Apple phone ...,2020-04-16 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy5saXZlbWludC5jb20vdGVjaG5vbG9neS9nYWRnZXRzL2lwaG9uZS1zZS0yMDIwLXZzLWlwaG9uZS14ci13aGljaC1hZmZvcmRhYmxlLWFwcGxlLXBob25lLXNob3VsZC15b3UtYnV5LTExNTg2OTcyMzEzODk1Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"United Bankshares, Inc. Completes Its Acquisition of Carolina ...",2020-05-01 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDUwMTAwNTQ5Mi9lbi9Vbml0ZWQtQmFua3NoYXJlcy1JbmMuLUNvbXBsZXRlcy1JdHMtQWNxdWlzaXRpb24tb2YtQ2Fyb2xpbmEtRmluYW5jaWFsLUNvcnBvcmF0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Jack Beddow, who led troubled Washington-area bank, dies at 98",2020-05-20 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbG9jYWwvb2JpdHVhcmllcy9qYWNrLWJlZGRvdy13aG8tbGVkLXRyb3VibGVkLXdhc2hpbmd0b24tYXJlYS1iYW5rLWRpZXMtYXQtOTgvMjAyMC8wNS8yMC9mZTM4OGFiYy05NjA0LTExZWEtOWY1ZS01NmQ4MjM5YmY5YWRfc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Katahdin Woods and Waters is the best place to see the night sky on ...,2020-05-08 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmJhbmdvcmRhaWx5bmV3cy5jb20vMjAyMC8wNS8wOC9wYXltZXRlci1jYXRlZ29yaWVzL2ZyZWUvbWFpbmVzLWthdGFoZGluLXdvb2RzLWFuZC13YXRlcnMtbm93LWEtZGFyay1za3ktc2FuY3R1YXJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
CrossFirst Bank Promotes Kristin Tyson to Kansas City Bank President,2020-06-15 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMjAwNjE1MDA1NzQwL2VuL0Nyb3NzRmlyc3QtQmFuay1Qcm9tb3Rlcy1LcmlzdGluLVR5c29uLXRvLUthbnNhcy1DaXR5LUJhbmstUHJlc2lkZW500gEA?hl=en-US&gl=US&ceid=US%3Aen
"Community Bank System, Inc. Completes Merger with Steuben Trust ...",2020-06-15 00:00:00,https://news.google.com/./articles/CBMiqgFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDYxNTAwNTEzMy9lbi9Db21tdW5pdHktQmFuay1TeXN0ZW0tSW5jLi1Db21wbGV0ZXMtTWVyZ2VyLXdpdGgtU3RldWJlbi1UcnVzdC1Db3Jwb3JhdGlvbi1hbmQtRW5oYW5jZXMtV2VzdGVybi1OZXctWW9yay1QcmVzZW5jZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
(UPDATED INFORMATION) 8 Killed in Crash near Kit Carson ...,2020-06-27 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vdGhlcHJvd2Vyc2pvdXJuYWwuY29tLzIwMjAvMDYvNy1raWxsZWQtaW4tY3Jhc2gtbmVhci1raXQtY2Fyc29uLWNvbG9yYWRvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Fitch downgrades outlook for SBI, 8 other banks following India’s sovereign rating | Mint",2020-06-22 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5saXZlbWludC5jb20vaW5kdXN0cnkvYmFua2luZy9maXRjaC1kb3duZ3JhZGVzLW91dGxvb2stZm9yLXNiaS04LW90aGVyLWJhbmtzLWZvbGxvd2luZy1pbmRpYS1zLXNvdmVyZWlnbi1yYXRpbmctMTE1OTI4MjY0MTMxODEuaHRtbNIBkwFodHRwczovL3d3dy5saXZlbWludC5jb20vaW5kdXN0cnkvYmFua2luZy9maXRjaC1kb3duZ3JhZGVzLW91dGxvb2stZm9yLXNiaS04LW90aGVyLWJhbmtzLWZvbGxvd2luZy1pbmRpYS1zLXNvdmVyZWlnbi1yYXRpbmcvYW1wLTExNTkyODI2NDEzMTgxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Mumbai local trains to start a new QR code-based e-pass soon | Mint,2020-06-15 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL211bWJhaS1sb2NhbC10cmFpbnMtdG8tc3RhcnQtYS1uZXctcXItY29kZS1iYXNlZC1lLXBhc3Mtc29vbi0xMTU5MjIxOTI0OTE4NS5odG1s0gF4aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL25ld3MvaW5kaWEvbXVtYmFpLWxvY2FsLXRyYWlucy10by1zdGFydC1hLW5ldy1xci1jb2RlLWJhc2VkLWUtcGFzcy1zb29uL2FtcC0xMTU5MjIxOTI0OTE4NS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Coronavirus outbreak boosts digital payments in India as people fear to handle cash | Mint,2020-07-13 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9jb3JvbmF2aXJ1cy1vdXRicmVhay1ib29zdHMtZGlnaXRhbC1wYXltZW50cy1pbi1pbmRpYS1hcy1wZW9wbGUtZmVhci10by1oYW5kbGUtY2FzaC0xMTU5NDU5NzY4NDIwNC5odG1s0gGPAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL2Nvcm9uYXZpcnVzLW91dGJyZWFrLWJvb3N0cy1kaWdpdGFsLXBheW1lbnRzLWluLWluZGlhLWFzLXBlb3BsZS1mZWFyLXRvLWhhbmRsZS1jYXNoL2FtcC0xMTU5NDU5NzY4NDIwNC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Sensex rallies over 550 points, Nifty ends at 11,300; UltraTech Cement soars 7% | Mint",2020-07-28 00:00:00,https://news.google.com/./articles/CBMijQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yOC0wNy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzLTExNTk1OTAxOTY0Mjg0Lmh0bWzSAZEBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjgtMDctMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy9hbXAtMTE1OTU5MDE5NjQyODQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Uzbek National Bank for Foreign Economic Activity attracts loan from ...,2020-07-21 00:00:00,https://news.google.com/./articles/CBMiMWh0dHBzOi8vZW4udHJlbmQuYXovYnVzaW5lc3MvZmluYW5jZS8zMjcyNjc2Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Eastern Bank Announces Commencement of Stock Offering,2020-08-18 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMjAwODE4MDA1NzgzL2VuL0Vhc3Rlcm4tQmFuay1Bbm5vdW5jZXMtQ29tbWVuY2VtZW50LW9mLVN0b2NrLU9mZmVyaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen
Finance | Insurance,2020-08-29 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LnZpcmdpbmlhYnVzaW5lc3MuY29tL2FydGljbGUvZmluYW5jZS1pbnN1cmFuY2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen
LAND VALUES AND CASH RENTS for COLORADO and US,2020-08-06 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vdGhlcHJvd2Vyc2pvdXJuYWwuY29tLzIwMjAvMDgvbGFuZC12YWx1ZXMtYW5kLWNhc2gtcmVudHMtZm9yLWNvbG9yYWRvLWFuZC11cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Warren Buffett sours on banks and likes gold | Mint,2020-08-15 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9vcGluaW9uL29ubGluZS12aWV3cy93YXJyZW4tYnVmZmV0dC1zb3Vycy1vbi1iYW5rcy1hbmQtbGlrZXMtZ29sZC0xMTU5NzQ0OTA3NTIyMS5odG1s0gFyaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL29waW5pb24vb25saW5lLXZpZXdzL3dhcnJlbi1idWZmZXR0LXNvdXJzLW9uLWJhbmtzLWFuZC1saWtlcy1nb2xkL2FtcC0xMTU5NzQ0OTA3NTIyMS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Mercedes, Audi expect sales momentum to pick up in festive season | Mint",2020-08-16 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9hdXRvLW5ld3MvbWVyY2VkZXMtYXVkaS1leHBlY3Qtc2FsZXMtbW9tZW50dW0tdG8tcGljay11cC1pbi1mZXN0aXZlLXNlYXNvbi0xMTU5NzU3MjU3MzcwMi5odG1s0gF7aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2F1dG8tbmV3cy9tZXJjZWRlcy1hdWRpLWV4cGVjdC1zYWxlcy1tb21lbnR1bS10by1waWNrLXVwLWluLWZlc3RpdmUtc2Vhc29uL2FtcC0xMTU5NzU3MjU3MzcwMi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
First National Bank to acquire former DB&T branch,2020-09-03 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd2FsZG8udmlsbGFnZXNvdXAuY29tLzIwMjAvMDkvMDMvZmlyc3QtbmF0aW9uYWwtYmFuay10by1hY3F1aXJlLWZvcm1lci1kYi10LWJyYW5jaC0xODY5NjYxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
