title,datetime,link
"See the world's first living, self-healing robots",2020-01-14 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL2J1c2luZXNzLzIwMjAvMDEvMTQvbGl2aW5nLXJvYm90cy1zdGVtLWNlbGxzLWZyb2dzLWxvbi1vcmlnLXRwLmNubtIBYWh0dHBzOi8vYW1wLmNubi5jb20vY25uL3ZpZGVvcy9idXNpbmVzcy8yMDIwLzAxLzE0L2xpdmluZy1yb2JvdHMtc3RlbS1jZWxscy1mcm9ncy1sb24tb3JpZy10cC5jbm4?hl=en-US&gl=US&ceid=US%3Aen
Virtual brokerage Fathom Holdings files for IPO,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vdGhlcmVhbGRlYWwuY29tLzIwMjAvMDEvMjIvdmlydHVhbC1icm9rZXJhZ2UtZmF0aG9tLWhvbGRpbmdzLWZpbGVzLWZvci1pcG8v0gFXaHR0cHM6Ly90aGVyZWFsZGVhbC5jb20vMjAyMC8wMS8yMi92aXJ0dWFsLWJyb2tlcmFnZS1mYXRob20taG9sZGluZ3MtZmlsZXMtZm9yLWlwby9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"3 Utility CEFs Yielding 7% To 9%, Selling At Discounts",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTYwMzQtMy11dGlsaXR5LWNlZnMteWllbGRpbmctNy1wZXJjZW50LXRvLTktcGVyY2VudC1zZWxsaW5nLWRpc2NvdW50c9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Home renovations that are worth the cost (and the ones that aren't),2020-01-20 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMS8yMC9zdWNjZXNzL2hvbWUtcmVub3ZhdGlvbnMtcm9pL2luZGV4Lmh0bWzSAUpodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIwLzAxLzIwL3N1Y2Nlc3MvaG9tZS1yZW5vdmF0aW9ucy1yb2kvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
eXp Realty Welcomes Chuck and Angela Fazio and Revelation ...,2020-02-24 00:00:00,https://news.google.com/./articles/CBMixAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8wMi8yNC8xOTg5NDg5LzAvZW4vZVhwLVJlYWx0eS1XZWxjb21lcy1DaHVjay1hbmQtQW5nZWxhLUZhemlvLWFuZC1SZXZlbGF0aW9uLVJlYWwtRXN0YXRlLU9uZS1vZi10aGUtTGFyZ2VzdC1JbmRlcGVuZGVudC1Ccm9rZXJhZ2VzLWluLXRoZS1VUy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
I've worked in a 'virtual office' for 3 years – here's what I've learned,2020-02-17 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vdGhlbmV4dHdlYi5jb20vbmV3cy9pdmUtd29ya2VkLWluLWEtdmlydHVhbC1vZmZpY2UtZm9yLTMteWVhcnMtaGVyZXMtd2hhdC1pdmUtbGVhcm5lZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
How virtual reality is changing the live music experience,2020-02-27 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMi8yNy90ZWNoL3ZyLWxpdmUtbXVzaWMtaW50bC9pbmRleC5odG1s0gFFaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wMi8yNy90ZWNoL3ZyLWxpdmUtbXVzaWMtaW50bC9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Lab tear tests aid reimbursements, clinical application of dry eye",2020-02-26 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lm9waHRoYWxtb2xvZ3l0aW1lcy5jb20vdmlldy9sYWItdGVhci10ZXN0cy1haWQtcmVpbWJ1cnNlbWVudHMtY2xpbmljYWwtYXBwbGljYXRpb24tZHJ5LWV5ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Dealmakers: Notable transactions from November 2019-January ...,2020-02-13 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vdXBzdGF0ZWJ1c2luZXNzam91cm5hbC5jb20vZGVhbC1tYWtlcnMvZGVhbG1ha2Vycy1ub3RhYmxlLXRyYW5zYWN0aW9ucy1mcm9tLWRlY2VtYmVyLWZlYnJ1YXJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Condé Nast, owner of The New Yorker and other magazines, will stop using NDAs for harassment and discrimination",2020-02-21 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMi8yMS9tZWRpYS9jb25kZS1uYXN0LW5kYS9pbmRleC5odG1s0gFCaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wMi8yMS9tZWRpYS9jb25kZS1uYXN0LW5kYS9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
