title,datetime,link
"Energy Drinks Market Showing Impressive Growth : Red Bull, Monster Energy, Rockstar Energy Drink, PepsiCo, Dr",2020-01-16 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xODk3NjI1L2VuZXJneS1kcmlua3MtbWFya2V0LXNob3dpbmctaW1wcmVzc2l2ZS1ncm93dGgtcmVkLWJ1bGzSAVpodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8xODk3NjI1L2VuZXJneS1kcmlua3MtbWFya2V0LXNob3dpbmctaW1wcmVzc2l2ZS1ncm93dGgtcmVkLWJ1bGw?hl=en-US&gl=US&ceid=US%3Aen
Monster Concerned About Losing Shelf Space to Coke Energy,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vY3NwZGFpbHluZXdzLmNvbS9iZXZlcmFnZXMvbW9uc3Rlci1jb25jZXJuZWQtYWJvdXQtbG9zaW5nLXNoZWxmLXNwYWNlLWNva2UtZW5lcmd50gFdaHR0cHM6Ly9jc3BkYWlseW5ld3MuY29tL2FtcC9iZXZlcmFnZXMvbW9uc3Rlci1jb25jZXJuZWQtYWJvdXQtbG9zaW5nLXNoZWxmLXNwYWNlLWNva2UtZW5lcmd5?hl=en-US&gl=US&ceid=US%3Aen
Coca-Cola Bets on Gal Gadot to Create Splash for SmartWater,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vdmFyaWV0eS5jb20vMjAyMC90di9uZXdzL2NvY2EtY29sYS1nYWwtZ2Fkb3Qtc21hcnR3YXRlci1hZHZlcnRpc2luZy0xMjAzNDYwMzQwL9IBW2h0dHBzOi8vdmFyaWV0eS5jb20vMjAyMC90di9uZXdzL2NvY2EtY29sYS1nYWwtZ2Fkb3Qtc21hcnR3YXRlci1hZHZlcnRpc2luZy0xMjAzNDYwMzQwL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Canopy Growth delays launch of cannabis-infused beverages,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmZvb2RidXNpbmVzc25ld3MubmV0L2FydGljbGVzLzE1Mjg4LWNhbm9weS1ncm93dGgtZGVsYXlzLWxhdW5jaC1vZi1jYW5uYWJpcy1pbmZ1c2VkLWJldmVyYWdlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Cott Corporation, subsidiary acquire Hungarian company - Tampa ...",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS90YW1wYWJheS9uZXdzLzIwMjAvMDEvMTAvc3Vic2lkaWFyeS1vZi10YW1wYXMtY290dC1iZXZlcmFnZS1jb21wYW55Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Brewing up buds: Beverages companies enter cannabis game,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnNwb2tlc21hbi5jb20vc3Rvcmllcy8yMDIwL2phbi8yMS9icmV3aW5nLWJ1ZHMtYmV2ZXJhZ2VzLWNvbXBhbmllcy1lbnRlci1jYW5uYWJpcy1nYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Coca-Cola buys Fairlife, impressed by brand's response to animal ...",2020-01-06 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9hdGxhbnRhL25ld3MvMjAyMC8wMS8wNi9jb2NhLWNvbGEtYnV5cy1mYWlybGlmZS1hcHBsYXVkaW5nLXRoZS1icmFuZHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Territorial-Landworks of Missoula, Kalispell joins national ...",2020-01-09 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vbWlzc291bGFjdXJyZW50LmNvbS90ZXJyaXRvcmlhbC1sYW5kd29ya3MtaW1lZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Discover why protecting the planet is good for business,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lm5hdGlvbmFsZ2VvZ3JhcGhpYy5jb20vc2NpZW5jZS9hcnRpY2xlL3BhcnRuZXItY29udGVudC1idXNpbmVzcy1vZi1uYXR1cmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Is Coca-Cola Looking to Get Into Cannabis?,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAxLzA2L2lzLWNvY2EtY29sYS1sb29raW5nLXRvLWdldC1pbnRvLWNhbm5hYmlzLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
UPD Holding Corp. Announces Exclusive License Agreement With ...,2020-01-03 00:00:00,https://news.google.com/./articles/CBMivwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8wMS8wMy8xOTY2MTE1LzAvZW4vVVBELUhvbGRpbmctQ29ycC1Bbm5vdW5jZXMtRXhjbHVzaXZlLUxpY2Vuc2UtQWdyZWVtZW50LVdpdGgtQmUtVHJ1LU9yZ2FuaWNzLUluYy1mb3ItUmVhZHktVG8tRHJpbmstQmV2ZXJhZ2UtUHJvZHVjdHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Leadership Change at Wabash National Corporation – Inside ...,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lmluc2lkZWluZGlhbmFidXNpbmVzcy5jb20vYXJ0aWNsZXMvbGVhZGVyc2hpcC1jaGFuZ2UtYXQtd2FiYXNoLW5hdGlvbmFsLWNvcnBvcmF0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
