title,datetime,link
Limited-edition Harley-Davidson branded GMC truck on the way ...,2020-01-10 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9taWx3YXVrZWUvbmV3cy8yMDIwLzAxLzEwL2hhcmxleS1kYXZpZHNvbi1icmFuZGVkLWdtYy10cnVjay10by1iZS1yb2xsZWQtb3V0Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Coroner has identified all 9 people who died in the helicopter crash that killed Kobe Bryant,2020-01-30 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vZm94OC5jb20vbmV3cy9jb3JvbmVyLWhhcy1pZGVudGlmaWVkLWFsbC05LXBlb3BsZS13aG8tZGllZC1pbi10aGUtaGVsaWNvcHRlci1jcmFzaC10aGF0LWtpbGxlZC1rb2JlLWJyeWFudC_SAXdodHRwczovL2ZveDguY29tL25ld3MvY29yb25lci1oYXMtaWRlbnRpZmllZC1hbGwtOS1wZW9wbGUtd2hvLWRpZWQtaW4tdGhlLWhlbGljb3B0ZXItY3Jhc2gtdGhhdC1raWxsZWQta29iZS1icnlhbnQvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"Genstar, HGGC and Thoma Bravo are among notable buyers that ...",2020-01-27 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9nZW5zdGFyLWhnZ2MtYW5kLXRob21hLWJyYXZvLWFyZS1hbW9uZy1ub3RhYmxlLWJ1eWVycy10aGF0LWNsb3NlZC1kZWFscy1pbi0yMDE50gEA?hl=en-US&gl=US&ceid=US%3Aen
Republicans passed tax cuts — then profited – Center for Public ...,2020-01-24 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vcHVibGljaW50ZWdyaXR5Lm9yZy9pbmVxdWFsaXR5LXBvdmVydHktb3Bwb3J0dW5pdHkvdGF4ZXMvdHJ1bXBzLXRheC1jdXRzL3JlcHVibGljYW5zLXByb2ZpdC1jb25ncmVzcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Vince Holdings Appoints Steven Cateron as Senior Creative ...,2020-01-09 00:00:00,https://news.google.com/./articles/CBMimQFodHRwczovL3d3ZC5jb20vZmFzaGlvbi1uZXdzL2Rlc2lnbmVyLWx1eHVyeS92aW5jZS1ob2xkaW5ncy1hcHBvaW50cy1zdGV2ZW4tY2F0ZXJvbi1hcy1zZW5pb3ItY3JlYXRpdmUtZGlyZWN0b3ItZm9yLXJlYmVjY2EtdGF5bG9yLWFuZC1wYXJrZXItMTIwMzQxNTI3My_SAQA?hl=en-US&gl=US&ceid=US%3Aen
COVID-19 blog: COVID conditions improve for Maryland crab pickers,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3LnVuZGVyY3VycmVudG5ld3MuY29tLzIwMjAvMDEvMjkvY29yb25hdmlydXMtb3V0YnJlYWsv0gEA?hl=en-US&gl=US&ceid=US%3Aen
New Orlando businesses for week of Dec. 15,2020-01-08 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vYnVzaW5lc3Mvb3MtYnotb3JsYW5kby1uZXctYnVzaW5lc3Nlcy0wMTA4MjAtMjAyMDAxMDgtN2kyaWh5bHliemdrM21vYjRhZXdpM2E1Ym0tc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
McMahon Forces WWE Executives to Tap Out After Earnings Slip,2020-01-30 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTMwL3d3ZS1wbHVuZ2VzLWFmdGVyLWVhcm5pbmdzLXNsdW1wLWFuZC1jb21wYW55LXNhY2tzLW1hbmFnZW1lbnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Hollywood Fears 2020 Drop, With No 'Endgame,' 'Frozen' Ahead",2020-01-08 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTA4L2hvbGx5d29vZC1mZWFycy0yMDIwLXNsdW1wLXdpdGgtbm8tZW5kZ2FtZS1vci1mcm96ZW4tY29taW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bankers Flooding JPMorgan Event Bemoan San Francisco Squalor,2020-01-14 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTE0L2JhbmtlcnMtcGF5aW5nLTItMDAwLWEtbmlnaHQtYmVtb2FuLXNhbi1mcmFuY2lzY28tc3F1YWxvctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"UPS, FedEx, Amazon Win With Smooth Holiday Shipping Season",2020-01-10 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDIwLTAxLTEwL3Vwcy1mZWRleC1hbWF6b24td2luLXdpdGgtc21vb3RoLWhvbGlkYXktc2hpcHBpbmctc2Vhc29u0gEA?hl=en-US&gl=US&ceid=US%3Aen
Big Tech Fight Brews Between the Right's Kochs and Mercers,2020-01-30 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTMwL2JpZy10ZWNoLWZpZ2h0LWJyZXdzLWJldHdlZW4tdGhlLXJpZ2h0LXMta29jaHMtYW5kLW1lcmNlcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Black community banded together for good,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lm10YWlyeW5ld3MuY29tL3RvcC1zdG9yaWVzLzgyMDg0L2JsYWNrLWNvbW11bml0eS1iYW5kZWQtdG9nZXRoZXItZm9yLWdvb2TSAQA?hl=en-US&gl=US&ceid=US%3Aen
Out Of 12 Potential Key Drivers That May Support This Bull Stock ...,2020-01-10 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MzE2MTkxLW91dC1vZi0xMi1wb3RlbnRpYWwta2V5LWRyaXZlcnMtbWF5LXN1cHBvcnQtdGhpcy1idWxsLXN0b2NrLW1hcmtldC1vbmx5LTEteW91LWNhbi10cnVseS1jb3VudNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Tesla becomes most valuable US car maker of all time with market value of $81.39billion,2020-01-07 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtNzg2MjIzOS9UZXNsYS12YWx1YWJsZS1jYXItbWFrZXItdGltZS1tYXJrZXQtdmFsdWUtODEtMzliaWxsaW9uLmh0bWzSAXFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTc4NjIyMzkvYW1wL1Rlc2xhLXZhbHVhYmxlLWNhci1tYWtlci10aW1lLW1hcmtldC12YWx1ZS04MS0zOWJpbGxpb24uaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Study Suggests Plants Have Some of the Same Senses as Animals ...,2020-01-07 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5lbnZpcm9uZXdzLnR2L3dvcmxkLW5ld3Mvc3R1ZHktcGxhbnRzLWhhdmUtdGhlLXNhbWUtc2Vuc2VzLWFzLWFuaW1hbHMtYW5kLW1ha2Utc291bmRzLWh1bWFucy1jYW50LWhlYXItYnV0LXdpbGRsaWZlLWNhbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Legendary Water Protector Robert Kennedy Jr. Goes in-Depth on ...,2020-01-26 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmVudmlyb25ld3MudHYvMDEyNjIwLWxlZ2VuZGFyeS13YXRlci1wcm90ZWN0b3Itcm9iZXJ0LWtlbm5lZHktanItZ29lcy1pbi1kZXB0aC1vbi10cnVtcC1jbGVhbi13YXRlci1hY3Qtcm9sbGJhY2tzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Amazing Video: 'Oh-My-God!': Whitetail Deer Enters MN ...,2020-01-15 00:00:00,https://news.google.com/./articles/CBMimgFodHRwczovL3d3dy5lbnZpcm9uZXdzLnR2LzAxMTUyMC1hbWF6aW5nLXZpZGVvLW9oLW15LWdvZC13aGl0ZXRhaWwtZGVlci1lbnRlcnMtbW4tbmVpZ2hib3Job29kLXBsYXlzLXdpdGgtYW5kLWlzLXBldHRlZC1ieS1yZXNpZGVudHMtbmVhcmx5LWNsaW1icy1pbi1jYXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
91 Green Groups Demand Resignation of BLM Chief; Trump Admin ...,2020-01-05 00:00:00,https://news.google.com/./articles/CBMimgFodHRwczovL3d3dy5lbnZpcm9uZXdzLnR2LzAxMDUyMC05MS1ncmVlbi1ncm91cHMtZGVtYW5kLXJlc2lnbmF0aW9uLW9mLWJsbS1jaGllZi10cnVtcC1hZG1pbi10aHJvd3MtbWlkZGxlLWZpbmdlci1leHRlbmRzLWhpcy10ZXJtLWNhbGxzLWRlbWFuZC1sYXVnaGFibGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
