title,datetime,link
Farmers eye Bluffton ethanol plant future | Fwbusiness | fwbusiness ...,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmZ3YnVzaW5lc3MuY29tL2Z3YnVzaW5lc3MvYXJ0aWNsZV9jZjViODNmZC03ZTBmLTUyZGEtYmJkMS1lN2ZiMWQxZmJiNGUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Ten Clean Energy Stocks for 2020 - Alternative Energy Stocks,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiUWh0dHA6Ly93d3cuYWx0ZW5lcmd5c3RvY2tzLmNvbS9hcmNoaXZlcy8yMDIwLzAxL3Rlbi1jbGVhbi1lbmVyZ3ktc3RvY2tzLWZvci0yMDIwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Pomp's Tire buys 19 GCR locations throughout upper Midwest,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRpcmVidXNpbmVzcy5jb20vYWNxdWlzaXRpb24vcG9tcHMtdGlyZS1idXlzLTE5LWdjci1sb2NhdGlvbnMtdGhyb3VnaG91dC11cHBlci1taWR3ZXN00gEA?hl=en-US&gl=US&ceid=US%3Aen
"Releases New Report on the Enzymes For Agriculture Market 2020-2024 | Top Key Players - Novozymes, Agrinos, St",2020-01-23 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xOTA2NjI1L3JlbGVhc2VzLW5ldy1yZXBvcnQtb24tdGhlLWVuenltZXMtZm9yLWFncmljdWx0dXJlLW1hcmtldNIBXGh0dHBzOi8vd3d3Lm9wZW5wci5jb20vYW1wLzE5MDY2MjUvcmVsZWFzZXMtbmV3LXJlcG9ydC1vbi10aGUtZW56eW1lcy1mb3ItYWdyaWN1bHR1cmUtbWFya2V0?hl=en-US&gl=US&ceid=US%3Aen
‘Green camo?’: U.S. Space Force unveils earthy uniform for star treks,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzY0MzcyODEvdXMtc3BhY2UtZm9yY2UtdW5pZm9ybS1ncmVlbi_SAURodHRwczovL2dsb2JhbG5ld3MuY2EvbmV3cy82NDM3MjgxL3VzLXNwYWNlLWZvcmNlLXVuaWZvcm0tZ3JlZW4vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"Green algae, blue water add to fears over health of Southeast Asia's ...",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtbWVrb25nLXJpdmVyLWlkVVNLQk4xWjkxOUvSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Elliott Management Sends Letter to Board of Directors of Evergy, Inc.",2020-01-21 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvZWxsaW90dC1tYW5hZ2VtZW50LXNlbmRzLWxldHRlci10by1ib2FyZC1vZi1kaXJlY3RvcnMtb2YtZXZlcmd5LWluYy0zMDA5OTAzMTQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Hub Cafe implements green methods to reduce Lincoln's ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiqAFodHRwczovL3d3dy5kYWlseW5lYnJhc2thbi5jb20vaW4tZGVwdGgvdGhlLWh1Yi1jYWZlLWltcGxlbWVudHMtZ3JlZW4tbWV0aG9kcy10by1yZWR1Y2UtbGluY29sbi1zLWVjb2xvZ2ljYWwtZm9vdHByaW50L2FydGljbGVfYTc2ZjNjODYtM2JkYi0xMWVhLWI2Y2ItODM0MzZjYmU3N2FmLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Texas 7th Court of Appeals overturns Spielbauer murder conviction,2020-01-23 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm15aGlnaHBsYWlucy5jb20vbmV3cy90b3Atc3Rvcmllcy90ZXhhcy03dGgtY291cnQtb2YtYXBwZWFscy1vdmVydHVybnMtc3BpZWxiYXVlci1tdXJkZXItY29udmljdGlvbi_SAXRodHRwczovL3d3dy5teWhpZ2hwbGFpbnMuY29tL25ld3MvdG9wLXN0b3JpZXMvdGV4YXMtN3RoLWNvdXJ0LW9mLWFwcGVhbHMtb3ZlcnR1cm5zLXNwaWVsYmF1ZXItbXVyZGVyLWNvbnZpY3Rpb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Looking For Quality Stocks With High-Conviction Buybacks,2020-01-05 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTUzMTItbG9va2luZy1mb3ItcXVhbGl0eS1zdG9ja3MtaGlnaC1jb252aWN0aW9uLWJ1eWJhY2tz0gEA?hl=en-US&gl=US&ceid=US%3Aen
