title,datetime,link
AFRICA : Monaco Resources struggles to hide its secrets - 21/01/2020,2020-01-21 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmFmcmljYWludGVsbGlnZW5jZS5jb20vd2VzdC1hZnJpY2EvMjAyMC8wMS8yMS9tb25hY28tcmVzb3VyY2VzLXN0cnVnZ2xlcy10by1oaWRlLWl0cy1zZWNyZXRzLDEwODM5MDAxMy1nZTDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Verhoogt MediaMarkt de prijzen vóór de BTW-actie? Hardware Info ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vbmwuaGFyZHdhcmUuaW5mby9uaWV1d3MvNzA3OTgvdmVyaG9vZ3QtbWVkaWFtYXJrdC1kZS1wcmlqemVuLXZvb3ItZGUtYnR3LWFjdGllLWhhcmR3YXJlLWluZm8tem9la3QtaGV0LXVpdNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"IFS, Oman ICT Group partner to develop country's ICT sector",2020-02-04 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LnRhaGF3dWx0ZWNoLmNvbS9yZWdpb24vb21hbi9pZnMtcGFydG5lcnNoaXAtb21hbi1pY3QtZ3JvdXAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
10 unlikely items flying off the shelves while we all stay inside,2020-04-26 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vY29yb25hdmlydXMtc2FsZXMtaW5jcmVhc2VzLXVubGlrZWx5LWl0ZW1zLXNlbGxpbmctd2VsbC1oaWdoLWRlbWFuZC0yMDIwLTTSAW5odHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY29tL2Nvcm9uYXZpcnVzLXNhbGVzLWluY3JlYXNlcy11bmxpa2VseS1pdGVtcy1zZWxsaW5nLXdlbGwtaGlnaC1kZW1hbmQtMjAyMC00P2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"""Win32/Unwaders.A!ml"" Malware program keeps popping up ...",2020-04-24 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL2ZvcnVtcy90LzcxNzgzNC93aW4zMnVud2FkZXJzYW1sLW1hbHdhcmUtcHJvZ3JhbS1rZWVwcy1wb3BwaW5nLXVwLXBsZWFzZS1oZWxwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
How to get started in simracing esports,2020-05-20 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnRvcGdlYXIuY29tL2Nhci1uZXdzL2Zvcm11bGEtb25lL2hvdy1nZXQtc3RhcnRlZC1zaW1yYWNpbmctZXNwb3J0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Yet More Aqara Products Unveiled – New LED Control Display ...,2020-05-21 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vaG9tZWtpdG5ld3MuY29tLzIwMjAvMDUvMjEveWV0LW1vcmUtYXFhcmEtcHJvZHVjdHMtdW52ZWlsZWQtbmV3LWxlZC1jb250cm9sLWRpc3BsYXktYW5kLWN1cnRhaW4tbW90b3ItdDEtc2Vuc29ycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Infected with EneTechIo - Have Done Farbar Scan Logs Below ...,2020-05-15 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL2ZvcnVtcy90LzcyMDM1MC9pbmZlY3RlZC13aXRoLWVuZXRlY2hpby1oYXZlLWRvbmUtZmFyYmFyLXNjYW4tbG9ncy1iZWxvdy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Logitech Pledges Carbon Impact Transparency,2020-06-17 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMjAwNjE3MDA1MTQ2L2VuL0xvZ2l0ZWNoLVBsZWRnZXMtQ2FyYm9uLUltcGFjdC1UcmFuc3BhcmVuY3nSAQA?hl=en-US&gl=US&ceid=US%3Aen
Custom malware / remoute controll / second hidden OS - Virus ...,2020-06-15 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL2ZvcnVtcy90LzcyNDEzMS9jdXN0b20tbWFsd2FyZS1yZW1vdXRlLWNvbnRyb2xsLXNlY29uZC1oaWRkZW4tb3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
