title,datetime,link
Financial Crisis Bailouts Have Earned Taxpayers Billions,2017-01-19 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvMjAxNy0wMS0xOS9maW5hbmNpYWwtY3Jpc2lzLWJhaWxvdXRzLWhhdmUtZWFybmVkLXRheHBheWVycy1iaWxsaW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Outperforming money manager says the S&P 500’s gains will accelerate in 2017,2017-01-08 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9vdXRwZXJmb3JtaW5nLW1vbmV5LW1hbmFnZXItc2F5cy10aGUtc3AtNTAwcy1nYWlucy13aWxsLWFjY2VsZXJhdGUtaW4tMjAxNy0yMDE3LTAxLTA00gF7aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9vdXRwZXJmb3JtaW5nLW1vbmV5LW1hbmFnZXItc2F5cy10aGUtc3AtNTAwcy1nYWlucy13aWxsLWFjY2VsZXJhdGUtaW4tMjAxNy0yMDE3LTAxLTA0?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-LPL Financial reports monthly activity for January,2017-02-16 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0FTQjBCMFZP0gEA?hl=en-US&gl=US&ceid=US%3Aen
Is Your Financial Adviser Acting in Your Best Interest? (Published ...,2017-02-10 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDIvMTAveW91ci1tb25leS9pcy15b3VyLWZpbmFuY2lhbC1hZHZpc2VyLWFjdGluZy1pbi15b3VyLWJlc3QtaW50ZXJlc3QuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
5 Financial Tips When Buying Jewelry,2017-02-09 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy81LWZpbmFuY2lhbC10aXBzLWJ1eWluZy1qZXdlbHJ5LTIwMDA1ODc0Ni5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvNS1maW5hbmNpYWwtdGlwcy1idXlpbmctamV3ZWxyeS0yMDAwNTg3NDYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-LPL Financial reports monthly activity for February 2017,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtbHBsLWZpbmFuY2lhbC1yZXBvcnRzLW1vbnRobHktYWN0aS1pZFVTQVNCMEI1WEjSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Lisa (Bodine) Policare of Penn Wealth Planning, LLC Has Been ...",2017-03-28 00:00:00,https://news.google.com/./articles/CBMiwgFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDMyODAwNTA0MS9lbi9MaXNhLUJvZGluZS1Qb2xpY2FyZS1vZi1QZW5uLVdlYWx0aC1QbGFubmluZy1MTEMtSGFzLUJlZW4tTmFtZWQtYnktRk9SQkVTLWFzLU9uZS1vZi10aGUtVG9wLTIwMC1GZW1hbGUtRmluYW5jaWFsLUFkdmlzb3JzLWluLXRoZS1Db3VudHJ5LtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Peter Mallouk-Tony Robbins partnership set to soar on new book ...,2017-03-01 00:00:00,https://news.google.com/./articles/CBMitwFodHRwczovL3JpYWJpei5jb20vYS8yMDE3LzMvMS9wZXRlci1tYWxsb3VrLXRvbnktcm9iYmlucy1wYXJ0bmVyc2hpcC1zZXQtdG8tc29hci1vbi1uZXctYm9vay1idXQtcXVpZC1wcm8tcXVvLWRldGFpbHMtb2YtcGFjdC1iZXR3ZWVuLTIzLWJpbGxpb24tcmlhLWFuZC1zdXBlci1zYWxlc21hbi1hcmUtc3RpbGwtbXVya3nSAQA?hl=en-US&gl=US&ceid=US%3Aen
LPL Financial Announces First Quarter 2017 Results,2017-04-27 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3Lmdsb2JlbmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZS8yMDE3LzA0LzI3Lzk3MzkxNC8yOTU3OS9lbi9MUEwtRmluYW5jaWFsLUFubm91bmNlcy1GaXJzdC1RdWFydGVyLTIwMTctUmVzdWx0cy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
LPL Financial and Independent Advisor Alliance Welcome CFG,2017-05-22 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxNy8wNS8yMi85OTQ3MjkvMC9lbi9MUEwtRmluYW5jaWFsLWFuZC1JbmRlcGVuZGVudC1BZHZpc29yLUFsbGlhbmNlLVdlbGNvbWUtQ0ZHLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
