title,datetime,link
Landstar still waiting on inflection in demand and capacity (with video),2020-01-30 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9sYW5kc3Rhci1zdGlsbC13YWl0aW5nLW9uLWluZmxlY3Rpb24taW4tZGVtYW5kLWFuZC1jYXBhY2l0edIBYWh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9sYW5kc3Rhci1zdGlsbC13YWl0aW5nLW9uLWluZmxlY3Rpb24taW4tZGVtYW5kLWFuZC1jYXBhY2l0eS9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Atlantic Logistics looks to grow steadily as its office space doubles ...,2020-01-08 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9qYWNrc29udmlsbGUvbmV3cy8yMDIwLzAxLzA4L2Jvb21pbmctYnVzaW5lc3MtbGVhZHMtbG9naXN0aWNzLWNvbXBhbnktdG8tYmlnZ2VyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Charter Co. was signature firm in Jacksonville,2020-01-09 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmpheGRhaWx5cmVjb3JkLmNvbS9uZXdzLzIwMjAvamFuLzA5L3RoZS1jaGFydGVyLWNvLXdhcy1zaWduYXR1cmUtZmlybS1pbi1qYWNrc29udmlsbGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
FedEx Begins Construction on Distribution Facility in Florida,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnR0bmV3cy5jb20vYXJ0aWNsZXMvZmVkZXgtYmVnaW5zLWNvbnN0cnVjdGlvbi1kaXN0cmlidXRpb24tZmFjaWxpdHktZmxvcmlkYdIBAA?hl=en-US&gl=US&ceid=US%3Aen
New Orlando businesses for week of Dec. 29,2020-01-16 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vYnVzaW5lc3Mvb3MtYnotb3JsYW5kby1uZXctYnVzaW5lc3Nlcy0wMTE2MjAtMjAyMDAxMTYtdGtzZnh6NHNyemVlZm51Mzc3aTUzNW90eWEtc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Crowley realigns marine services structure to create synergy ...,2020-02-18 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9qYWNrc29udmlsbGUvbmV3cy8yMDIwLzAyLzE4L2Nyb3dsZXktcmVhbGlnbnMtbWFyaW5lLXNlcnZpY2VzLXN0cnVjdHVyZS10by5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jasper County Court News Jan. 27-Feb. 20 | News | newsbug.info,2020-02-20 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5uZXdzYnVnLmluZm8vcmVuc3NlbGFlcl9yZXB1YmxpY2FuL25ld3MvamFzcGVyLWNvdW50eS1jb3VydC1uZXdzLWphbi0yNy1mZWItMjAvYXJ0aWNsZV9lNjVhYTE1YS04YTQxLTU3M2UtYjAwMC05YmNmMzVhNWI1MjkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Landstar BCOs will get $1k/week if hit by COVID-19,2020-03-20 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9sYW5kc3Rhci1iY29zLXdpbGwtZ2V0LTFrLXdlZWstaWYtaGl0LWJ5LWNvdmlkLTE50gFXaHR0cHM6Ly93d3cuZnJlaWdodHdhdmVzLmNvbS9uZXdzL2xhbmRzdGFyLWJjb3Mtd2lsbC1nZXQtMWstd2Vlay1pZi1oaXQtYnktY292aWQtMTkvYW1w?hl=en-US&gl=US&ceid=US%3Aen
Advanced Disposal Services Inc. sale closing delayed,2020-03-26 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmpheGRhaWx5cmVjb3JkLmNvbS9uZXdzLzIwMjAvbWFyLzI2L2FkdmFuY2VkLWRpc3Bvc2FsLXNlcnZpY2VzLWluYy1zYWxlLWNsb3NpbmctZGVsYXllZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Truckers Bolstered by Demand Surge, but Shakeout Looms",2020-03-24 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnR0bmV3cy5jb20vYXJ0aWNsZXMvdHJ1Y2tlcnMtYm9sc3RlcmVkLWRlbWFuZC1zdXJnZS1zaGFrZW91dC1sb29tc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
